event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1766516958.3686428,29,1450.0,1182.6809709901315,4.424230386331647,29,78.81902900986853,43.5,145.0,267.31902900986853,0.11671522494858,0.8164544829508724,0.6622567438150484
event_0001,health,1766469807.16198,44,2200.0,1727.9507528879462,3.6605306828882,44,186.04924711205368,66.0,220.0,472.04924711205365,0.1382689475133155,0.5209966845105477,0.8917376201255299
event_0002,science,1766462273.3860922,67,3350.0,2529.1968032558184,3.081368120017312,67,385.3031967441815,100.5,335.0,820.8031967441815,0.1701594149163039,0.5457007761521064,0.8093224292189706
event_0003,business,1766494537.612031,27,1350.0,961.4685348238589,2.474622060244146,27,213.03146517614104,40.5,135.0,388.53146517614107,0.11380792203656583,0.8506640700115015,0.8957331221826064
event_0004,health,1766487042.4967694,39,1950.0,1534.688805643399,3.695274354501653,39,161.81119435660094,58.5,195.0,415.31119435660094,0.11850757093351108,0.9027626882932929,0.7193594490482986
event_0005,technology,1766494554.7990994,42,2100.0,1695.1764892726478,4.187445749449927,42,131.8235107273522,63.0,210.0,404.8235107273522,0.12563002175086277,0.7426510665812566,0.7187500020825296
event_0006,business,1766507861.5786314,62,3100.0,2366.718444618227,3.2275712204243665,62,330.28155538177305,93.0,310.0,733.281555381773,0.16319447153737837,0.8662012050613563,0.6376622314291516
event_0007,technology,1766534534.2991602,26,1300.0,979.4679342588081,3.055756471646312,26,151.53206574119184,39.0,130.0,320.53206574119184,0.13069788949031777,0.6478363306053674,0.631674634447716
event_0008,business,1766543179.2925744,39,1950.0,1449.785166331962,2.8983250170747548,39,246.71483366803804,58.5,195.0,500.21483366803807,0.1593211597458557,0.5093599282940275,0.9284146441671073
event_0009,art,1766484412.7682323,43,2150.0,1626.335875473564,3.105685112464607,43,244.1641245264359,64.5,215.0,523.6641245264359,0.13982844116986828,0.6937454200903679,0.7620348844052262
event_0010,technology,1766536111.1846511,40,2000.0,1628.854176082661,4.3887175097124,40,111.14582391733906,60.0,200.0,371.14582391733904,0.10966758901673858,0.5552320670197021,0.7616002695966178
event_0011,business,1766462703.8535519,53,2650.0,1990.28103986538,3.016861967191682,53,315.2189601346199,79.5,265.0,659.7189601346199,0.1449708526948289,0.7426851436183477,0.5493767933242661
event_0012,technology,1766499275.6109138,31,1550.0,1113.4807471535164,2.55081703703252,31,235.0192528464835,46.5,155.0,436.5192528464835,0.1474167536962715,0.627969265166989,0.6831770100471481
event_0013,science,1766470905.7883456,34,1700.0,1297.1639425481155,3.2200790335235854,34,181.83605745188441,51.0,170.0,402.8360574518844,0.16107139643076188,0.9448836625817332,0.539978401616436
event_0014,science,1766513460.7053533,41,2050.0,1691.4993245405117,4.718259797900036,41,92.00067545948835,61.5,205.0,358.5006754594883,0.16265500763941804,0.6845343254292368,0.8542168924894185
