pair_id,quantum_compatibility,location_compatibility,timing_compatibility,combined_compatibility,user_satisfaction,prediction_accuracy,distance_km
pair_0000,0.6542955074694239,0.0,0.0,0.6542955074694239,0.5913446504924357,0.5250405780911961,22.321073814882276
pair_0001,0.785658274006696,0.0,0.0,0.785658274006696,0.7093368896454865,0.6637541920109064,477.5678388654929
pair_0002,0.6622356188201347,0.0,0.0,0.6622356188201347,0.5903796578559999,0.5414150150384285,37.99273006373374
pair_0003,0.7227431017289541,0.0,0.0,0.7227431017289541,0.6495125015896032,0.581711106643336,88.54517479368069
pair_0004,0.5131624201365129,0.0,0.0,0.5131624201365129,0.48505194681882113,0.418377046931427,83.41104266407503
pair_0005,0.8057111521138858,0.0,0.0,0.8057111521138858,0.7042631074555192,0.6314935710125389,675.9997838686836
pair_0006,0.693263199176928,0.0,0.0,0.693263199176928,0.6790668573739368,0.5526992581368754,888.730863825402
pair_0007,0.35454564730427635,0.0,0.0,0.35454564730427635,0.3407558480508504,0.28824485719100046,36.199644371361096
pair_0008,0.7081700461539111,0.0,0.0,0.7081700461539111,0.6849032848347589,0.513995982161186,46.804988778467724
pair_0009,0.6046090047625952,0.0,0.0,0.6046090047625952,0.5592484928929796,0.4312859942416837,888.2676463403747
pair_0010,0.5931634248173687,0.0,0.0,0.5931634248173687,0.5354905632574007,0.46310357415557085,77.86264786305583
pair_0011,0.8867906962064005,0.0,0.0,0.8867906962064005,0.8608727764610042,0.7492366397679887,7.875704829136609
pair_0012,0.5393953799984574,0.0,0.0,0.5393953799984574,0.48409663134396713,0.40232167732304325,21.179820544208205
pair_0013,0.3425958516054195,0.0,0.0,0.3425958516054195,0.33818516882198835,0.24446436524223514,55.39215224244798
pair_0014,0.4457983454374347,0.0,0.0,0.4457983454374347,0.40608207712572036,0.3536384351640625,21.42368073704386
pair_0015,0.5415727692613612,0.0,0.0,0.5415727692613612,0.5122851912127167,0.4405611464405719,148.75406850895348
pair_0016,0.7848133468390216,0.0,0.0,0.7848133468390216,0.6908887436300679,0.6501365509871633,87.448595407058
pair_0017,0.428248379519509,0.0,0.0,0.428248379519509,0.3951944970225589,0.3214219014002743,249.67999954352263
pair_0018,0.41393872036058227,0.0,0.0,0.41393872036058227,0.37902934942273847,0.31220064748399423,42.30074859901629
pair_0019,0.8764673419646702,0.0,0.0,0.8764673419646702,0.7659295647253818,0.6356855299222296,85.27198920482853
pair_0020,0.5515349492015236,0.0,0.0,0.5515349492015236,0.47012237873320745,0.40177581679218066,57.891905750721065
pair_0021,0.3055892741305478,0.0,0.0,0.3055892741305478,0.2739849678949606,0.2371121853470987,29.999707979876224
pair_0022,0.5629107438046259,0.0,0.0,0.5629107438046259,0.532708421398292,0.4190479568708066,24.428441650813138
pair_0023,0.3692572022514613,0.0,0.0,0.3692572022514613,0.3448818656729676,0.2683341188402383,193.22785172639036
pair_0024,0.6805706683855166,0.0,0.0,0.6805706683855166,0.6416220493068299,0.48415137369094613,48.85318521493765
pair_0025,0.8670305634279836,0.0,0.0,0.8670305634279836,0.7491183526365621,0.6994767641251488,604.8161782972718
pair_0026,0.42604592300385247,0.0,0.0,0.42604592300385247,0.42059449309096836,0.34061456705895393,93.30880105206542
pair_0027,0.8288497227979947,0.0,0.0,0.8288497227979947,0.8104752197717939,0.5983174531377365,313.0635990064228
pair_0028,0.41974369801545114,0.0,0.0,0.41974369801545114,0.37819939446647166,0.31609636472484964,87.21667829060897
pair_0029,0.5106876774496514,0.0,0.0,0.5106876774496514,0.4442752180603927,0.3869919846540548,27.86030610230039
pair_0030,0.7371270363916227,0.0,0.0,0.7371270363916227,0.7199898821533851,0.5973989699844595,10.84025472147111
pair_0031,0.5587784397749922,0.0,0.0,0.5587784397749922,0.5484240899515513,0.4580715254051491,80.65108697001038
pair_0032,0.6326474866000762,0.0,0.0,0.6326474866000762,0.595962159524012,0.5349741742358115,40.83929086192168
pair_0033,0.5650716101027717,0.0,0.0,0.5650716101027717,0.5077594732331046,0.41460644862324836,21.01826848826419
pair_0034,0.7036774023343002,0.0,0.0,0.7036774023343002,0.6853255696173266,0.5185297018569955,61.92608053623755
pair_0035,0.5966263014062623,0.0,0.0,0.5966263014062623,0.5210049751040297,0.5064770171695068,88.61369090509815
pair_0036,0.6344434764200373,0.0,0.0,0.6344434764200373,0.5417854673075574,0.4654723295704524,726.3205987674145
pair_0037,0.8383248619399575,0.0,0.0,0.8383248619399575,0.7999814466063676,0.614363251269751,71.92739612759671
pair_0038,0.4406961468087812,0.0,0.0,0.4406961468087812,0.4324420811127084,0.3375967751367889,27.45974469175383
pair_0039,0.42410063370864615,0.0,0.0,0.42410063370864615,0.41211079928594324,0.30611859601218333,54.261114050391534
pair_0040,0.5929376865301503,0.0,0.0,0.5929376865301503,0.5303940087627775,0.5008476879485845,38.998664806371885
pair_0041,0.6551356653767466,0.0,0.0,0.6551356653767466,0.6411352206651953,0.5060864009151064,982.6497797670309
pair_0042,0.4669539693832836,0.0,0.0,0.4669539693832836,0.42765628324694527,0.36583431784938264,45.469932501648216
pair_0043,0.7525399224357158,0.0,0.0,0.7525399224357158,0.7523562194935858,0.5484780863058287,301.79994914777336
pair_0044,0.40067348602068137,0.0,0.0,0.40067348602068137,0.3517547418392826,0.3116381111163646,21.796454090650364
pair_0045,0.8648823591247858,0.0,0.0,0.8648823591247858,0.7869932378704255,0.6800730249431457,67.73472868504088
pair_0046,0.6035764738062468,0.0,0.0,0.6035764738062468,0.5947349257531515,0.4575505431220511,53.27452453105003
pair_0047,0.5789242629807048,0.0,0.0,0.5789242629807048,0.5147932573518778,0.47443977992711434,491.93843050690936
pair_0048,0.31721999866205375,0.0,0.0,0.31721999866205375,0.28695573201585345,0.2602024949221832,612.86468021049
pair_0049,0.35136777717481277,0.0,0.0,0.35136777717481277,0.32139512382008273,0.26516924299067895,348.6417181805664
pair_0050,0.7150722931771212,0.0,0.0,0.7150722931771212,0.7070819857782865,0.525725348293841,183.7480154992045
pair_0051,0.43832282477910467,0.0,0.0,0.43832282477910467,0.40810281833443784,0.31189126539488593,45.37452628531785
pair_0052,0.7995770179962408,0.0,0.0,0.7995770179962408,0.7627803711106977,0.5982830101701263,58.95869059607909
pair_0053,0.3615525880726564,0.0,0.0,0.3615525880726564,0.35219458884191485,0.29118188057325417,69.74173929101944
pair_0054,0.5950479361746408,0.0,0.0,0.5950479361746408,0.5767999353775393,0.4682097615144326,202.67842665243208
pair_0055,0.5703086789332525,0.0,0.0,0.5703086789332525,0.49302798130469105,0.47770304954545745,41.61740214103284
pair_0056,0.4042881289958607,0.0,0.0,0.4042881289958607,0.4034090583040699,0.3259585523151812,66.04281371920366
pair_0057,0.7124309520427456,0.0,0.0,0.7124309520427456,0.6627773552141409,0.5099018954429653,732.6888022843455
pair_0058,0.5634920692042424,0.0,0.0,0.5634920692042424,0.5488097555827572,0.4137010369503747,16.592278922072467
pair_0059,0.3547961319785911,0.0,0.0,0.3547961319785911,0.3201153133078535,0.2857250145459534,761.0805309570537
pair_0060,0.40889348833387557,0.0,0.0,0.40889348833387557,0.40745171021987137,0.3365854303300997,51.89638409876039
pair_0061,0.6975501221948573,0.0,0.0,0.6975501221948573,0.6163515003327116,0.5164451949186595,396.82329722106886
pair_0062,0.5479485424795929,0.0,0.0,0.5479485424795929,0.5345194258704772,0.42139206252898787,842.4344829418309
pair_0063,0.3728556500175719,0.0,0.0,0.3728556500175719,0.3414167013474139,0.29405612790166263,92.76727608444477
pair_0064,0.6886258132702552,0.0,0.0,0.6886258132702552,0.5920106919016922,0.5848969292448328,921.6368906357511
pair_0065,0.4657484416932246,0.0,0.0,0.4657484416932246,0.3974311922127785,0.3573549190159473,38.35860132471499
pair_0066,0.5679284358259167,0.0,0.0,0.5679284358259167,0.5381358389566018,0.47386599550610575,58.693772241416106
pair_0067,0.8136077855924271,0.0,0.0,0.8136077855924271,0.7497346660106353,0.6557242268591797,314.9249897496244
pair_0068,0.3757477618856332,0.0,0.0,0.3757477618856332,0.32298019796600863,0.28299887607800067,982.7363247938066
pair_0069,0.5816943605908391,0.0,0.0,0.5816943605908391,0.5777447357614419,0.4312760850007718,14.415541596694748
pair_0070,0.8234298104391218,0.0,0.0,0.8234298104391218,0.7310424769723514,0.6871351658646085,442.00845777038955
pair_0071,0.3998188720375351,0.0,0.0,0.3998188720375351,0.3414999103911948,0.31572128128339555,9.844312638319796
pair_0072,0.4050416130377427,0.0,0.0,0.4050416130377427,0.37046098459187254,0.3299690859050204,41.20517489755754
pair_0073,0.7065665314194477,0.0,0.0,0.7065665314194477,0.6147153680884302,0.5365926981333407,66.68407172664807
pair_0074,0.8120012751961114,0.0,0.0,0.8120012751961114,0.7708085512919327,0.6061376704416853,84.53039251425987
