event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776320216.708314,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,36.53364747165308,31.16199686085465
event_0001,health,1767832999.5090244,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,53.674313405846654,28.25003596490158
event_0002,science,1766476919.84921,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,32.684397082490236,32.415556773526504
event_0003,business,1772284480.5182087,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,31.793253948282675,46.04809710614172
event_0004,health,1770935359.77114,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,53.656854773606206,49.187530649638894
event_0005,technology,1772287574.190506,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,34.041965212828565,53.16256523956119
event_0006,business,1774682794.506263,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,35.59880186847312,37.73461101251144
event_0007,technology,1779483884.2014887,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,32.066297500834786,32.34071338610916
event_0008,business,1781039983.0160356,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,41.37130708999732,33.1949601227202
event_0009,art,1770462008.6344457,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,49.7486825213946,43.090782604615335
event_0010,technology,1779767723.5898328,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.67800119738382,45.94531003398205
event_0011,business,1766554403.9919517,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,56.20478332741717,33.6582128032859
event_0012,technology,1773137320.317103,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,45.77464087843235,47.63679260409195
event_0013,science,1768030752.2548468,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,36.262142804805045,41.75935403999168
event_0014,science,1775690637.3162224,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,58.147315730995814,39.64668967587309
event_0015,art,1781102808.9119713,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,32.11164388830732,36.50932736830555
event_0016,health,1772956492.384701,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,35.68381239320027,42.733376610223516
event_0017,science,1769870344.1242118,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,33.165425456974674,45.88148039686518
event_0018,health,1767291455.9611576,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,35.411896158002044,39.24360086121706
event_0019,art,1768433565.0100684,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.454649884271916,55.760963737307556
event_0020,technology,1779810240.249341,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,48.252401107711165,43.76805167851995
event_0021,health,1768555966.2231147,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,43.42499366994748,39.11853572730331
event_0022,health,1779377752.1418602,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.05524961797196,36.40935092838886
event_0023,health,1768936287.6507335,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,38.27871410230817,43.50256829198898
event_0024,science,1773944564.932745,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,34.1522458042923,38.27832100472979
event_0025,health,1773790866.156775,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,57.53645410033403,48.55944670857224
event_0026,science,1781019554.1093638,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,47.28697385330094,53.41435798011864
event_0027,art,1774506167.93065,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,31.677681264699583,49.58524210276387
event_0028,health,1771293038.8951168,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,36.80153014086455,46.27781712848983
event_0029,business,1774243369.9005432,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,31.235467564906894,43.11803242428273
event_0030,art,1781676737.819728,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,41.78648113557105,40.4772546073759
event_0031,business,1768793377.0315175,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,33.96567136112634,30.311263153880315
event_0032,science,1772963301.553608,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,53.2147540966877,31.650504897064877
event_0033,business,1773247277.019157,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,48.47990512782606,48.59869711606903
event_0034,technology,1772117898.1298306,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,32.687839443802055,46.80893149659259
event_0035,art,1769642961.4629567,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.14456542639179,55.65425367498442
event_0036,art,1781557807.3628392,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,54.545157603954436,33.59118598096116
event_0037,art,1779813774.9079893,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,58.46822745077367,53.948431463055
event_0038,health,1769835140.313967,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,43.501847119150376,28.636947224233655
event_0039,science,1767455482.715213,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,44.49078991034075,48.437860338274085
event_0040,art,1781467521.4413147,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,31.304460224983767,32.768950117253375
event_0041,science,1780364948.744932,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,30.25002525745283,38.88206412263541
event_0042,art,1769440141.4664872,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,56.02231328563444,46.183512053062394
event_0043,technology,1771046463.0539186,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,56.00318236584359,42.88369806456997
event_0044,technology,1769082324.380298,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,37.42176419249254,42.82363018794336
event_0045,science,1771387471.1595595,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,48.75692910753031,34.613733439801955
event_0046,technology,1776700106.0009122,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,56.71206258236285,50.816041854993436
event_0047,health,1770183642.3842034,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,49.70795276848838,30.45826047984444
event_0048,health,1766462084.1503797,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,37.21082424511728,32.27697631672785
event_0049,health,1780644344.8035078,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,34.157295803956096,43.15790715182842
event_0050,health,1777561999.7844608,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,34.05757481531746,55.87920240649625
event_0051,health,1770688597.302586,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,46.72020894280706,54.56084379661333
event_0052,health,1768721569.5321164,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,56.403957003257275,39.59312435175101
event_0053,technology,1778347714.9897346,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,38.21388493894571,49.815020779238196
event_0054,technology,1777800880.0515797,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,47.01129278816924,34.465517764524364
event_0055,health,1779447395.210646,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,45.06973762351384,44.93192926887704
event_0056,business,1776371893.6645381,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,35.797794884355305,28.902427490357283
event_0057,art,1781168977.6107683,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,59.6473025238887,49.21774451231762
event_0058,health,1776511939.5370498,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.74686880412137,40.81125802436794
event_0059,technology,1776787275.0902257,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.386924742344924,45.122136490761456
event_0060,health,1777547742.757822,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,45.61947273671246,40.64506859178254
event_0061,science,1781277355.118475,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,52.05510244650802,43.61562659477546
event_0062,science,1778758776.8112633,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,39.136624434667155,51.17338821296102
event_0063,health,1766572617.3780763,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,34.267188563252745,51.23701812394591
event_0064,science,1774490056.547084,34,1700.0,-851.0,-0.33359466875735005,34,2415.0,51.0,85.0,2551.0,0.001725,50.883424255193866,31.788586877330154
