pair_id,temporal_compatibility,prediction_accuracy,user_satisfaction,timezone_matching_accuracy
pair_0000,0.9166666666666666,0.8,0.5773631031442775,0.0
pair_0001,1.0,0.8,0.6642550028572262,0.0
pair_0002,0.9166666666666666,0.8,0.5069653321221761,0.0
pair_0003,0.9166666666666666,0.8,0.6917025490924971,0.0
pair_0004,1.0,0.8,0.5843473779849976,0.0
pair_0005,1.0,0.8,0.5327085754248739,0.0
pair_0006,0.9166666666666666,0.8,0.6364679552873203,0.0
pair_0007,0.9166666666666666,0.8,0.6668464990056016,0.0
pair_0008,0.9166666666666666,0.8,0.5929845404717757,0.0
pair_0009,0.9166666666666666,0.8,0.5165280943308574,0.0
pair_0010,1.0,0.8,0.6372131239364603,0.0
pair_0011,1.0,0.8,0.5202810192940661,0.0
pair_0012,1.0,0.8,0.672493295974245,0.0
pair_0013,1.0,0.8,0.6607100513680512,0.0
pair_0014,0.9166666666666666,0.8,0.5024448978318032,0.0
pair_0015,1.0,0.8,0.5638051556479029,0.0
pair_0016,0.9166666666666666,0.8,0.614936441938535,0.0
pair_0017,1.0,0.8,0.5767980570887009,0.0
pair_0018,0.9166666666666666,0.8,0.5909384131604264,0.0
pair_0019,1.0,0.8,0.5972278768626111,0.0
pair_0020,1.0,0.8,0.6919842104169651,0.0
pair_0021,0.9166666666666666,0.8,0.5803406781292811,0.0
pair_0022,1.0,0.8,0.6542719320275058,0.0
pair_0023,0.9166666666666666,0.8,0.5605909026041347,0.0
pair_0024,0.9166666666666666,0.8,0.5517298098535314,0.0
pair_0025,0.9166666666666666,0.8,0.6268234358965731,0.0
pair_0026,1.0,0.8,0.6207272094594316,0.0
pair_0027,0.9166666666666666,0.8,0.6604836790386004,0.0
pair_0028,1.0,0.8,0.5900539882511818,0.0
pair_0029,0.9166666666666666,0.8,0.5745650630906276,0.0
pair_0030,0.9166666666666666,0.8,0.5947094570279471,0.0
pair_0031,1.0,0.8,0.5670127016964084,0.0
pair_0032,0.9166666666666666,0.8,0.6070048331793699,0.0
pair_0033,0.9166666666666666,0.8,0.5729723574395063,0.0
pair_0034,0.9166666666666666,0.8,0.6570989447516792,0.0
pair_0035,1.0,0.8,0.6961469015837686,0.0
pair_0036,0.9166666666666666,0.8,0.6063423257464331,0.0
pair_0037,0.9166666666666666,0.8,0.5766943646525059,0.0
pair_0038,1.0,0.8,0.6349437819123404,0.0
pair_0039,1.0,0.8,0.5300774440272997,0.0
pair_0040,1.0,0.8,0.5674231379452366,0.0
pair_0041,1.0,0.8,0.6868354152255725,0.0
pair_0042,0.9166666666666666,0.8,0.6180306036142059,0.0
pair_0043,0.9166666666666666,0.8,0.5395226098819021,0.0
pair_0044,1.0,0.8,0.6625670218684079,0.0
pair_0045,0.9166666666666666,0.8,0.6455257533076483,0.0
pair_0046,1.0,0.8,0.5909978724045873,0.0
pair_0047,0.9166666666666666,0.8,0.5097087196480679,0.0
pair_0048,0.9166666666666666,0.8,0.556342791080243,0.0
pair_0049,1.0,0.8,0.5243102891264806,0.0
pair_0050,1.0,0.8,0.5979242823425691,0.0
pair_0051,0.9166666666666666,0.8,0.5734208241851233,0.0
pair_0052,1.0,0.8,0.6778331869830612,0.0
pair_0053,1.0,0.8,0.6372775277037865,0.0
pair_0054,1.0,0.8,0.5504653609181978,0.0
pair_0055,0.9166666666666666,0.8,0.5674923489615266,0.0
pair_0056,0.9166666666666666,0.8,0.5592288907868173,0.0
pair_0057,0.9166666666666666,0.8,0.6638338685386335,0.0
pair_0058,0.9166666666666666,0.8,0.6085496995854907,0.0
pair_0059,0.9166666666666666,0.8,0.5357456360656614,0.0
pair_0060,0.0,0.5,0.5713770723597112,0.0
pair_0061,0.9166666666666666,0.8,0.5035037986140998,0.0
pair_0062,1.0,0.8,0.5649265100027372,0.0
pair_0063,0.9166666666666666,0.8,0.6271965399915205,0.0
pair_0064,1.0,0.8,0.6191557811374713,0.0
pair_0065,1.0,0.8,0.5714488964258199,0.0
pair_0066,1.0,0.8,0.5073224701453276,0.0
pair_0067,1.0,0.8,0.6477360612097599,0.0
pair_0068,1.0,0.8,0.5497253435481095,0.0
pair_0069,0.9166666666666666,0.8,0.5168093719109672,0.0
pair_0070,1.0,0.8,0.5189145149678805,0.0
pair_0071,0.9166666666666666,0.8,0.6453574808607165,0.0
pair_0072,0.9166666666666666,0.8,0.626584004601017,0.0
pair_0073,1.0,0.8,0.5862201093028734,0.0
pair_0074,1.0,0.8,0.554939246692339,0.0
pair_0075,0.9166666666666666,0.8,0.6943705550700886,0.0
pair_0076,0.9166666666666666,0.8,0.6377983922023194,0.0
pair_0077,0.9166666666666666,0.8,0.5488201408367979,0.0
pair_0078,1.0,0.8,0.6651142819279141,0.0
pair_0079,0.9166666666666666,0.8,0.6669835804883634,0.0
pair_0080,1.0,0.8,0.6465375554866875,0.0
pair_0081,1.0,0.8,0.6047117495075885,0.0
pair_0082,0.9166666666666666,0.8,0.5916839138278975,0.0
pair_0083,1.0,0.8,0.5153072287538476,0.0
pair_0084,1.0,0.8,0.57455906575663,0.0
pair_0085,1.0,0.8,0.5293500894447467,0.0
pair_0086,0.9166666666666666,0.8,0.6953686665353331,0.0
pair_0087,0.9166666666666666,0.8,0.6275628966278977,0.0
pair_0088,1.0,0.8,0.6764073775725405,0.0
pair_0089,0.9166666666666666,0.8,0.5763825990447883,0.0
pair_0090,0.9166666666666666,0.8,0.6960532974085197,0.0
pair_0091,1.0,0.8,0.5157529731657694,0.0
pair_0092,0.9166666666666666,0.8,0.6854881102394179,0.0
pair_0093,0.9166666666666666,0.8,0.6498533998459368,0.0
pair_0094,1.0,0.8,0.5845059818040425,0.0
pair_0095,0.9166666666666666,0.8,0.5044766950367843,0.0
pair_0096,0.9166666666666666,0.8,0.6900717761319384,0.0
pair_0097,1.0,0.8,0.5513716008090882,0.0
pair_0098,1.0,0.8,0.6305790867547465,0.0
pair_0099,1.0,0.8,0.6765850723971177,0.0
pair_0100,1.0,0.8,0.6673706634526649,0.0
pair_0101,1.0,0.8,0.5866870566683412,0.0
pair_0102,1.0,0.8,0.5232850861454676,0.0
pair_0103,1.0,0.8,0.5383287274403797,0.0
pair_0104,1.0,0.8,0.5521951496525382,0.0
pair_0105,1.0,0.8,0.5606402838462314,0.0
pair_0106,1.0,0.8,0.6028079145240152,0.0
pair_0107,1.0,0.8,0.6708487298991136,0.0
pair_0108,1.0,0.8,0.548750480553891,0.0
pair_0109,0.9166666666666666,0.8,0.6597908199561107,0.0
pair_0110,0.9166666666666666,0.8,0.5748472773631453,0.0
pair_0111,0.9166666666666666,0.8,0.5945836800563473,0.0
pair_0112,0.9166666666666666,0.8,0.6521438091031883,0.0
pair_0113,1.0,0.8,0.5873891268294852,0.0
pair_0114,1.0,0.8,0.6493739585412491,0.0
pair_0115,1.0,0.8,0.655661794820001,0.0
pair_0116,0.9166666666666666,0.8,0.5553707622014926,0.0
pair_0117,0.9166666666666666,0.8,0.6342879281129571,0.0
pair_0118,1.0,0.8,0.6209245136360386,0.0
pair_0119,0.9166666666666666,0.8,0.681949281962604,0.0
pair_0120,1.0,0.8,0.6356416497899777,0.0
pair_0121,1.0,0.8,0.5545358806923792,0.0
pair_0122,0.9166666666666666,0.8,0.5814365583764558,0.0
pair_0123,0.9166666666666666,0.8,0.5037437897653141,0.0
pair_0124,0.9166666666666666,0.8,0.5828649679678869,0.0
