user_id,expertise_score,platform_phase,threshold,meets_threshold
user_0000,0.9140000000000001,Mature,0.8,True
user_0001,0.9604500000000001,Mature,0.8,True
user_0002,1.0645499999999999,Growth,0.7,True
user_0003,1.1062,Mature,0.8,True
user_0004,0.9089,Growth,0.7,True
user_0005,0.9960884765793901,Early,0.6,True
user_0006,1.21825,Early,0.6,True
user_0007,1.1167,Early,0.6,True
user_0008,0.9664500000000001,Early,0.6,True
user_0009,1.0692,Early,0.6,True
user_0010,0.8115474760426014,Growth,0.7,True
user_0011,0.9090964841576807,Growth,0.7,True
user_0012,0.9884500000000002,Early,0.6,True
user_0013,1.0160479845548223,Early,0.6,True
user_0014,1.0524499999999999,Growth,0.7,True
user_0015,1.1081000000000003,Early,0.6,True
user_0016,1.12835,Mature,0.8,True
user_0017,1.0356600319628546,Growth,0.7,True
user_0018,0.9898421847162696,Early,0.6,True
user_0019,1.01615,Mature,0.8,True
user_0020,1.0515231858775518,Growth,0.7,True
user_0021,1.0240378008630693,Growth,0.7,True
user_0022,1.0735,Early,0.6,True
user_0023,1.2069500000000002,Early,0.6,True
user_0024,1.1929500000000002,Early,0.6,True
user_0025,1.0417060332944557,Early,0.6,True
user_0026,1.1585,Mature,0.8,True
user_0027,1.10945,Growth,0.7,True
user_0028,1.1001000000000003,Mature,0.8,True
user_0029,1.08525,Growth,0.7,True
user_0030,1.0213580005490466,Growth,0.7,True
user_0031,1.1291000000000002,Early,0.6,True
user_0032,1.0994910148057555,Mature,0.8,True
user_0033,1.09635,Early,0.6,True
user_0034,1.2054500000000001,Early,0.6,True
user_0035,1.0651000000000002,Early,0.6,True
user_0036,0.9483134155146362,Growth,0.7,True
user_0037,1.0773330976792908,Mature,0.8,True
user_0038,1.0091532362717341,Early,0.6,True
user_0039,1.0200999999999998,Growth,0.7,True
user_0040,1.1102319555207654,Early,0.6,True
user_0041,0.8651500000000001,Growth,0.7,True
user_0042,1.148059293087308,Growth,0.7,True
user_0043,1.0793000000000001,Early,0.6,True
user_0044,1.0835,Growth,0.7,True
user_0045,1.013086165328355,Early,0.6,True
user_0046,1.05775,Early,0.6,True
user_0047,1.1029,Early,0.6,True
user_0048,1.18405,Growth,0.7,True
user_0049,1.1689856511153927,Growth,0.7,True
user_0050,1.1555000000000002,Growth,0.7,True
user_0051,1.0483,Early,0.6,True
user_0052,1.08135,Mature,0.8,True
user_0053,1.1665,Growth,0.7,True
user_0054,1.0411668053485188,Early,0.6,True
user_0055,1.056521625899754,Early,0.6,True
user_0056,1.0671000000000002,Mature,0.8,True
user_0057,1.10485,Mature,0.8,True
user_0058,0.9822443943970042,Mature,0.8,True
user_0059,1.0402500000000001,Mature,0.8,True
user_0060,1.08175,Mature,0.8,True
user_0061,1.0114,Early,0.6,True
user_0062,1.0381590035835735,Mature,0.8,True
user_0063,0.9841000000000001,Mature,0.8,True
user_0064,1.1088500000000001,Growth,0.7,True
user_0065,0.8897499999999999,Mature,0.8,True
user_0066,1.0920500000000002,Growth,0.7,True
user_0067,1.0633136186612344,Early,0.6,True
user_0068,1.14565,Growth,0.7,True
user_0069,1.0797500000000002,Early,0.6,True
user_0070,1.1578499999999998,Growth,0.7,True
user_0071,1.0905,Early,0.6,True
user_0072,1.1056,Mature,0.8,True
user_0073,1.1313906082364653,Growth,0.7,True
user_0074,1.0195,Early,0.6,True
user_0075,1.0608000000000002,Early,0.6,True
user_0076,1.14935,Growth,0.7,True
user_0077,1.1304,Mature,0.8,True
user_0078,1.0441500000000001,Early,0.6,True
user_0079,1.09555,Mature,0.8,True
user_0080,1.1245,Early,0.6,True
user_0081,1.0499,Early,0.6,True
user_0082,1.0250477825493007,Growth,0.7,True
user_0083,1.06565,Early,0.6,True
user_0084,1.0665281882079494,Mature,0.8,True
user_0085,1.0372000000000001,Mature,0.8,True
user_0086,0.808936675726937,Growth,0.7,True
user_0087,1.0944500000000001,Early,0.6,True
user_0088,1.06935,Mature,0.8,True
user_0089,1.1848,Mature,0.8,True
user_0090,0.9631768998173812,Growth,0.7,True
user_0091,1.0868,Early,0.6,True
user_0092,1.0521690178398921,Early,0.6,True
user_0093,1.0902500000000002,Mature,0.8,True
user_0094,1.05915,Early,0.6,True
user_0095,1.1028,Mature,0.8,True
user_0096,1.2457500000000001,Growth,0.7,True
user_0097,1.0650499999999998,Growth,0.7,True
user_0098,1.0991011966458588,Early,0.6,True
user_0099,0.9676499999999999,Growth,0.7,True
user_0100,1.0969,Mature,0.8,True
user_0101,1.1247,Growth,0.7,True
user_0102,1.2029500000000002,Growth,0.7,True
user_0103,1.160524071848521,Mature,0.8,True
user_0104,1.0668,Mature,0.8,True
user_0105,1.2017,Mature,0.8,True
user_0106,1.0767706364466167,Growth,0.7,True
user_0107,1.019320640577427,Early,0.6,True
user_0108,0.9319999999999999,Growth,0.7,True
user_0109,1.04515,Growth,0.7,True
user_0110,0.9691598608149775,Mature,0.8,True
user_0111,1.0667,Early,0.6,True
user_0112,1.10565,Mature,0.8,True
user_0113,1.1683000000000001,Mature,0.8,True
user_0114,1.05765,Mature,0.8,True
user_0115,1.1385397419164207,Growth,0.7,True
user_0116,1.0743500000000001,Growth,0.7,True
user_0117,1.0323499999999999,Growth,0.7,True
user_0118,1.07725,Mature,0.8,True
user_0119,1.06475,Mature,0.8,True
user_0120,1.2119500000000003,Mature,0.8,True
user_0121,1.0464499999999999,Mature,0.8,True
user_0122,1.0664,Mature,0.8,True
user_0123,1.1676499999999999,Growth,0.7,True
user_0124,1.1193,Early,0.6,True
user_0125,1.16215,Growth,0.7,True
user_0126,1.0518913143562267,Early,0.6,True
user_0127,1.0537409852981614,Mature,0.8,True
user_0128,1.0380362049885565,Mature,0.8,True
user_0129,1.0739500000000002,Early,0.6,True
user_0130,0.9982552273938288,Growth,0.7,True
user_0131,1.1387000000000003,Mature,0.8,True
user_0132,1.12215,Early,0.6,True
user_0133,0.9480484784074965,Growth,0.7,True
user_0134,1.07335,Mature,0.8,True
user_0135,1.0893189788057889,Mature,0.8,True
user_0136,1.1143000000000003,Mature,0.8,True
user_0137,1.1353000000000002,Mature,0.8,True
user_0138,1.1451500000000001,Mature,0.8,True
user_0139,1.1733500000000001,Mature,0.8,True
user_0140,1.1335774860420236,Growth,0.7,True
user_0141,1.0610000000000002,Early,0.6,True
user_0142,1.09595,Growth,0.7,True
user_0143,1.0508000000000002,Mature,0.8,True
user_0144,1.1661000000000004,Growth,0.7,True
user_0145,1.09095,Mature,0.8,True
user_0146,1.0634000000000001,Growth,0.7,True
user_0147,1.0216999999999998,Mature,0.8,True
user_0148,1.0940500000000002,Mature,0.8,True
user_0149,1.09905,Mature,0.8,True
user_0150,1.1605629630645327,Growth,0.7,True
user_0151,1.1153,Mature,0.8,True
user_0152,1.1767,Early,0.6,True
user_0153,1.0045590623023812,Growth,0.7,True
user_0154,1.01485,Mature,0.8,True
user_0155,1.0468925348069025,Mature,0.8,True
user_0156,1.0368000000000002,Early,0.6,True
user_0157,1.1533,Early,0.6,True
user_0158,1.0637,Early,0.6,True
user_0159,1.2141500000000003,Early,0.6,True
user_0160,1.1932,Growth,0.7,True
user_0161,0.96485,Growth,0.7,True
user_0162,1.0785500000000001,Mature,0.8,True
user_0163,0.8433499999999999,Growth,0.7,True
user_0164,0.9521500000000002,Growth,0.7,True
user_0165,1.0666000000000002,Early,0.6,True
user_0166,1.0006,Mature,0.8,True
user_0167,1.0176,Growth,0.7,True
user_0168,0.8818826280406115,Early,0.6,True
user_0169,1.0138092479421668,Growth,0.7,True
user_0170,0.9092,Early,0.6,True
user_0171,0.9555072603431892,Early,0.6,True
user_0172,1.0203,Early,0.6,True
user_0173,1.0064000000000002,Mature,0.8,True
user_0174,1.1755499999999999,Early,0.6,True
user_0175,1.1103,Early,0.6,True
user_0176,0.8723640162670427,Growth,0.7,True
user_0177,1.18455,Growth,0.7,True
user_0178,1.11165,Growth,0.7,True
user_0179,1.01625,Growth,0.7,True
user_0180,0.9895000000000002,Early,0.6,True
user_0181,1.0939500000000002,Growth,0.7,True
user_0182,1.0206,Mature,0.8,True
user_0183,0.9604975015358632,Early,0.6,True
user_0184,1.041893511286793,Mature,0.8,True
user_0185,1.157036713816634,Early,0.6,True
user_0186,0.9090638308408381,Growth,0.7,True
user_0187,1.1124500000000002,Growth,0.7,True
user_0188,1.056,Growth,0.7,True
user_0189,1.1042568480594284,Growth,0.7,True
user_0190,1.1285503863817772,Early,0.6,True
user_0191,1.041991527528719,Mature,0.8,True
user_0192,0.9392499999999999,Mature,0.8,True
user_0193,1.1183999999999998,Mature,0.8,True
user_0194,1.09645,Mature,0.8,True
user_0195,1.0785264606280411,Mature,0.8,True
user_0196,1.08695,Early,0.6,True
user_0197,1.0842500000000002,Early,0.6,True
user_0198,0.9374,Growth,0.7,True
user_0199,1.1363500000000002,Early,0.6,True
user_0200,1.022585954023162,Growth,0.7,True
user_0201,1.001,Early,0.6,True
user_0202,1.0571529160698057,Growth,0.7,True
user_0203,1.14225,Early,0.6,True
user_0204,1.1059822680822204,Early,0.6,True
user_0205,1.018,Mature,0.8,True
user_0206,0.9026000000000001,Growth,0.7,True
user_0207,1.0039000000000002,Mature,0.8,True
user_0208,1.1685898672497346,Mature,0.8,True
user_0209,1.0745500000000001,Growth,0.7,True
user_0210,1.10505,Growth,0.7,True
user_0211,1.2230500000000002,Growth,0.7,True
user_0212,0.9388827284008463,Early,0.6,True
user_0213,1.0913452516202435,Mature,0.8,True
user_0214,1.1774999999999998,Early,0.6,True
user_0215,1.0903000000000003,Growth,0.7,True
user_0216,1.1705500000000002,Mature,0.8,True
user_0217,1.0019500000000001,Early,0.6,True
user_0218,1.1676000000000002,Growth,0.7,True
user_0219,1.0726,Early,0.6,True
user_0220,1.082278442522579,Early,0.6,True
user_0221,1.1653,Mature,0.8,True
user_0222,1.19935,Mature,0.8,True
user_0223,1.1278000000000001,Mature,0.8,True
user_0224,1.1319500000000002,Mature,0.8,True
user_0225,0.9209999999999999,Mature,0.8,True
user_0226,1.0717500000000002,Early,0.6,True
user_0227,1.02055,Mature,0.8,True
user_0228,1.06065,Mature,0.8,True
user_0229,1.0378,Growth,0.7,True
user_0230,1.0911090442458258,Growth,0.7,True
user_0231,1.0817,Mature,0.8,True
user_0232,1.1660000000000001,Growth,0.7,True
user_0233,1.0705500000000001,Growth,0.7,True
user_0234,0.9981,Growth,0.7,True
user_0235,1.1128000000000002,Early,0.6,True
user_0236,0.9686078650226019,Mature,0.8,True
user_0237,1.00835,Mature,0.8,True
user_0238,1.1441844356747786,Growth,0.7,True
user_0239,0.9548000000000001,Mature,0.8,True
user_0240,1.1044,Mature,0.8,True
user_0241,0.9390999999999999,Early,0.6,True
user_0242,1.1692,Mature,0.8,True
user_0243,1.0941500000000002,Mature,0.8,True
user_0244,0.9782500000000001,Mature,0.8,True
