user1_id,user2_id,enhanced_compatibility,personality_compatibility,improvement
user_0000,user_0001,0.30635130840639835,0.4240171097023199,-0.11766580129592158
user_0000,user_0002,0.5295946434178364,0.5055713097115134,0.024023333706322925
user_0000,user_0003,0.49368581588177946,0.7229924467807781,-0.22930663089899866
user_0000,user_0004,0.6268126123735663,0.4529847116646935,0.17382790070887283
user_0000,user_0005,0.5651925183676563,0.539246298793833,0.02594621957382326
user_0000,user_0006,0.49513250987813273,0.541994200086493,-0.046861690208360285
user_0000,user_0007,0.5302484603078614,0.6214695642284629,-0.09122110392060145
user_0000,user_0008,0.567163849474384,0.5663868514621717,0.0007769980122123155
user_0000,user_0009,0.4303862121480433,0.344269158939377,0.0861170532086663
user_0001,user_0002,0.42463015013742256,0.42031059453051084,0.004319555606911718
user_0001,user_0003,0.4631755238949277,0.4498873704126563,0.013288153482271414
user_0001,user_0004,0.5224407636208027,0.5267364598093482,-0.004295696188545528
user_0001,user_0005,0.32604718919520287,0.4003909469902063,-0.0743437577950034
user_0001,user_0006,0.5877379877934213,0.3534436093599362,0.23429437843348516
user_0001,user_0007,0.6354963730587143,0.5857971479268467,0.04969922513186764
user_0001,user_0008,0.6037662336146942,0.797075040867422,-0.1933088072527278
user_0001,user_0009,0.452825214060896,0.6580215685173458,-0.20519635445644985
user_0001,user_0010,0.4336799415801917,0.5890393332442575,-0.15535939166406582
user_0002,user_0003,0.26772781040022353,0.41244864793718145,-0.1447208375369579
user_0002,user_0004,0.5447718367755412,0.31532600394384036,0.22944583283170084
user_0002,user_0005,0.5238441246767576,0.5582481531269187,-0.034404028450161106
user_0002,user_0006,0.46785905349500484,0.5132277126547548,-0.04536865915974991
user_0002,user_0007,0.569843592681015,0.5786242371258561,-0.008780644444841057
user_0002,user_0008,0.3005698619997858,0.4102061527943785,-0.1096362907945927
user_0002,user_0009,0.4312561175912575,0.43280114211357984,-0.001545024522322358
user_0002,user_0010,0.5420341580874151,0.5788264010477906,-0.03679224296037553
user_0002,user_0011,0.31319941123042083,0.3138770819815322,-0.0006776707511113589
user_0003,user_0004,0.3987415211988938,0.6454422856387322,-0.2467007644398384
user_0003,user_0005,0.6744376018899211,0.8494722152667463,-0.17503461337682524
user_0003,user_0006,0.6371897848130061,0.361940619788747,0.27524916502425917
user_0003,user_0007,0.7140656527341996,0.7328692161183825,-0.018803563384182875
user_0003,user_0008,0.5626930187870619,0.5028978967498231,0.0597951220372388
user_0003,user_0009,0.611772757726627,0.5228664854460215,0.08890627228060544
user_0003,user_0010,0.5852684924203309,0.49585831598104374,0.08941017643928711
user_0003,user_0011,0.641593360404178,0.7152409626338285,-0.0736476022296505
user_0003,user_0012,0.5525043671329355,0.45541306807933885,0.09709129905359665
user_0004,user_0005,0.47541621130541584,0.5695542218289906,-0.09413801052357479
user_0004,user_0006,0.5504215731656061,0.4172972420827569,0.1331243310828492
