user_id,state_norm,is_normalized,state_dimension,personality_dim,physiological_dim,expected_dim,dimension_correct
user_0000,1.0,True,17,12,5,17,True
user_0001,1.0,True,17,12,5,17,True
user_0002,0.9999999999999999,True,17,12,5,17,True
user_0003,0.9999999999999999,True,17,12,5,17,True
user_0004,0.9999999999999999,True,17,12,5,17,True
user_0005,0.9999999999999999,True,17,12,5,17,True
user_0006,1.0,True,17,12,5,17,True
user_0007,1.0,True,17,12,5,17,True
user_0008,1.0,True,17,12,5,17,True
user_0009,0.9999999999999999,True,17,12,5,17,True
user_0010,1.0,True,17,12,5,17,True
user_0011,1.0,True,17,12,5,17,True
user_0012,1.0,True,17,12,5,17,True
user_0013,1.0,True,17,12,5,17,True
user_0014,0.9999999999999999,True,17,12,5,17,True
user_0015,1.0,True,17,12,5,17,True
user_0016,1.0,True,17,12,5,17,True
user_0017,0.9999999999999999,True,17,12,5,17,True
user_0018,0.9999999999999999,True,17,12,5,17,True
user_0019,1.0,True,17,12,5,17,True
user_0020,1.0,True,17,12,5,17,True
user_0021,0.9999999999999999,True,17,12,5,17,True
user_0022,1.0,True,17,12,5,17,True
user_0023,1.0,True,17,12,5,17,True
user_0024,1.0,True,17,12,5,17,True
user_0025,1.0,True,17,12,5,17,True
user_0026,1.0,True,17,12,5,17,True
user_0027,1.0,True,17,12,5,17,True
user_0028,1.0,True,17,12,5,17,True
user_0029,1.0,True,17,12,5,17,True
user_0030,1.0,True,17,12,5,17,True
user_0031,1.0,True,17,12,5,17,True
user_0032,1.0,True,17,12,5,17,True
user_0033,1.0,True,17,12,5,17,True
user_0034,1.0,True,17,12,5,17,True
user_0035,1.0,True,17,12,5,17,True
user_0036,1.0,True,17,12,5,17,True
user_0037,0.9999999999999999,True,17,12,5,17,True
user_0038,1.0,True,17,12,5,17,True
user_0039,1.0,True,17,12,5,17,True
user_0040,1.0,True,17,12,5,17,True
user_0041,1.0,True,17,12,5,17,True
user_0042,1.0,True,17,12,5,17,True
user_0043,1.0,True,17,12,5,17,True
user_0044,1.0,True,17,12,5,17,True
user_0045,0.9999999999999999,True,17,12,5,17,True
user_0046,1.0,True,17,12,5,17,True
user_0047,0.9999999999999999,True,17,12,5,17,True
user_0048,1.0,True,17,12,5,17,True
user_0049,0.9999999999999999,True,17,12,5,17,True
user_0050,1.0,True,17,12,5,17,True
user_0051,0.9999999999999999,True,17,12,5,17,True
user_0052,0.9999999999999999,True,17,12,5,17,True
user_0053,1.0,True,17,12,5,17,True
user_0054,1.0,True,17,12,5,17,True
user_0055,1.0,True,17,12,5,17,True
user_0056,1.0,True,17,12,5,17,True
user_0057,1.0,True,17,12,5,17,True
user_0058,1.0,True,17,12,5,17,True
user_0059,1.0,True,17,12,5,17,True
user_0060,1.0,True,17,12,5,17,True
user_0061,1.0,True,17,12,5,17,True
user_0062,1.0,True,17,12,5,17,True
user_0063,1.0,True,17,12,5,17,True
user_0064,1.0,True,17,12,5,17,True
user_0065,0.9999999999999999,True,17,12,5,17,True
user_0066,1.0,True,17,12,5,17,True
user_0067,1.0,True,17,12,5,17,True
user_0068,0.9999999999999999,True,17,12,5,17,True
user_0069,1.0,True,17,12,5,17,True
user_0070,1.0,True,17,12,5,17,True
user_0071,0.9999999999999999,True,17,12,5,17,True
user_0072,1.0,True,17,12,5,17,True
user_0073,1.0,True,17,12,5,17,True
user_0074,0.9999999999999999,True,17,12,5,17,True
user_0075,0.9999999999999999,True,17,12,5,17,True
user_0076,1.0,True,17,12,5,17,True
user_0077,1.0,True,17,12,5,17,True
user_0078,0.9999999999999999,True,17,12,5,17,True
user_0079,1.0,True,17,12,5,17,True
user_0080,1.0,True,17,12,5,17,True
user_0081,0.9999999999999999,True,17,12,5,17,True
user_0082,1.0,True,17,12,5,17,True
user_0083,1.0,True,17,12,5,17,True
user_0084,0.9999999999999999,True,17,12,5,17,True
user_0085,1.0,True,17,12,5,17,True
user_0086,0.9999999999999999,True,17,12,5,17,True
user_0087,1.0,True,17,12,5,17,True
user_0088,1.0,True,17,12,5,17,True
user_0089,1.0,True,17,12,5,17,True
user_0090,1.0,True,17,12,5,17,True
user_0091,0.9999999999999999,True,17,12,5,17,True
user_0092,1.0,True,17,12,5,17,True
user_0093,0.9999999999999999,True,17,12,5,17,True
user_0094,0.9999999999999999,True,17,12,5,17,True
user_0095,0.9999999999999999,True,17,12,5,17,True
user_0096,0.9999999999999999,True,17,12,5,17,True
user_0097,1.0,True,17,12,5,17,True
user_0098,1.0,True,17,12,5,17,True
user_0099,1.0,True,17,12,5,17,True
user_0100,0.9999999999999999,True,17,12,5,17,True
user_0101,1.0,True,17,12,5,17,True
user_0102,1.0,True,17,12,5,17,True
user_0103,1.0,True,17,12,5,17,True
user_0104,1.0,True,17,12,5,17,True
user_0105,1.0,True,17,12,5,17,True
user_0106,0.9999999999999999,True,17,12,5,17,True
user_0107,1.0,True,17,12,5,17,True
user_0108,1.0,True,17,12,5,17,True
user_0109,0.9999999999999999,True,17,12,5,17,True
user_0110,1.0,True,17,12,5,17,True
user_0111,1.0,True,17,12,5,17,True
user_0112,0.9999999999999999,True,17,12,5,17,True
user_0113,1.0,True,17,12,5,17,True
user_0114,1.0,True,17,12,5,17,True
user_0115,1.0,True,17,12,5,17,True
user_0116,1.0,True,17,12,5,17,True
user_0117,0.9999999999999999,True,17,12,5,17,True
user_0118,1.0,True,17,12,5,17,True
user_0119,0.9999999999999999,True,17,12,5,17,True
user_0120,0.9999999999999999,True,17,12,5,17,True
user_0121,0.9999999999999999,True,17,12,5,17,True
user_0122,1.0,True,17,12,5,17,True
user_0123,1.0,True,17,12,5,17,True
user_0124,1.0,True,17,12,5,17,True
user_0125,1.0,True,17,12,5,17,True
user_0126,0.9999999999999999,True,17,12,5,17,True
user_0127,1.0,True,17,12,5,17,True
user_0128,1.0,True,17,12,5,17,True
user_0129,1.0,True,17,12,5,17,True
user_0130,1.0,True,17,12,5,17,True
user_0131,0.9999999999999999,True,17,12,5,17,True
user_0132,1.0,True,17,12,5,17,True
user_0133,1.0,True,17,12,5,17,True
user_0134,1.0,True,17,12,5,17,True
user_0135,1.0,True,17,12,5,17,True
user_0136,1.0,True,17,12,5,17,True
user_0137,0.9999999999999999,True,17,12,5,17,True
user_0138,1.0,True,17,12,5,17,True
user_0139,1.0,True,17,12,5,17,True
user_0140,1.0,True,17,12,5,17,True
user_0141,1.0,True,17,12,5,17,True
user_0142,1.0,True,17,12,5,17,True
user_0143,0.9999999999999999,True,17,12,5,17,True
user_0144,1.0000000000000002,True,17,12,5,17,True
user_0145,1.0,True,17,12,5,17,True
user_0146,1.0,True,17,12,5,17,True
user_0147,1.0,True,17,12,5,17,True
