category_id,category_name,saturation_score,base_threshold,multiplier,adjusted_threshold,threshold_increase,status
category_0000,education,0.3581868765124905,0.7,1.716373753024981,1.2014616271174865,0.5014616271174865,balanced
category_0001,health,0.5857137436232075,0.7,2.171427487246415,1.5199992410724905,0.8199992410724906,balanced
category_0002,science,0.40350859130433614,0.7,1.8070171826086723,1.2649120278260706,0.5649120278260706,balanced
category_0003,science,0.39868205318204325,0.7,1.7973641063640864,1.2581548744548603,0.5581548744548603,balanced
category_0004,technology,0.37957797882531746,0.7,1.759155957650635,1.2314091703554444,0.5314091703554444,balanced
category_0005,business,0.4366885448765506,0.7,1.8733770897531012,1.3113639628271707,0.6113639628271708,balanced
category_0006,technology,0.5471047814072064,0.7,2.094209562814413,1.4659466939700891,0.7659466939700892,balanced
category_0007,art,0.5127106521002978,0.7,2.0254213042005955,1.4177949129404168,0.7177949129404169,balanced
category_0008,education,0.2668331316313469,0.7,1.5336662632626938,1.0735663842838856,0.37356638428388567,undersaturated
category_0009,education,0.426450295683542,0.7,1.852900591367084,1.2970304139569586,0.5970304139569587,balanced
category_0010,art,0.4255781763657387,0.7,1.8511563527314774,1.295809446912034,0.5958094469120341,balanced
category_0011,business,0.54768842691639,0.7,2.09537685383278,1.466763797682946,0.766763797682946,balanced
category_0012,health,0.4920091191201732,0.7,1.9840182382403464,1.3888127667682424,0.6888127667682424,balanced
category_0013,technology,0.34524944980356664,0.7,1.6904988996071333,1.1833492297249932,0.4833492297249933,balanced
category_0014,health,0.49032451954978906,0.7,1.9806490390995781,1.3864543273697045,0.6864543273697046,balanced
category_0015,health,0.34896615882693344,0.7,1.697932317653867,1.1885526223577068,0.4885526223577068,balanced
category_0016,education,0.2208537570608956,0.7,1.4417075141217912,1.0091952598852538,0.30919525988525387,undersaturated
category_0017,education,0.5823562986529865,0.7,2.1647125973059733,1.5152988181141813,0.8152988181141814,balanced
category_0018,technology,0.4786195642442449,0.7,1.9572391284884898,1.3700673899419429,0.6700673899419429,balanced
category_0019,science,0.446421257127271,0.7,1.892842514254542,1.3249897599781792,0.6249897599781793,balanced
