category_id,category_name,geographic_distribution,geographic_factor,clustering_impact,saturation_score,geographic_contribution
category_0000,education,0.8703338723338379,0.12966612766616215,0.12966612766616215,0.3581868765124905,0.012966612766616216
category_0001,health,0.5132679848419318,0.4867320151580682,0.4867320151580682,0.5857137436232075,0.04867320151580682
category_0002,science,0.934650160396467,0.06534983960353302,0.06534983960353302,0.40350859130433614,0.006534983960353302
category_0003,science,0.5463729216900739,0.4536270783099261,0.4536270783099261,0.39868205318204325,0.04536270783099261
category_0004,technology,0.9865578819896853,0.013442118010314696,0.013442118010314696,0.37957797882531746,0.0013442118010314698
category_0005,business,0.59614429512833,0.40385570487167,0.40385570487167,0.4366885448765506,0.040385570487167004
category_0006,technology,0.5505007147048646,0.4494992852951354,0.4494992852951354,0.5471047814072064,0.044949928529513544
category_0007,art,0.8509101567292756,0.1490898432707244,0.1490898432707244,0.5127106521002978,0.014908984327072439
category_0008,education,0.689727720878824,0.31027227912117605,0.31027227912117605,0.2668331316313469,0.031027227912117608
category_0009,education,0.9109012970034042,0.08909870299659584,0.08909870299659584,0.426450295683542,0.008909870299659584
category_0010,art,0.6063132720270703,0.3936867279729297,0.3936867279729297,0.4255781763657387,0.039368672797292975
category_0011,business,0.6313708042614676,0.36862919573853237,0.36862919573853237,0.54768842691639,0.03686291957385324
category_0012,health,0.545454706086897,0.45454529391310305,0.45454529391310305,0.4920091191201732,0.04545452939131031
category_0013,technology,0.69238365583725,0.30761634416274997,0.30761634416274997,0.34524944980356664,0.030761634416274997
category_0014,health,0.5572758714918433,0.4427241285081567,0.4427241285081567,0.49032451954978906,0.04427241285081567
category_0015,health,0.5016226580508647,0.4983773419491353,0.4983773419491353,0.34896615882693344,0.04983773419491353
category_0016,education,0.8126500967832088,0.18734990321679124,0.18734990321679124,0.2208537570608956,0.018734990321679124
category_0017,education,0.9612170403091373,0.03878295969086265,0.03878295969086265,0.5823562986529865,0.003878295969086265
category_0018,technology,0.9033874023985644,0.09661259760143559,0.09661259760143559,0.4786195642442449,0.00966125976014356
category_0019,science,0.5346062592341918,0.4653937407658082,0.4653937407658082,0.446421257127271,0.04653937407658082
