category_id,category_name,saturation_score,expected_saturation,error,supply_ratio,quality_factor,utilization_factor,demand_factor,growth_instability,geographic_factor
category_0000,education,0.3581868765124905,0.3581868765124905,0.0,0.4672897196261682,0.10337980009606684,0.5530648877179143,0.5162772428849136,0.19667309843799002,0.12966612766616215
category_0001,health,0.5857137436232075,0.5857137436232075,0.0,1.0,0.23123127212589178,0.6821216683371578,0.468817215117838,0.34047371747114985,0.4867320151580682
category_0002,science,0.40350859130433614,0.40350859130433614,0.0,0.9203681472589036,0.11947001056390572,0.44828810742300473,0.3304745722296878,0.03758761097421695,0.06534983960353302
category_0003,science,0.39868205318204325,0.39868205318204325,0.0,0.6552006552006552,0.26389979339280323,0.6067123001129311,0.025672156675931257,0.11545939348350234,0.4536270783099261
category_0004,technology,0.37957797882531746,0.37957797882531746,0.0,0.9635974304068523,0.15850958745324362,0.2157230360353719,0.1621609279837093,0.3816374552729343,0.013442118010314696
category_0005,business,0.4366885448765506,0.4366885448765506,0.0,1.0,0.28272868743716284,0.32281612030333395,0.06872895123791589,0.14884670155596869,0.40385570487167
category_0006,technology,0.5471047814072064,0.5471047814072064,0.0,1.0,0.3088406897393813,0.5263672218387356,0.5521248138458235,0.02294548485195974,0.4494992852951354
category_0007,art,0.5127106521002978,0.5127106521002978,0.0,1.0,0.06635582934369988,0.6024075417063491,0.3868375798634871,0.5602335658369244,0.1490898432707244
category_0008,education,0.2668331316313469,0.2668331316313469,0.0,0.1965923984272608,0.15634759773320472,0.5973168110811418,0.16252392122979042,0.11546334165076218,0.31027227912117605
category_0009,education,0.426450295683542,0.426450295683542,0.0,0.8291873963515756,0.31215393041189243,0.5054303593508069,0.13901185344457667,0.25874940326762147,0.08909870299659584
category_0010,art,0.4255781763657387,0.4255781763657387,0.0,0.7189542483660131,0.3735245579153811,0.15211832548867288,0.2596919691128987,0.623885694291968,0.3936867279729297
category_0011,business,0.54768842691639,0.54768842691639,0.0,1.0,0.21645925896504048,0.5410719001011686,0.45202349538361,0.4151575122175344,0.36862919573853237
category_0012,health,0.4920091191201732,0.4920091191201732,0.0,1.0,0.2402397979438411,0.56840754450563,0.0014774361029338268,0.3460350582352861,0.45454529391310305
category_0013,technology,0.34524944980356664,0.34524944980356664,0.0,0.2038735983690112,0.3388634722606956,0.6040107989665299,0.19171127190220383,0.46187870764263184,0.30761634416274997
category_0014,health,0.49032451954978906,0.49032451954978906,0.0,1.0,0.29943435200727475,0.36806446227082745,0.03454148317211414,0.5737112136753579,0.4427241285081567
category_0015,health,0.34896615882693344,0.34896615882693344,0.0,0.4224270353302611,0.09256050693702167,0.4958947161813728,0.4238999228115443,0.12245632754044038,0.4983773419491353
category_0016,education,0.2208537570608956,0.2208537570608956,0.0,0.3514056224899598,0.011244760451954328,0.24282268056876122,0.29539099523740486,0.1914522362697267,0.18734990321679124
category_0017,education,0.5823562986529865,0.5823562986529865,0.0,1.0,0.32043555929410683,0.47565168844531125,0.503070578548108,0.9379996635380039,0.03878295969086265
category_0018,technology,0.4786195642442449,0.4786195642442449,0.0,0.584385226741468,0.20455771678842083,0.632879364807463,0.38221153969143984,0.9804285052584165,0.09661259760143559
category_0019,science,0.446421257127271,0.446421257127271,0.0,1.0,0.04879616031838374,0.13183033282120338,0.5486079287592727,0.3146539510888184,0.4653937407658082
