user_id,total_obfuscation_km,rounding_component_km,noise_component_km,expected_total_km
user_0000,0.058411794871517424,0.5260692346008721,0.584395466681257,1.5
user_0001,0.18797068219220067,0.2313244457631867,0.0950707784893706,1.5
user_0002,0.6806083835567746,0.26878953725994864,0.41238058890644197,1.5
user_0003,0.24801941353442752,0.3891415399057902,0.15489051303493373,1.5
user_0004,0.07809859483042718,0.3922771727701277,0.33292205473723346,1.5
user_0005,0.4308522536382949,0.1626896343822133,0.5297949547977785,1.5
user_0006,0.277684448514257,0.28136107159885915,0.46035782353649746,1.5
user_0007,0.590145639032398,0.546103414584936,0.3005661195622109,1.5
user_0009,0.20412371351815248,0.135058537413884,0.21628614605654697,1.5
user_0010,0.23088488224459724,0.4068708751457135,0.21657927218391024,1.5
user_0011,0.061468375697092285,0.09575739236596306,0.15380435565449488,1.5
user_0012,0.8074391374506327,0.3558230145236022,0.453852170337925,1.5
user_0015,0.3698193992739317,0.26513774428444886,0.5001309092049353,1.5
user_0016,0.05158593752285903,0.3582991565172774,0.39708692198621925,1.5
user_0017,0.417197743469497,0.1964759707863833,0.5546625094127217,1.5
user_0018,0.7809364536032694,0.49247571786975325,0.4342513527290236,1.5
user_0019,0.2198767498224052,0.5160209804088958,0.3231305077572333,1.5
user_0020,0.749096860530577,0.46736512549593107,0.2817789862369619,1.5
user_0021,0.6726731783951909,0.31410209199925354,0.37500005013339194,1.5
user_0022,0.2535466533970954,0.32347640479942646,0.276760657086036,1.5
user_0023,0.7833432351040954,0.48972566289626007,0.41830142604593756,1.5
user_0024,1.0260990336128213,0.4582639794357561,0.5679665126964031,1.5
user_0025,0.7370078850340032,0.5140841916189939,0.28463543006434844,1.5
user_0026,0.4997001993426271,0.37940927416811704,0.5192210959842166,1.5
user_0027,0.44307971871879787,0.39581067168005113,0.24458531583421103,1.5
user_0028,0.44596129110122446,0.5319178493415516,0.36077815492885285,1.5
user_0030,0.062453928177534396,0.35165450712133267,0.28937283058706215,1.5
user_0031,0.4800482348542995,0.13412727157867987,0.5970519713772071,1.5
user_0032,0.2948387280787353,0.20554357679998056,0.5003283845605209,1.5
user_0033,0.27728085634755273,0.15409413564180835,0.23748003374023968,1.5
user_0034,0.2224054446526021,0.2456511188135411,0.45548097427013623,1.5
user_0035,0.6520398941653941,0.36825408315106684,0.29802348349165575,1.5
user_0036,0.39355383717537673,0.4118840001461068,0.4820989763856717,1.5
user_0037,0.54518779834112,0.08198459957759546,0.5301186092132891,1.5
user_0038,0.21517037702424058,0.34940832164456576,0.3226263615341363,1.5
user_0039,0.4193035016422112,0.12465544398282598,0.31046667138897266,1.5
user_0040,0.433394541623367,0.3442210868544609,0.14658451168966152,1.5
user_0041,0.8929707035877523,0.6110890085505902,0.4255958630478029,1.5
user_0042,0.058549667517241825,0.4665080680156424,0.4781112647848141,1.5
user_0045,0.13112652155754306,0.43246996300924895,0.5513452130250315,1.5
user_0046,0.26258866456396784,0.07258312348040631,0.19052159910892408,1.5
user_0047,0.021084021080010007,0.5184440764656112,0.4982205626851443,1.5
user_0048,0.6320503651384327,0.6082530076275483,0.45133258340279975,1.5
user_0049,0.20395177258165498,0.4531574169248046,0.5639649165969834,1.5
user_0050,0.6086160158742602,0.3465240333754465,0.2622614714491369,1.5
user_0051,0.09293096696976517,0.43928793404185057,0.5317893442263959,1.5
user_0052,1.0617818440056201,0.5231851783765922,0.5734807467163159,1.5
user_0053,0.2663240981406103,0.20137346304027737,0.1716946404046906,1.5
user_0054,0.3400364163511976,0.10307380624575259,0.2809525550168859,1.5
user_0055,0.44064532428679737,0.482434490495373,0.1247594014885886,1.5
user_0056,0.3665196837072189,0.33147897356539047,0.30995801167594006,1.5
user_0057,0.9062495908457465,0.3019612262494513,0.6055447910329697,1.5
user_0059,0.3780715029109679,0.20389234057685618,0.4303384883986403,1.5
user_0060,0.0898492966805483,0.41914976963727363,0.49288507251641966,1.5
user_0061,1.0657736836340823,0.5461087305136694,0.5198647118241733,1.5
user_0062,0.16153500815615196,0.21006888381893524,0.30124488059445326,1.5
user_0063,0.2148094116342871,0.29053053262139644,0.30333514855322435,1.5
user_0064,0.7576976939269322,0.638955936547284,0.2661453658350474,1.5
user_0066,0.5793949088477919,0.09388346724987998,0.48551148224165686,1.5
user_0067,0.4231630875624849,0.4386078634312054,0.016756889029614426,1.5
user_0068,0.35318839720388284,0.5224941323439894,0.47992621978145095,1.5
user_0069,0.28787391163841375,0.4861881083362858,0.1983825963499837,1.5
user_0070,0.5005239135144891,0.5379465514970582,0.25152423116852124,1.5
user_0071,0.1839811165920167,0.4930120804431326,0.5851355698684038,1.5
user_0072,0.9723262677083647,0.381068798884964,0.5923852953089025,1.5
user_0073,0.7875892620147398,0.5037837230400078,0.5964127980481484,1.5
user_0075,0.2680021225387042,0.4686883374712181,0.4530331168052185,1.5
user_0077,0.676101737588563,0.23287117141574093,0.46111688658330163,1.5
user_0078,0.9046172631980581,0.3719132031998635,0.5860066433196541,1.5
user_0079,0.40977201921131157,0.2776830659454697,0.2924249883480738,1.5
user_0080,0.19459294043720843,0.22443541902367392,0.4036393871040823,1.5
user_0081,0.3456326952333104,0.32821477700875895,0.03687496450324833,1.5
user_0082,0.6307676282286153,0.4443659176380295,0.4236816315408126,1.5
user_0083,0.6801044022627151,0.34597386703331373,0.33421483907318106,1.5
user_0084,0.11511374530072024,0.2586747932782618,0.17104415075398013,1.5
user_0085,0.45443997637207983,0.2935333491008253,0.16090663417795947,1.5
user_0086,0.056934974021160635,0.5173986634426937,0.5742693744801701,1.5
user_0087,0.24364012593808954,0.15116489408211922,0.3500342112263297,1.5
user_0088,0.4141612046911985,0.5156275079966209,0.16816281178292733,1.5
user_0090,0.3107940856785915,0.26101333019500933,0.19582534305213706,1.5
user_0091,0.12617076473647346,0.3064276572704501,0.19414984180094583,1.5
user_0092,0.6200088062838748,0.3923001445512098,0.252313503807489,1.5
user_0093,0.24707687776983028,0.0811563586974021,0.21494214507474202,1.5
user_0094,0.7363334022566015,0.5302543011210736,0.5036495906835153,1.5
user_0097,0.5775798024493344,0.17300677987976454,0.4051336652507211,1.5
user_0098,0.19238937630880415,0.43606542612416577,0.3805830815437659,1.5
user_0099,0.2393714737166593,0.061161756261023215,0.300337774722262,1.5
user_0100,0.18249774561118462,0.32830039958273893,0.16397036740129067,1.5
user_0101,0.5648079842913161,0.44746476880505154,0.587744931527019,1.5
user_0102,0.8014260935131495,0.49460242825171036,0.30690803624395563,1.5
user_0103,0.9196135649121685,0.41569829577898715,0.549930599621843,1.5
user_0104,0.8680795643335423,0.6170686262493933,0.2510979314550523,1.5
user_0105,0.8595759017775763,0.4997986888363769,0.39904002232354796,1.5
user_0106,0.4687229862194404,0.153634214055647,0.5190133108708569,1.5
user_0107,0.09132990817934354,0.32453541207612663,0.4158185457103809,1.5
user_0108,0.5231132818603226,0.17404005000122014,0.35086536953582353,1.5
user_0109,0.22899497525002405,0.3665730725127855,0.5192603959924668,1.5
user_0110,0.720680894355649,0.542306810612097,0.19082975936713845,1.5
user_0111,0.37617621449012034,0.30993165390195787,0.1326183782050008,1.5
user_0112,0.2165587467346318,0.2306444735817919,0.37301213241137227,1.5
user_0113,0.7127348418731422,0.6272968648454204,0.10612317249471422,1.5
user_0114,0.35043665415048175,0.05222929121742671,0.3943303451171899,1.5
user_0115,0.6359815125707088,0.3924859217330011,0.30314268086822665,1.5
user_0116,0.6330028625724168,0.5593991502704702,0.5461486434323986,1.5
user_0117,0.7406736747188205,0.5276830097220087,0.2944721687795052,1.5
user_0118,0.2720812898633342,0.23900632555593804,0.03623373529968285,1.5
user_0119,0.055765869227787375,0.5969988682310308,0.632813746596942,1.5
user_0120,0.6822010916381284,0.3836159300378303,0.3066955550220507,1.5
user_0121,0.6486706609902061,0.4298424543892807,0.45791948186345155,1.5
user_0123,0.4573676717519307,0.3986978474546871,0.08074701736099155,1.5
user_0124,0.6403606861029395,0.3216871859251556,0.4127337409699969,1.5
user_0125,0.17190772027425008,0.5350862690579692,0.4011334513158551,1.5
user_0126,0.8168030417295842,0.6788626678059658,0.23207826930984637,1.5
user_0127,0.6591392846613727,0.3143740577276868,0.38214598150068124,1.5
user_0128,0.6841322727177204,0.4943418388473999,0.6540872267337055,1.5
user_0129,0.11968629656067803,0.10623654949306517,0.18102684379495884,1.5
user_0130,0.9154568673435909,0.5769335753757081,0.341586604913313,1.5
user_0131,0.1432297134132892,0.44853511771150995,0.5800760476485183,1.5
user_0132,0.5527738230917825,0.49081475454002654,0.07298594538576497,1.5
