category_id,category_name,saturation_score,detected_status,ground_truth_status,detection_correct,supply_ratio,expected_saturation
category_0000,education,0.3581868765124905,balanced,balanced,True,0.4672897196261682,0.3581868765124905
category_0001,health,0.5857137436232075,balanced,balanced,True,1.0,0.5857137436232075
category_0002,science,0.40350859130433614,balanced,balanced,True,0.9203681472589036,0.40350859130433614
category_0003,science,0.39868205318204325,balanced,balanced,True,0.6552006552006552,0.39868205318204325
category_0004,technology,0.37957797882531746,balanced,balanced,True,0.9635974304068523,0.37957797882531746
category_0005,business,0.4366885448765506,balanced,balanced,True,1.0,0.4366885448765506
category_0006,technology,0.5471047814072064,balanced,balanced,True,1.0,0.5471047814072064
category_0007,art,0.5127106521002978,balanced,balanced,True,1.0,0.5127106521002978
category_0008,education,0.2668331316313469,undersaturated,undersaturated,True,0.1965923984272608,0.2668331316313469
category_0009,education,0.426450295683542,balanced,balanced,True,0.8291873963515756,0.426450295683542
category_0010,art,0.4255781763657387,balanced,balanced,True,0.7189542483660131,0.4255781763657387
category_0011,business,0.54768842691639,balanced,balanced,True,1.0,0.54768842691639
category_0012,health,0.4920091191201732,balanced,balanced,True,1.0,0.4920091191201732
category_0013,technology,0.34524944980356664,balanced,balanced,True,0.2038735983690112,0.34524944980356664
category_0014,health,0.49032451954978906,balanced,balanced,True,1.0,0.49032451954978906
category_0015,health,0.34896615882693344,balanced,balanced,True,0.4224270353302611,0.34896615882693344
category_0016,education,0.2208537570608956,undersaturated,undersaturated,True,0.3514056224899598,0.2208537570608956
category_0017,education,0.5823562986529865,balanced,balanced,True,1.0,0.5823562986529865
category_0018,technology,0.4786195642442449,balanced,balanced,True,0.584385226741468,0.4786195642442449
category_0019,science,0.446421257127271,balanced,balanced,True,1.0,0.446421257127271
