user_id,original_lat,original_lng,rounded_lat,rounded_lng,distance_km,expected_distance_km,rounding_error
user_0000,25.096823722419074,-170.9961281198399,25.1,-171.0,0.5260692346008721,0.525150770985442,0.0009184636154300208
user_0001,-49.8220671332119,85.12963709904449,-49.82,85.13,0.2313244457631867,0.23091886749463023,0.0004055782685564724
user_0002,70.59232218687217,-148.70202025341018,70.59,-148.70000000000002,0.26878953725994864,0.26831715421140845,0.00047238304854019253
user_0003,-84.63650050114734,-101.2903290707028,-84.64,-101.29,0.3891415399057902,0.3884593777650572,0.0006821621407330225
user_0004,-85.22352545690455,-108.41844575280655,-85.22,-108.42,0.3922771727701277,0.39158931001024133,0.0006878627598863596
user_0005,8.089466508579008,-100.64137606534919,8.09,-100.64,0.1626896343822133,0.1624045297970642,0.00028510458514907633
user_0006,55.697482202008786,-177.66044651589803,55.7,-177.66,0.28136107159885915,0.28086793020072226,0.0004931413981368871
user_0007,35.66509109788083,-57.50981405352293,35.67,-57.51,0.546103414584936,0.5451461016385943,0.0009573129463417152
user_0008,82.2983529972206,-58.82596375945437,82.3,-58.83,0.19276035783824993,0.19242443671253825,0.0003359211257116801
user_0009,-72.59105216997648,125.09797188508554,-72.59,125.10000000000001,0.135058537413884,0.1348207921001924,0.00023774531369158414
user_0010,55.28308918938845,82.70344320977443,55.28,82.7,0.4068708751457135,0.40615308466400324,0.0007177904817102787
user_0011,85.1608375162867,-43.727624204992736,85.16,-43.730000000000004,0.09575739236596306,0.09558908102158574,0.00016831134437732265
user_0012,59.29283956553908,42.66711085112857,59.29,42.67,0.3558230145236022,0.35519610047126526,0.0006269140523369465
user_0013,13.923386146217169,73.64586103737244,13.92,73.65,0.584226952025542,0.5832002944351162,0.0010266575904257502
user_0014,-48.97831038272157,-75.82033310324142,-48.980000000000004,-75.82000000000001,0.1894431408277036,0.18911109648291635,0.00033204434478725786
user_0015,-48.09764045501457,-143.63948541249752,-48.1,-143.64000000000001,0.26513774428444886,0.2646730793690265,0.00046466491542235255
user_0016,24.423199967592026,-48.660415570769686,24.42,-48.660000000000004,0.3582991565172774,0.35767098931002733,0.0006281672072500633
user_0017,-52.288734461132215,-83.88798406231919,-52.29,-83.89,0.1964759707863833,0.19613290936963482,0.0003430614167484747
user_0018,26.64636934438684,39.28716204011576,26.650000000000002,39.29,0.49247571786975325,0.4916149630547449,0.0008607548150083577
user_0019,41.24282363106286,-121.17510224570577,41.24,-121.18,0.5160209804088958,0.5151093784390051,0.0009116019698907074
user_0020,88.11420311458716,50.39991354747343,88.11,50.4,0.46736512549593107,0.46654582604655137,0.0008192994493796957
user_0021,33.23056517817743,123.42669126833147,33.230000000000004,123.43,0.31410209199925354,0.31355049297691134,0.0005515990223421974
user_0022,-48.771347046461216,-168.4439121945464,-48.77,-168.44,0.32347640479942646,0.32290594229136577,0.0005704625080606984
user_0023,-41.806642324373506,-104.04617630892247,-41.81,-104.05,0.48972566289626007,0.4888725304189223,0.0008531324773377591
user_0024,67.74617276508039,-66.71596291254795,67.75,-66.72,0.4582639794357561,0.45746577340483763,0.000798206030918458
user_0025,-18.78625780908044,149.23713230659564,-18.79,149.24,0.5140841916189939,0.5131849590200016,0.0008992325989922723
user_0026,-42.32157003035056,-91.21409723016596,-42.32,-91.21000000000001,0.37940927416811704,0.37874043832564747,0.0006688358424695728
user_0027,-42.70651046587165,30.450956480474588,-42.71,30.45,0.39581067168005113,0.3951172416593292,0.0006934300207219191
user_0028,-18.107909074728497,-101.044526703378,-18.11,-101.04,0.5319178493415516,0.5309879511573191,0.0009298981842325027
user_0029,1.7147328617636077,-147.2726116174342,1.71,-147.27,0.6010128041355278,0.5999590453402012,0.0010537587953266536
user_0030,-70.26315653688135,45.880575013112406,-70.26,45.88,0.35165450712133267,0.3510379490298392,0.0006165580914934687
user_0031,-14.011205976056871,-157.13002578529543,-14.01,-157.13,0.13412727157867987,0.1338921439824818,0.00023512759619806478
user_0032,89.30184844321741,10.481164235689334,89.3,10.48,0.20554357679998056,0.20518323933074098,0.00036033746923958
user_0033,64.94034640220966,-175.86683210058493,64.94,-175.87,0.15409413564180835,0.15382307361031392,0.00027106203149443453
user_0034,32.70786642478346,13.309318947166247,32.71,13.31,0.2456511188135411,0.24522068541533065,0.0004304333982104447
user_0035,25.373123744365458,-139.84121750548448,25.37,-139.84,0.36825408315106684,0.36760800298016866,0.0006460801708981778
user_0036,-8.329732860742837,163.37373390758887,-8.33,163.37,0.4118840001461068,0.4111620999277345,0.0007219002183723178
user_0037,-42.58997086480366,0.21100069810739797,-42.59,0.21,0.08198459957759546,0.08184089824359352,0.00014370133400194718
user_0038,74.27301108206768,133.38668514123606,74.27,133.39000000000001,0.34940832164456576,0.3487931416800526,0.0006151799645131573
user_0039,25.01090907588093,39.229276117742046,25.01,39.230000000000004,0.12465544398282598,0.12443676311447345,0.00021868086835252765
user_0040,47.251944013527236,14.176450843065254,47.25,14.18,0.3442210868544609,0.3436138419327899,0.0006072449216710241
user_0041,5.463660995131946,-179.79411739394033,5.46,-179.79,0.6110890085505902,0.6100167222382091,0.0010722863123810988
user_0042,-86.49418637055018,154.47550185526217,-86.49,154.48,0.4665080680156424,0.4656890775771631,0.0008189904384792723
