user_id,snapshot_pair,factor,jones_degree_diff,alexander_degree_diff,avrai_jones_error,baseline_jones_error,avrai_alexander_error,baseline_alexander_error,jones_improvement,alexander_improvement
user_1,0-1,0.25,0,0,0.3759665408233044,0.3759665408233044,0.43907127582972283,0.43907127582972283,0.0,0.0
user_1,0-1,0.5,0,0,0.16709624036591308,0.16709624036591308,0.1951427892576546,0.1951427892576546,0.0,0.0
user_1,0-1,0.75,0,0,0.041774060091478264,0.041774060091478264,0.04878569731441366,0.04878569731441366,0.0,0.0
user_1,1-2,0.25,0,0,0.2617217197721487,0.2617217197721487,0.25375615529325285,0.25375615529325285,0.0,0.0
user_1,1-2,0.5,0,0,0.11632076434317723,0.11632076434317723,0.11278051346366792,0.11278051346366792,0.0,0.0
user_1,1-2,0.75,0,0,0.029080191085794307,0.029080191085794307,0.02819512836591698,0.02819512836591698,0.0,0.0
user_1,2-3,0.25,0,0,0.17298930090617892,0.17298930090617892,0.20893902247135424,0.20893902247135424,0.0,0.0
user_1,2-3,0.5,0,0,0.07688413373607952,0.07688413373607952,0.09286178776504632,0.09286178776504632,0.0,0.0
user_1,2-3,0.75,0,0,0.01922103343401988,0.01922103343401988,0.02321544694126158,0.02321544694126158,0.0,0.0
user_1,3-4,0.25,0,0,0.22127631930745367,0.22127631930745367,0.05268311440300196,0.05268311440300196,0.0,0.0
user_1,3-4,0.5,0,0,0.09834503080331275,0.09834503080331275,0.023414717512445313,0.023414717512445313,0.0,0.0
user_1,3-4,0.75,0,0,0.024586257700828187,0.024586257700828187,0.005853679378111328,0.005853679378111328,0.0,0.0
user_1,4-5,0.25,0,0,0.2203134608328789,0.2203134608328789,0.23306125556363635,0.23306125556363635,0.0,0.0
user_1,4-5,0.5,0,0,0.09791709370350171,0.09791709370350171,0.10358278025050505,0.10358278025050505,0.0,0.0
user_1,4-5,0.75,0,0,0.024479273425875442,0.024479273425875442,0.02589569506262626,0.02589569506262626,0.0,0.0
user_1,5-6,0.25,0,0,0.700375785598811,0.700375785598811,0.6213698653640812,0.6213698653640812,0.0,0.0
user_1,5-6,0.5,0,0,0.3112781269328049,0.3112781269328049,0.2761643846062583,0.2761643846062583,0.0,0.0
user_1,5-6,0.75,0,0,0.07781953173320122,0.07781953173320122,0.06904109615156459,0.06904109615156459,0.0,0.0
user_1,6-7,0.25,0,0,0.40062878239014676,0.40062878239014676,0.2980775588795876,0.2980775588795876,0.0,0.0
user_1,6-7,0.5,0,0,0.178057236617843,0.178057236617843,0.1324789150575945,0.1324789150575945,0.0,0.0
user_1,6-7,0.75,0,0,0.04451430915446075,0.04451430915446075,0.03311972876439862,0.03311972876439862,0.0,0.0
user_1,7-8,0.25,0,0,0.12947566533284113,0.12947566533284113,0.07615726778686595,0.07615726778686595,0.0,0.0
user_1,7-8,0.5,0,0,0.05754474014792938,0.05754474014792938,0.03384767457194042,0.03384767457194042,0.0,0.0
user_1,7-8,0.75,0,0,0.014386185036982345,0.014386185036982345,0.008461918642985105,0.008461918642985105,0.0,0.0
user_1,8-9,0.25,0,0,0.5529852506815247,0.5529852506815247,0.09674294635149756,0.09674294635149756,0.0,0.0
user_1,8-9,0.5,0,0,0.24577122252512215,0.24577122252512215,0.04299686504511003,0.04299686504511003,0.0,0.0
user_1,8-9,0.75,0,0,0.061442805631280524,0.061442805631280524,0.010749216261277507,0.010749216261277507,0.0,0.0
user_2,0-1,0.25,0,0,0.22116270371297717,0.22116270371297717,0.57152444832243,0.57152444832243,0.0,0.0
user_2,0-1,0.5,0,0,0.09829453498354541,0.09829453498354541,0.25401086592108,0.25401086592108,0.0,0.0
user_2,0-1,0.75,0,0,0.024573633745886354,0.024573633745886354,0.06350271648027002,0.06350271648027002,0.0,0.0
user_2,1-2,0.25,0,0,0.09350632993042869,0.09350632993042869,0.5345247137799595,0.5345247137799595,0.0,0.0
user_2,1-2,0.5,0,0,0.04155836885796832,0.04155836885796832,0.23756653945775985,0.23756653945775985,0.0,0.0
user_2,1-2,0.75,0,0,0.010389592214492089,0.010389592214492089,0.05939163486443996,0.05939163486443996,0.0,0.0
user_2,2-3,0.25,0,0,0.44259116662486414,0.44259116662486414,0.2534845362251334,0.2534845362251334,0.0,0.0
user_2,2-3,0.5,0,0,0.19670718516660626,0.19670718516660626,0.11265979387783706,0.11265979387783706,0.0,0.0
user_2,2-3,0.75,0,0,0.049176796291651566,0.049176796291651566,0.028164948469459265,0.028164948469459265,0.0,0.0
user_2,3-4,0.25,0,0,0.13609707662586265,0.13609707662586265,0.059128978336332204,0.059128978336332204,0.0,0.0
user_2,3-4,0.5,0,0,0.0604875896114945,0.0604875896114945,0.026279545927258757,0.026279545927258757,0.0,0.0
user_2,3-4,0.75,0,0,0.015121897402873626,0.015121897402873626,0.006569886481814689,0.006569886481814689,0.0,0.0
user_2,4-5,0.25,0,0,0.5206824045093607,0.5206824045093607,0.7095996197690438,0.7095996197690438,0.0,0.0
user_2,4-5,0.5,0,0,0.2314144020041603,0.2314144020041603,0.31537760878624177,0.31537760878624177,0.0,0.0
user_2,4-5,0.75,0,0,0.057853600501040076,0.057853600501040076,0.07884440219656044,0.07884440219656044,0.0,0.0
user_2,5-6,0.25,0,0,0.003960665878465697,0.003960665878465697,0.0001446972934872335,0.0001446972934872335,0.0,0.0
user_2,5-6,0.5,0,0,0.0017602959459847541,0.0017602959459847541,6.430990821654823e-05,6.430990821654823e-05,0.0,0.0
user_2,5-6,0.75,0,0,0.00044007398649618853,0.00044007398649618853,1.6077477054137057e-05,1.6077477054137057e-05,0.0,0.0
user_2,6-7,0.25,0,0,0.0577780131065799,0.0577780131065799,0.03190351106053795,0.03190351106053795,0.0,0.0
user_2,6-7,0.5,0,0,0.02567911693625774,0.02567911693625774,0.014179338249127978,0.014179338249127978,0.0,0.0
user_2,6-7,0.75,0,0,0.0064197792340644376,0.0064197792340644376,0.0035448345622819946,0.0035448345622819946,0.0,0.0
user_2,7-8,0.25,0,0,0.21397506364555197,0.21397506364555197,0.1290458713739979,0.1290458713739979,0.0,0.0
user_2,7-8,0.5,0,0,0.09510002828691198,0.09510002828691198,0.057353720610665716,0.057353720610665716,0.0,0.0
user_2,7-8,0.75,0,0,0.023775007071727996,0.023775007071727996,0.014338430152666429,0.014338430152666429,0.0,0.0
user_2,8-9,0.25,0,0,0.10647850440831926,0.10647850440831926,0.33308954288670733,0.33308954288670733,0.0,0.0
user_2,8-9,0.5,0,0,0.04732377973703078,0.04732377973703078,0.1480397968385366,0.1480397968385366,0.0,0.0
