pair_id,knot_topology_alone,temporal_tracking_alone,combination_avrai,synergistic_improvement
0-1,0.4053212337395248,0.5472083333333333,0.7026606168697624,0.15545228353642915
1-2,0.7832012147101973,0.6319375,0.8916006073550987,0.1083993926449014
2-3,0.7281187947445931,0.7091666666666667,0.8640593973722965,0.13594060262770347
3-4,0.86522762255576,0.8752916666666666,0.9326138112778799,0.05732214461121332
4-5,0.30893345051738175,0.687,0.6544667252586909,-0.03253327474130918
5-6,0.8799796021771755,0.7488958333333333,0.9399898010885879,0.06001019891141235
6-7,0.6957288634503498,0.6299583333333334,0.9511557408071025,0.25542687735675274
7-8,0.774382594304559,0.7381249999999999,0.8017187367464225,0.027336142441863442
8-9,0.5771057937592505,0.6614791666666666,0.7885528968796253,0.12707373021295865
9-10,0.43683438603238745,0.7169166666666666,0.7184171930161938,0.0015005263495271315
10-11,0.6929017142220129,0.68675,0.8464508571110064,0.15354914288899357
11-12,0.6704546947344425,0.7547708333333333,0.8352273473672212,0.08045651403388787
12-13,0.17513596275897925,0.7723958333333333,0.5875679813794896,-0.18482785195384366
13-14,0.8753771623851161,0.5488333333333333,0.9376885811925582,0.062311418807442065
14-15,0.9162294608420656,0.8122083333333333,0.9581147304210328,0.04188526957896721
