group_id,snapshot_pair,time_point,avrai_stability_error,baseline_stability_error,avrai_density_error,baseline_density_error,stability_improvement,density_improvement
group_0,0-1,2025-12-18T11:30:40.729091,0.023385331224897388,0.046770662449794775,0.0,0.0,0.023385331224897388,0.0
group_0,1-2,2025-12-21T11:30:40.729091,0.006804916589897347,0.013609833179794806,0.0,0.0,0.006804916589897458,0.0
group_0,2-3,2025-12-24T11:30:40.729091,0.014264890647002426,0.028529781294004852,0.0,0.0,0.014264890647002426,0.0
group_0,3-4,2025-12-27T11:30:40.729091,0.0033896049218714586,0.006779209843742917,0.06000000000000005,0.12,0.0033896049218714586,0.05999999999999994
group_0,4-5,2025-12-30T11:30:40.729091,0.007172897339227657,0.014345794678455315,0.0,0.0,0.007172897339227657,0.0
group_0,5-6,2026-01-02T11:30:40.729091,0.008202846127662755,0.01640569225532551,0.0,0.0,0.008202846127662755,0.0
group_0,6-7,2026-01-05T11:30:40.729091,0.013965651774042853,0.027931303548085595,0.0,0.0,0.013965651774042742,0.0
group_0,7-8,2026-01-08T11:30:40.729091,0.0007712115324667312,0.0015424230649333515,0.0,0.0,0.0007712115324666202,0.0
group_1,0-1,2025-12-18T11:30:40.729157,0.015515526862252882,0.031031053724505653,0.06000000000000005,0.12,0.015515526862252771,0.05999999999999994
group_1,1-2,2025-12-21T11:30:40.729157,0.010256533740837237,0.020513067481674474,0.0,0.0,0.010256533740837237,0.0
group_1,2-3,2025-12-24T11:30:40.729157,0.00970723408203844,0.019414468164076992,0.0,0.0,0.009707234082038552,0.0
group_1,3-4,2025-12-27T11:30:40.729157,0.008499458345148425,0.01699891669029685,0.0,0.0,0.008499458345148425,0.0
group_1,4-5,2025-12-30T11:30:40.729157,4.866153177807142e-05,9.732306355603182e-05,0.0,0.0,4.86615317779604e-05,0.0
group_1,5-6,2026-01-02T11:30:40.729157,0.008907584130645185,0.01781516826129037,0.0,0.0,0.008907584130645185,0.0
group_1,6-7,2026-01-05T11:30:40.729157,0.02010304754470249,0.04020609508940498,0.05999999999999994,0.12,0.02010304754470249,0.06000000000000005
group_1,7-8,2026-01-08T11:30:40.729157,0.005575820165487189,0.011151640330974377,0.06000000000000005,0.12,0.005575820165487189,0.05999999999999994
group_2,0-1,2025-12-18T11:30:40.729194,0.01838206655504382,0.03676413311008764,0.0,0.0,0.01838206655504382,0.0
group_2,1-2,2025-12-21T11:30:40.729194,0.009480338594337057,0.018960677188674224,0.0,0.0,0.009480338594337168,0.0
group_2,2-3,2025-12-24T11:30:40.729194,0.01504697099654273,0.03009394199308546,0.0,0.0,0.01504697099654273,0.0
group_2,3-4,2025-12-27T11:30:40.729194,0.01667248559494483,0.03334497118988966,0.0,0.0,0.01667248559494483,0.0
group_2,4-5,2025-12-30T11:30:40.729194,0.005514633190081164,0.011029266380162328,0.0,0.0,0.005514633190081164,0.0
group_2,5-6,2026-01-02T11:30:40.729194,0.0066755733940122575,0.013351146788024515,0.0,0.0,0.0066755733940122575,0.0
group_2,6-7,2026-01-05T11:30:40.729194,0.0031059409922044035,0.006211881984408807,0.0,0.0,0.0031059409922044035,0.0
group_2,7-8,2026-01-08T11:30:40.729194,0.01230851545869971,0.02461703091739953,0.0,0.0,0.01230851545869982,0.0
group_3,0-1,2025-12-18T11:30:40.729226,0.010071477427721631,0.020142954855443262,0.0,0.0,0.010071477427721631,0.0
group_3,1-2,2025-12-21T11:30:40.729226,0.006801735565350797,0.013603471130701594,0.0,0.0,0.006801735565350797,0.0
group_3,2-3,2025-12-24T11:30:40.729226,0.001545368498271471,0.003090736996542831,0.0,0.0,0.00154536849827136,0.0
group_3,3-4,2025-12-27T11:30:40.729226,0.011663091219490829,0.02332618243898177,0.0,0.0,0.01166309121949094,0.0
group_3,4-5,2025-12-30T11:30:40.729226,0.007005205312529683,0.014010410625059477,0.0,0.0,0.007005205312529794,0.0
group_3,5-6,2026-01-02T11:30:40.729226,0.013124514502408813,0.026249029004817737,0.0,0.0,0.013124514502408924,0.0
group_3,6-7,2026-01-05T11:30:40.729226,0.0003516830927474679,0.0007033661854949358,0.0,0.0,0.0003516830927474679,0.0
group_3,7-8,2026-01-08T11:30:40.729226,0.002246225121945722,0.004492450243891444,0.06000000000000005,0.12,0.002246225121945722,0.05999999999999994
group_4,0-1,2025-12-18T11:30:40.729256,0.014122949631827586,0.02824589926365506,0.0,0.0,0.014122949631827475,0.0
group_4,1-2,2025-12-21T11:30:40.729256,0.01302427194422806,0.026048543888456233,0.0,0.0,0.013024271944228172,0.0
group_4,2-3,2025-12-24T11:30:40.729256,0.015595054358453875,0.03119010871690775,0.0,0.0,0.015595054358453875,0.0
