knot_id,total_snapshots,milestones_detected,energy_complexity_correlation,stress_complexity_correlation,avg_complexity,complexity_variance,milestones
user_1,240,0,0.825718272497455,-0.7763842668808671,0.10782596032857937,0.0004244974653941601,[]
user_2,240,0,0.8257182724974553,-0.7763842668808674,0.17449815769095992,0.0011117576440959895,[]
user_3,240,0,0.8257182724974551,-0.7763842668808673,0.13636242776858212,0.0006789188725643551,[]
user_4,240,0,0.8257182724974552,-0.7763842668808673,0.06212123923716111,0.0001408992409236939,[]
user_5,240,0,0.8257182724974552,-0.7763842668808674,0.11611362727650686,0.0004922603048697984,[]
user_6,240,0,0.8257182724974553,-0.7763842668808674,0.09958682710881182,0.0003621030837453953,[]
user_7,240,0,0.8257182724974553,-0.7763842668808674,0.12678928645513915,0.0005869397832858819,[]
user_8,240,0,0.8257182724974551,-0.776384266880867,0.11046763668817977,0.00044555216447713964,[]
user_9,240,0,0.8257182724974554,-0.7763842668808674,0.13533346234555624,0.0006687115395929019,[]
user_10,240,0,0.8257182724974552,-0.776384266880867,0.09403844341325923,0.00032287862529005164,[]
user_11,240,0,0.8257182724974551,-0.7763842668808675,0.10767858042915956,0.0004233378255923221,[]
user_12,240,0,0.8257182724974552,-0.7763842668808673,0.09477013463591537,0.00032792265921302344,[]
user_13,240,0,0.8257182724974553,-0.7763842668808673,0.07560648818704972,0.00020871158886907743,[]
user_14,240,0,0.8257182724974552,-0.7763842668808673,0.12725451839765198,0.000591255039294782,[]
user_15,240,0,0.825718272497455,-0.7763842668808673,0.18311836738675327,0.001224312397655647,[]
user_16,240,0,0.8257182724974552,-0.7763842668808671,0.1334415098817919,0.0006501451492064691,[]
user_17,240,0,0.8257182724974551,-0.776384266880867,0.13233348180954,0.0006393930488648987,[]
user_18,240,0,0.8257182724974552,-0.7763842668808671,0.07472147748776811,0.0002038540449782823,[]
user_19,240,0,0.8257182724974551,-0.7763842668808674,0.09734498947860894,0.0003459836985432765,[]
user_20,240,0,0.8257182724974551,-0.7763842668808673,0.07095913166299696,0.0001838421187651573,[]
