work_id,ai_id,quality_score,inner_product,ground_truth,error
work_0000,ai_0025,0.736131737734594,0.8579811989400432,0.9809277183240671,0.24479598058947316
work_0001,ai_0094,0.9423230035377103,0.9707332298513893,0.5444658614821449,0.3978571420555653
work_0002,ai_0165,0.796508950788348,0.8924735014488374,0.35867384121231793,0.4378351095760301
work_0003,ai_0101,0.7417410925411903,0.8612439216280079,0.27588144086158684,0.4658596516796034
work_0004,ai_0031,0.8385187500388348,0.91570669432894,0.9490107882621376,0.11049203822330278
work_0005,ai_0116,0.7775942070194944,0.8818130227091764,0.09167342381752086,0.6859207832019736
work_0006,ai_0054,0.7462245284298636,0.863842884111378,0.6417044672332176,0.10452006119664603
work_0007,ai_0152,0.9101234829447784,0.9540039218707533,0.9710933120649863,0.060969829120207875
work_0008,ai_0012,0.9646672103017957,0.9821747351168201,0.7867945904546167,0.17787261984717895
work_0009,ai_0062,0.6954154372508566,0.833915725508793,0.9888209039414217,0.2934054666905651
work_0010,ai_0144,0.8163594549360335,0.9035261229959173,0.2052055751428764,0.611153879793157
work_0011,ai_0195,0.7629574738596308,0.8734743693203773,0.5542077884611291,0.2087496853985017
work_0012,ai_0150,0.8411710832304469,0.9171537947533374,0.21595135191867476,0.6252197313117721
work_0013,ai_0059,0.6320157395196724,0.7949941757772018,0.3285595534322304,0.30345618608744196
work_0014,ai_0037,0.7532332570554316,0.8678901180768402,0.7886437542776095,0.03541049722217782
work_0015,ai_0152,0.9101234829447784,0.9540039218707533,0.0028355514800163517,0.907287931464762
work_0016,ai_0037,0.7532332570554316,0.8678901180768402,0.9875273043661723,0.23429404731074066
work_0017,ai_0138,0.9494839395223006,0.9744146650796572,0.25065419672812383,0.6988297427941768
work_0018,ai_0044,0.7579896481473627,0.870626009344634,0.10992634788943556,0.6480633002579271
work_0019,ai_0006,0.8847544773323728,0.9406138832339085,0.1318032295618975,0.7529512477704753
work_0020,ai_0091,0.896087230471708,0.9466188411772227,0.7899846642347539,0.10610256623695413
work_0021,ai_0060,0.8226955989675024,0.9070256881519412,0.5888529220504423,0.23384267691706018
work_0022,ai_0004,0.8296463378950893,0.910849239937702,0.1742462014061772,0.6554001364889122
work_0023,ai_0013,0.6354110172253125,0.7971267259509698,0.12675854371278028,0.5086524735125322
work_0024,ai_0107,0.7194560685166905,0.8482075621666495,0.5260855265978671,0.1933705419188234
work_0025,ai_0190,0.9003626115276813,0.9488743918599981,0.06355803814713623,0.836804573380545
work_0026,ai_0114,0.8377314818236897,0.9152767241789173,0.7780170393142027,0.05971444250948699
work_0027,ai_0131,0.6047282083748963,0.77764272540473,0.5936660178680271,0.011062190506869185
work_0028,ai_0115,0.9602969068452623,0.9799474000400543,0.5038386897858214,0.4564582170594409
work_0029,ai_0157,0.8082774614122343,0.8990425248074945,0.043365036899171705,0.7649124245130626
work_0030,ai_0168,0.9193867140977555,0.9588465539896128,0.5214512147130841,0.39793549938467143
work_0031,ai_0117,0.7252876374204619,0.851638208055781,0.6433406842054887,0.08194695321497314
work_0032,ai_0007,0.942827445406725,0.9709930202667396,0.06082540749450582,0.8820020379122192
work_0033,ai_0122,0.9523984745696575,0.9759090503574898,0.8472985431672427,0.1050999314024148
work_0034,ai_0109,0.7380838652821552,0.8591180741214535,0.6860974960622327,0.0519863692199225
work_0035,ai_0125,0.8090795747166024,0.8994885072732183,0.7124013148970963,0.09667825981950606
work_0036,ai_0113,0.8520557789149217,0.9230686750805281,0.0734907157664505,0.7785650631484712
work_0037,ai_0020,0.7057656647363536,0.8400986041747442,0.3221118197463261,0.3836538449900275
work_0038,ai_0037,0.7532332570554316,0.8678901180768402,0.06568223332011391,0.6875510237353177
work_0039,ai_0070,0.8528260416488294,0.9234858102043741,0.6243174942812079,0.2285085473676215
work_0040,ai_0149,0.8672147710934384,0.9312436690219367,0.5483564340483605,0.3188583370450778
work_0041,ai_0083,0.5024814940823243,0.7088592907498105,0.3809043988185208,0.12157709526380356
work_0042,ai_0152,0.9101234829447784,0.9540039218707533,0.5305568374313245,0.37956664551345387
work_0043,ai_0116,0.7775942070194944,0.8818130227091764,0.5055510744856804,0.27204313253381407
work_0044,ai_0110,0.8352606642735718,0.9139259621400257,0.09917846167904198,0.7360822025945298
work_0045,ai_0179,0.915819883713037,0.956984787607952,0.11441407243007962,0.8014058112829574
work_0046,ai_0167,0.8057600461463287,0.8976413794753051,0.6509166648813054,0.15484338126502328
work_0047,ai_0196,0.6749632777601522,0.8215614875103093,0.5513352283897989,0.12362804937035332
work_0048,ai_0055,0.7366152772838238,0.8582629418096903,0.43006994166638635,0.30654533561743746
work_0049,ai_0058,0.7322181131719099,0.8556974425414101,0.4138135711769134,0.31840454199499646
work_0050,ai_0116,0.7775942070194944,0.8818130227091764,0.3987301842569533,0.37886402276254116
