user_id,avg_fused_score,top_10_count,total_weight
user_0000,0.6213489362439648,10,10.0
user_0001,0.6070525170058895,10,10.0
user_0002,0.6093239207760293,10,10.0
user_0003,0.5935291061335375,10,10.0
user_0004,0.6230798803096345,10,10.0
user_0005,0.6036217495470977,10,10.0
user_0006,0.5786947087010071,10,10.0
user_0007,0.6234085589261051,10,10.0
user_0008,0.5976644539016385,10,10.0
user_0009,0.6170287835747132,10,10.0
user_0010,0.5982077822456918,10,10.0
user_0011,0.6037163041945715,10,10.0
user_0012,0.6077917495112112,10,10.0
user_0013,0.6170930681617655,10,10.0
user_0014,0.6002717586628594,10,10.0
user_0015,0.589218356051022,10,10.0
user_0016,0.6120590134046918,10,10.0
user_0017,0.6058967791086991,10,10.0
user_0018,0.6113615223919092,10,10.0
user_0019,0.5922593701160609,10,10.0
user_0020,0.6163831734670038,10,10.0
user_0021,0.6176182622441273,10,10.0
user_0022,0.6152885704913061,10,10.0
user_0023,0.5907826731987286,10,10.0
user_0024,0.6116742231196162,10,10.0
user_0025,0.6186334381449748,10,10.0
user_0026,0.5978460280278337,10,10.0
user_0027,0.618019829246203,10,10.0
user_0028,0.6062803070832153,10,10.0
user_0029,0.6224979070388228,10,10.0
user_0030,0.6149937793927365,10,10.0
user_0031,0.604340960157725,10,10.0
user_0032,0.5963818870812289,10,10.0
user_0033,0.6010678230755601,10,10.0
user_0034,0.5929436397768486,10,10.0
user_0035,0.6210362824845511,10,10.0
user_0036,0.5948471230301482,10,10.0
user_0037,0.604959637231674,10,10.0
user_0038,0.6049286071816249,10,10.0
user_0039,0.5955322333935344,10,10.0
user_0040,0.6066675103341808,10,10.0
user_0041,0.5928798346976583,10,10.0
user_0042,0.6014787720170488,10,10.0
user_0043,0.5983323533653304,10,10.0
user_0044,0.6228780683432332,10,10.0
user_0045,0.6159258410699118,10,10.0
user_0046,0.5983578294239245,10,10.0
user_0047,0.6045387715895448,10,10.0
user_0048,0.6239049990828794,10,10.0
user_0049,0.6070016180273188,10,10.0
user_0050,0.6013947940153386,10,10.0
user_0051,0.591666216802036,10,10.0
user_0052,0.604455037371682,10,10.0
user_0053,0.5930168728660126,10,10.0
user_0054,0.6145651821369496,10,10.0
user_0055,0.617788240141049,10,10.0
user_0056,0.5976002166490816,10,10.0
user_0057,0.5925789146208725,10,10.0
user_0058,0.5996276400694321,10,10.0
user_0059,0.5977746503248896,10,10.0
user_0060,0.5923943082701709,10,10.0
user_0061,0.6219974981316085,10,10.0
user_0062,0.6116631209511585,10,10.0
user_0063,0.611689358362937,10,10.0
user_0064,0.6083503052173974,10,10.0
user_0065,0.5853848632048564,10,10.0
user_0066,0.6144231086473435,10,10.0
user_0067,0.5828873364005105,10,10.0
user_0068,0.6185817623896358,10,10.0
user_0069,0.6147031507303468,10,10.0
user_0070,0.5932148038398439,10,10.0
user_0071,0.615664573808701,10,10.0
user_0072,0.6131824781556968,10,10.0
user_0073,0.6112302474600814,10,10.0
user_0074,0.6185854716246395,10,10.0
user_0075,0.5978958224147279,10,10.0
user_0076,0.5944928634344702,10,10.0
user_0077,0.5985447486441645,10,10.0
user_0078,0.5919696146568685,10,10.0
user_0079,0.5872195312561554,10,10.0
user_0080,0.6341376845950647,10,10.0
user_0081,0.6106435548570106,10,10.0
user_0082,0.6256297201730149,10,10.0
user_0083,0.5926676231285937,10,10.0
user_0084,0.5834532593737392,10,10.0
user_0085,0.6107354953074642,10,10.0
user_0086,0.6058594911057456,10,10.0
user_0087,0.6014274262367765,10,10.0
user_0088,0.6210676889267752,10,10.0
user_0089,0.6022344337066118,10,10.0
user_0090,0.6248161538488802,10,10.0
user_0091,0.6220005465858958,10,10.0
user_0092,0.6288670464444879,10,10.0
user_0093,0.6001566332191144,10,10.0
user_0094,0.6046614823354051,10,10.0
user_0095,0.6215520334467454,10,10.0
user_0096,0.6192772317252884,10,10.0
user_0097,0.616494636274828,10,10.0
user_0098,0.6056328755028078,10,10.0
user_0099,0.6118263106726577,10,10.0
user_0100,0.5996947148168964,10,10.0
user_0101,0.6054706768029674,10,10.0
user_0102,0.6077205973847617,10,10.0
user_0103,0.5947706661301879,10,10.0
user_0104,0.603466349765059,10,10.0
user_0105,0.6057080607435309,10,10.0
user_0106,0.6111567357996449,10,10.0
user_0107,0.6052594367863395,10,10.0
user_0108,0.5895180483293025,10,10.0
user_0109,0.6112886614797358,10,10.0
user_0110,0.6381121666129109,10,10.0
user_0111,0.6126325652185656,10,10.0
user_0112,0.5682733658690922,10,10.0
user_0113,0.6186407970943499,10,10.0
user_0114,0.6154673274923204,10,10.0
user_0115,0.6017777432666439,10,10.0
user_0116,0.6035154156075923,10,10.0
user_0117,0.6128248185238626,10,10.0
user_0118,0.6104389491235693,10,10.0
user_0119,0.6271931766312416,10,10.0
user_0120,0.6026211727246232,10,10.0
user_0121,0.5834972784736591,10,10.0
user_0122,0.5822046433669147,10,10.0
user_0123,0.6209519656713294,10,10.0
user_0124,0.6143938343159606,10,10.0
user_0125,0.6098037333360216,10,10.0
user_0126,0.5954168283750866,10,10.0
user_0127,0.6292252542975652,10,10.0
user_0128,0.6020866212713676,10,10.0
user_0129,0.6074706052176662,10,10.0
user_0130,0.6063693489762069,10,10.0
user_0131,0.6056929992703284,10,10.0
user_0132,0.6123576946322125,10,10.0
user_0133,0.5933982134343414,10,10.0
user_0134,0.6241201170548756,10,10.0
user_0135,0.596255515001419,10,10.0
user_0136,0.6008633577527221,10,10.0
user_0137,0.5970124150126791,10,10.0
user_0138,0.5978480131714005,10,10.0
user_0139,0.6010947091998843,10,10.0
user_0140,0.6145137914920882,10,10.0
