user_id,avg_score,min_score,max_score,consistency,quality_score
user_0000,0.6875662099251452,0.6649581661221315,0.7350264045063823,0.979845677561125,0.7752500502159391
user_0001,0.6616671592442864,0.625648095703565,0.7078618020038179,0.9755492831787334,0.7558317964246204
user_0002,0.6560449817319657,0.6190615384055211,0.7150639650682636,0.9620616193359446,0.7478499730131594
user_0003,0.6407094178280984,0.6233383687920873,0.6886185737828185,0.9830038254178358,0.7433977401050196
user_0004,0.6888937207887322,0.6750721215132123,0.7119563858128105,0.9879047290778519,0.7785970232754681
user_0005,0.6748590355823254,0.6543646837958885,0.7179718118691729,0.9807051631592791,0.7666128738554114
user_0006,0.6639581789458651,0.6438459065068332,0.6935283188972421,0.9828945382160869,0.7596390867269316
user_0007,0.6561688628923149,0.6203425793574537,0.7274411044385877,0.9673585911068758,0.7495257813566831
user_0008,0.662467118713456,0.627495418054666,0.7155472632576989,0.9698905062285479,0.7546941349679835
user_0009,0.6545484808556605,0.6336296208661263,0.6855000329880698,0.9855994827444267,0.7538637814222904
user_0010,0.6562574909369616,0.6252840602660003,0.7342693845058776,0.9654211425220178,0.7490065864124784
user_0011,0.6811278776330677,0.6631432815082949,0.728743969912629,0.9822167269822889,0.771454532437834
user_0012,0.6596099063628441,0.632749056479199,0.6915909515342091,0.9825886246805176,0.7565035218581461
user_0013,0.6826237985695587,0.6476871895196447,0.7469676619404214,0.9694033554152309,0.7686576656232603
user_0014,0.6466961399394812,0.6281344669313701,0.6933500395222143,0.9809850720452745,0.7469828195712191
user_0015,0.6694069989043847,0.643091524976439,0.7287869560938841,0.9711958808837049,0.7599436634981808
user_0016,0.6374918927307375,0.5987050400070124,0.6932170759545405,0.974057207159482,0.7384614870593609
user_0017,0.6614031969816869,0.6229287878743651,0.6936219387377226,0.9790303942135719,0.7566913561512523
user_0018,0.7031512451853594,0.659850614574923,0.837809009338231,0.948613329134097,0.7767898703699807
user_0019,0.6648846655080682,0.6406756644443488,0.7135920574934524,0.9769145058928014,0.7584936176234882
user_0020,0.6506885065725528,0.6117612490092738,0.6858799297439793,0.9748386688273342,0.7479335552489872
user_0021,0.6805791965060021,0.6405044068053887,0.7293104664264332,0.9706642961900711,0.7676047264112227
user_0022,0.6889381373483311,0.6520022124727756,0.771087584405844,0.9655556768857178,0.771923399209547
user_0023,0.6224980463836447,0.584358198955019,0.6909861207284561,0.9651154563344371,0.7252832693688824
user_0024,0.6887056843452556,0.6641934478843357,0.7226910203514498,0.9796791375480054,0.7759977203060805
user_0025,0.6731629860738466,0.6319156112502238,0.7331073847233842,0.9651613939845798,0.7607625084470665
user_0026,0.6859227993679038,0.6560961590406117,0.8340650491428994,0.949111087941227,0.7648792859399007
user_0027,0.6827233419434029,0.6676880598473771,0.7057325282141291,0.988370433439678,0.7744174693922854
user_0028,0.6686931945021005,0.6459895592364139,0.7189009004594494,0.9778664084236912,0.7614451586785778
user_0029,0.6563293911216412,0.621977388274406,0.7211317218444462,0.9704718429183133,0.7505721266606429
user_0030,0.6609345639547574,0.6376025388275011,0.7239388023143478,0.9743248575063322,0.7549516520202297
user_0031,0.6623926809271745,0.6329657069493554,0.707771370752146,0.9731519057391722,0.7556204483707738
user_0032,0.6727336834041501,0.6268579622993581,0.7722247137960155,0.959363396165717,0.7587225972326201
user_0033,0.6456544281711365,0.6018205727181184,0.7052781320706794,0.9654891986885542,0.7416048593263618
user_0034,0.6773465447458111,0.6452968742968931,0.7535370689394654,0.9659241591108046,0.7639198290553091
user_0035,0.6722769868805212,0.6595663707729089,0.6980489817666446,0.9874652797915068,0.7668334747538168
user_0036,0.6786671412296901,0.6458373796379351,0.7272746084765938,0.9692307376353404,0.7658362201513851
user_0037,0.6446331294125124,0.6200604514803908,0.6727162336065803,0.9822918076411804,0.7459307328811127
user_0038,0.6771485964553089,0.6464164556782,0.7340377108795004,0.973634156775748,0.7660942645514406
user_0039,0.6944917545474716,0.6687912756824668,0.7526449528912641,0.9766268707620218,0.7791322894118367
user_0040,0.6488912212788542,0.6127411566615413,0.7001233868076647,0.9721429572873951,0.7458667420814165
user_0041,0.69548611354022,0.6414236332564567,0.7593977658761083,0.9641113716941255,0.7760736909863917
user_0042,0.6706113791389939,0.6347399273406747,0.6958022308838728,0.978865332007706,0.7630875649996075
user_0043,0.6746460455568666,0.6439676843710842,0.7271997212963643,0.9735380823035571,0.7643136565808737
user_0044,0.6690631317453283,0.6423859075235685,0.6995407832562629,0.9790576115787866,0.7620614756953656
user_0045,0.6724052392829802,0.6265697922896554,0.723249926766199,0.9640694798321398,0.7599045114477281
user_0046,0.6865859217540008,0.6455084424162401,0.7476494283402295,0.9738602400651362,0.7727682172473413
user_0047,0.664949464129358,0.6252263635950615,0.7428611889558274,0.9643264365948475,0.7547625558690048
user_0048,0.6774612075068656,0.6502132595836294,0.7152362693153397,0.9810494884402816,0.7685376917868902
user_0049,0.6654909610887412,0.6258560177676615,0.7135105495422649,0.9677259710107637,0.7561614640653479
user_0050,0.6897343075343316,0.6566082556063423,0.744971212895635,0.9684047325921811,0.7733354350516864
user_0051,0.6684812787141555,0.6331480585397496,0.7499931833041323,0.9616652793102036,0.7564364788929698
user_0052,0.6876708463539735,0.6606399610825646,0.7628635558570719,0.9709918364799025,0.7726671433917521
user_0053,0.6821257234049372,0.6517344075185705,0.7449599150097668,0.9680733922224815,0.7679100240502004
user_0054,0.665538804995434,0.6214763486707778,0.7440037233165265,0.9553399553306736,0.7524791500960059
user_0055,0.679092217416607,0.6400911830041042,0.7340733142360931,0.9671356528144506,0.76550524803596
