partnership_id,state,age_days,days_remaining,is_active,exclusivity_type
partnership_0000,EXPIRED,116.06961556645732,0.0,False,Full
partnership_0001,ACTIVE,133.53761039334316,231.46238960665684,True,Product
partnership_0002,ACTIVE,6.336291342626016,83.66370865737399,True,Product
partnership_0003,SUSPENDED,101.99690317267897,263.00309682732103,True,Full
partnership_0004,EXPIRED,146.67027404571297,0.0,False,Product
partnership_0005,SUSPENDED,50.989633344574656,39.010366655425344,True,Full
partnership_0006,ACTIVE,18.38173967368073,161.61826032631927,True,Full
partnership_0007,SUSPENDED,176.13362935992026,3.866370640079732,True,Product
partnership_0008,SUSPENDED,104.89617798981567,260.10382201018433,True,Full
partnership_0009,EXPIRED,178.3126655625138,0.0,False,Category
partnership_0010,SUSPENDED,115.39599181115628,64.60400818884372,True,Category
partnership_0011,SUSPENDED,121.60432323152544,243.39567676847454,True,Product
partnership_0012,ACTIVE,30.385240720651215,149.6147592793488,True,Product
partnership_0013,EXPIRED,124.20335702165961,0.0,False,Full
partnership_0014,SUSPENDED,49.16614951908864,40.83385048091136,True,Full
partnership_0015,SUSPENDED,160.21575954304248,204.78424045695752,True,Full
partnership_0016,ACTIVE,45.36574322834335,319.6342567716566,True,Product
partnership_0017,SUSPENDED,162.58091089184637,17.419089108153624,True,Full
partnership_0018,ACTIVE,17.33648603466098,72.66351396533902,True,Full
partnership_0019,SUSPENDED,108.32641737504137,71.67358262495863,True,Product
partnership_0020,EXPIRED,175.7668998137144,0.0,False,Product
partnership_0021,SUSPENDED,139.32056372157953,40.67943627842047,True,Category
partnership_0022,ACTIVE,82.64305898247494,282.35694101752506,True,Product
partnership_0023,SUSPENDED,157.6661344138119,22.333865586188104,True,Full
partnership_0024,SUSPENDED,98.06101726470446,266.93898273529555,True,Product
partnership_0025,ACTIVE,4.478605472597259,175.52139452740275,True,Full
partnership_0026,EXPIRED,159.01451969985334,0.0,False,Product
partnership_0027,SUSPENDED,177.01000070503466,187.98999929496534,True,Full
partnership_0028,ACTIVE,48.68298505230082,316.3170149476992,True,Full
partnership_0029,SUSPENDED,129.30360695050823,50.696393049491775,True,Category
partnership_0030,ACTIVE,22.753547099329257,67.24645290067075,True,Category
partnership_0031,EXPIRED,106.89201243688387,0.0,False,Product
partnership_0032,ACTIVE,13.104850902852636,76.89514909714737,True,Full
partnership_0033,SUSPENDED,51.09869935659347,128.90130064340653,True,Product
partnership_0034,ACTIVE,44.71229547418102,135.28770452581898,True,Full
partnership_0035,ACTIVE,119.58968675556834,60.410313244431656,True,Category
partnership_0036,SUSPENDED,122.17841035570811,242.8215896442919,True,Full
partnership_0037,EXPIRED,145.07944379799895,0.0,False,Full
partnership_0038,SUSPENDED,26.205605319928793,63.79439468007121,True,Category
partnership_0039,ACTIVE,80.7363259524714,284.2636740475286,True,Full
partnership_0040,EXPIRED,175.39211815407984,0.0,False,Category
partnership_0041,ACTIVE,39.447305698651405,140.5526943013486,True,Full
partnership_0042,SUSPENDED,178.32838372306966,1.6716162769303278,True,Category
partnership_0043,ACTIVE,28.836220392027386,151.1637796079726,True,Full
partnership_0044,EXPIRED,135.60839271090373,0.0,False,Product
partnership_0045,ACTIVE,11.21111619381441,353.7888838061856,True,Full
partnership_0046,EXPIRED,122.51105149136373,0.0,False,Full
partnership_0047,EXPIRED,105.17822219390284,0.0,False,Category
partnership_0048,EXPIRED,169.2199182351375,0.0,False,Full
partnership_0049,ACTIVE,24.53088262551085,340.46911737448914,True,Category
