iteration,avg_pleasure,std_pleasure
0,0.5024340071385168,0.15852640989930183
1,0.5023395734506189,0.15850793952048936
2,0.5019453129850184,0.15849782652258138
3,0.5020556934057615,0.15845712237700085
4,0.5021327548882222,0.15860963543525064
5,0.501967506245127,0.15919385071037392
6,0.5018801660360193,0.15972644629713878
7,0.5014802832231108,0.1592493393369008
8,0.5013862305673374,0.15970162051811654
9,0.5016047646721116,0.1595743554238663
10,0.5010982991938182,0.15910200506916106
11,0.5002766269079576,0.1591850942297833
12,0.500377182499432,0.15895435158597027
13,0.5004205059250599,0.1591963104606468
14,0.49984043427028113,0.15952441819559515
15,0.4991355456959565,0.15903830766011642
16,0.4989440894883096,0.1587977213638143
17,0.49882329391728475,0.15834126018617167
18,0.49861869137846926,0.15791602348957715
19,0.4992502142740421,0.15758607864657748
20,0.4992760160444402,0.15765113569877995
21,0.49945586161812405,0.15733229951844763
22,0.4997287844456357,0.1577746882994875
23,0.4997163774943658,0.15729697823930583
24,0.4994224795091718,0.15680058342521694
25,0.49939166349830566,0.15672314207225987
26,0.49870621565063655,0.15617972870142136
27,0.49903934232777675,0.1562671124293121
28,0.4987646143792331,0.1559758091690812
29,0.4985200725701079,0.15575165771087665
30,0.49805951608658966,0.15571992894658096
31,0.49775322382978154,0.15533139169808935
32,0.49781251657622616,0.15540902830538705
33,0.49736027298407476,0.15567165417439072
34,0.49746754215704414,0.15565189607198496
35,0.49770513007497785,0.15514400878115392
36,0.4979416526783922,0.15494705676486697
37,0.4974023280798612,0.1546968525275469
38,0.4973847304598716,0.15458696233409483
39,0.49692952169412274,0.15494972135890925
40,0.4971205462187855,0.15467865230433694
41,0.4969501354925292,0.15486607662674612
42,0.4966241799000067,0.15559784809093893
43,0.49665842985114766,0.1559502853378163
44,0.4958932466794449,0.15625091124308324
45,0.49652128466883555,0.15596367284933518
46,0.4977299018489372,0.1558799934591042
47,0.4973337665056423,0.15582173318355116
48,0.4975165309234788,0.15586146177386867
49,0.49796446540296396,0.15519957041338162
