agentId,health_score,predicted_level,ground_truth_level,connectionQuality,learningEffectiveness,privacyMetrics,stabilityMetrics,aiPleasure
agent_000000,0.7544937811177419,good,good,0.5989514292579708,0.8504442115879152,0.8415901653289035,0.9737155088878107,0.29083736062927423
agent_000001,0.6840325635190371,good,good,0.798546892557622,0.9659025471749001,0.9268103941869953,0.04258512431083361,0.4904109988634062
agent_000002,0.5734652929958152,fair,fair,0.3839588953387373,0.9435289051974688,0.5106620673076543,0.2848719928557427,0.8248653082908424
agent_000003,0.6737780499890363,good,good,0.8156287563565006,0.396655303842145,0.7760393604375083,0.7773082356585157,0.6003751572017011
agent_000004,0.472714812552984,fair,fair,0.9182717665193516,0.17888101950767632,0.2999315353515397,0.20237755064394358,0.9796479884713037
agent_000005,0.6862879718306101,good,good,0.9653228926633105,0.33384204141385154,0.7917712694334044,0.9725264112447598,0.08637202175686665
agent_000006,0.4892159017726192,fair,fair,0.4811740356018369,0.6558895492872981,0.6612775078496174,0.24332635071314557,0.2402923383778286
agent_000007,0.5913616387659131,fair,good,0.7461649062141815,0.37653346419402345,0.39523987054569465,0.6610939901238504,0.9942027402995279
agent_000008,0.6171000600017597,good,fair,0.7017823984106358,0.7754957229153517,0.8415235681072734,0.15068715418313616,0.493383852121808
agent_000009,0.6521411803884345,good,good,0.8437823902149963,0.4407489802892348,0.8438956585427851,0.3314653525016733,0.95936135553485
agent_000010,0.45054333481396475,fair,fair,0.15975501280275983,0.8682836101740928,0.0710637833903417,0.8608689018792067,0.0714714201584189
agent_000011,0.6632653320705175,good,good,0.7438148067573734,0.958292517040165,0.4270281719137138,0.500718650751881,0.52189136588014
agent_000012,0.39805238760393136,poor,fair,0.5292651552679373,0.14549421350055614,0.7632273821245219,0.1377887407429247,0.4915932083831872
agent_000013,0.22135949414021275,poor,poor,0.03336433484520451,0.030060134118265358,0.2633793691402785,0.37430487597544637,0.7796652787620031
agent_000014,0.5350400420209457,fair,fair,0.9808910874259879,0.13653344861350158,0.6878134437258535,0.532594358827834,0.11602347500335752
agent_000015,0.5563058996302537,fair,fair,0.31002646685621416,0.7009383350013458,0.2490083624716164,0.9317553450145163,0.6741195766863722
agent_000016,0.516002557259532,fair,fair,0.06990112363542034,0.5774524340046064,0.9927863207455621,0.672043621709214,0.2119817935857019
agent_000017,0.3931393575438318,poor,fair,0.6916627742318049,0.28418141975764555,0.02811737176512208,0.404305371646949,0.6269376036405492
agent_000018,0.5975181157562864,fair,fair,0.3479180446830352,0.7759921697638347,0.6934309471585574,0.7155951563716989,0.347353414385176
agent_000019,0.4406200238076076,fair,poor,0.9055173770169563,0.7485624563852837,0.018082636533309104,0.0160900355459761,0.20265531041190576
agent_000020,0.402346752828061,fair,fair,0.5416653382935379,0.3772286968515455,0.4989213423261448,0.019826865889919887,0.6887360239857722
agent_000021,0.7308589050580296,good,good,0.783515176727788,0.8815371317589671,0.9933273750436292,0.4911069604292846,0.1770896084175807
agent_000022,0.5769268739574966,fair,fair,0.9374234239949109,0.13683857868688576,0.7828019583111189,0.6944188783849379,0.12917205947836097
agent_000023,0.7148253281869552,good,good,0.8645729697929353,0.6824256585071818,0.7317880088716172,0.6571046378380102,0.5029714177000039
agent_000024,0.5981210956487283,fair,fair,0.48974879718497,0.9412338889455091,0.6199511211706559,0.3525424082624744,0.4587671822948246
agent_000025,0.3742480509612095,poor,poor,0.5884448001585186,0.3370183484018303,0.14508792479637378,0.4097637023102184,0.3191193839980375
agent_000026,0.7171616472836525,good,good,0.5108579272275985,0.9350035153659807,0.8418292866863849,0.6523908849128516,0.5685225231541033
agent_000027,0.7217358803998156,good,good,0.5865326136361109,0.8293788555764413,0.78838879084908,0.7815806006547343,0.537641347959147
agent_000028,0.3484562248903175,poor,poor,0.0022462178873655647,0.10514119408314415,0.7398594180736234,0.8402245878791715,0.05592570707131106
agent_000029,0.4046364756006771,fair,poor,0.04380944099202544,0.837620297310706,0.19850232007906266,0.7088861148131297,0.028013540465557263
agent_000030,0.41248375073771204,fair,poor,0.6924806648164702,0.1808501358244936,0.7193778224609964,0.19782321539045222,0.1071084300718137
agent_000031,0.5238511720654908,fair,fair,0.28995685683304184,0.7754201557940645,0.6902240236544187,0.49064306403128843,0.2133350137157275
agent_000032,0.38471374924081886,poor,poor,0.5449370534684405,0.08518697794348529,0.8530019844017652,0.09499635579126453,0.375830733492315
agent_000033,0.4435995047457352,fair,fair,0.3639564377109754,0.4195449851558486,0.9983411008890146,0.06021561020310706,0.36012806810604825
agent_000034,0.5361010065996106,fair,fair,0.27028300549153217,0.9337089354159819,0.5931710392438163,0.3586302522733382,0.44742763069301195
agent_000035,0.5834171328575035,fair,fair,0.633848477646635,0.13599998302578675,0.8593105671129151,0.8642697106630162,0.4623896213421185
agent_000036,0.6441487597159357,good,good,0.612661132001033,0.6509815159946297,0.8433054584758543,0.5742406677019868,0.44728872481451787
agent_000037,0.3551665492289789,poor,poor,0.6322010639513597,0.04406517353459605,0.27628250781618036,0.4412911783769632,0.42585252618861213
