opportunity_id,confidence,tier,tier_correct
opp_0000,0.3243871439163704,3,True
opp_0001,0.12388631376351661,3,True
opp_0002,0.12379664859280944,3,True
opp_0003,0.014615553348496495,3,True
opp_0004,0.1053144079889978,3,True
opp_0005,0.05729616453529236,3,True
opp_0006,0.290108601316357,3,True
opp_0007,0.11335861034860263,3,True
opp_0008,0.10957419926141666,3,True
opp_0009,0.10387733030584602,3,True
opp_0010,0.2522668868611124,3,True
opp_0011,0.10715768034448417,3,True
opp_0012,0.10414679605909895,3,True
opp_0013,0.10113652283087601,3,True
opp_0014,0.16403619834309588,3,True
opp_0015,0.24989171583867872,3,True
opp_0016,0.03563932088493067,3,True
opp_0017,0.001944785651195746,3,True
opp_0018,0.10643181798715037,3,True
opp_0019,0.10239882775523028,3,True
opp_0020,0.23982767119807977,3,True
opp_0021,0.3066781075658492,3,True
opp_0022,0.023905573877615376,3,True
opp_0023,0.16977429050670687,3,True
opp_0024,0.09205516455911915,3,True
opp_0025,0.5027650447312071,2,True
opp_0026,0.028876858190051563,3,True
opp_0027,0.42062777774224513,2,True
opp_0028,0.14096266672624702,3,True
opp_0029,0.34546989077985296,3,True
opp_0030,0.09275240383659032,3,True
opp_0031,0.04520260647673067,3,True
opp_0032,0.15598623183313887,3,True
opp_0033,0.09719109129883031,3,True
opp_0034,0.1948673947157588,3,True
opp_0035,0.09253273848602364,3,True
opp_0036,0.38905380199565165,3,True
opp_0037,0.18032884066406157,3,True
opp_0038,0.08483280118576647,3,True
opp_0039,0.23791700326947818,3,True
opp_0040,0.13669988936632324,3,True
opp_0041,0.46439324698444606,2,True
opp_0042,0.1862211544700197,3,True
opp_0043,0.26959800989168353,3,True
opp_0044,0.021055603898562984,3,True
opp_0045,0.032822867588854256,3,True
opp_0046,0.22584026473826907,3,True
opp_0047,0.03949741040762301,3,True
opp_0048,0.14590111625258895,3,True
opp_0049,0.07527554767061126,3,True
opp_0050,0.13850578460922602,3,True
opp_0051,0.17003990500219457,3,True
opp_0052,0.13836703059826513,3,True
opp_0053,0.06738050424291851,3,True
opp_0054,0.039678104781793455,3,True
opp_0055,0.24094315206685857,3,True
opp_0056,0.07549938122076892,3,True
opp_0057,0.10178390404123634,3,True
opp_0058,0.11843333777264319,3,True
opp_0059,0.11487883355376818,3,True
opp_0060,0.017674290597172654,3,True
opp_0061,0.08470053564642825,3,True
opp_0062,0.08323670344474927,3,True
opp_0063,0.11746638905180033,3,True
opp_0064,0.0078079195626877314,3,True
opp_0065,0.05636000942827281,3,True
opp_0066,0.008619455187450175,3,True
opp_0067,0.08992723693387342,3,True
opp_0068,0.05991505349404475,3,True
opp_0069,0.18136347777467085,3,True
opp_0070,0.08623600826187221,3,True
opp_0071,0.14131134541898088,3,True
opp_0072,0.11362099275700085,3,True
opp_0073,0.19078855216783697,3,True
opp_0074,0.03723864140431163,3,True
opp_0075,0.12977011963147383,3,True
opp_0076,0.1309113747612447,3,True
opp_0077,0.26505566630332816,3,True
opp_0078,0.13454996597899424,3,True
opp_0079,0.07174801149180651,3,True
opp_0080,0.15098871771541014,3,True
opp_0081,0.2679741604679105,3,True
opp_0082,0.054761697934187295,3,True
opp_0083,0.19603192428037675,3,True
opp_0084,0.09459779767357591,3,True
opp_0085,0.009005456658602489,3,True
opp_0086,0.03865722381786288,3,True
opp_0087,0.08076573816076534,3,True
opp_0088,0.09475682857252034,3,True
opp_0089,0.011866789119690075,3,True
opp_0090,0.3881970960557619,3,True
opp_0091,0.16191070372754338,3,True
opp_0092,0.1559531814427938,3,True
opp_0093,0.21399270967250436,3,True
opp_0094,0.14624723181601418,3,True
opp_0095,0.06848151307297592,3,True
opp_0096,0.2286397893641799,3,True
opp_0097,0.21109389331260703,3,True
opp_0098,0.05749017848020854,3,True
opp_0099,0.033088863934926986,3,True
opp_0100,0.12132129736485557,3,True
opp_0101,0.12844901527469257,3,True
opp_0102,0.3162086591395862,3,True
opp_0103,0.17285777907198643,3,True
opp_0104,0.16466935177632952,3,True
opp_0105,0.005026543735541261,3,True
opp_0106,0.3520121609318292,3,True
opp_0107,0.0949363448852617,3,True
opp_0108,0.10361271218426973,3,True
opp_0109,0.17239635352358357,3,True
opp_0110,0.1471004781471149,3,True
opp_0111,0.2525279288283855,3,True
opp_0112,0.13014927599357393,3,True
opp_0113,0.1697660404140642,3,True
opp_0114,0.3162900914692501,3,True
opp_0115,0.01656962010591062,3,True
opp_0116,0.21340394867428142,3,True
opp_0117,0.18279912008213772,3,True
opp_0118,0.13356459150011077,3,True
opp_0119,0.07792279097860967,3,True
opp_0120,0.026834683744337565,3,True
opp_0121,0.06406124854403437,3,True
opp_0122,0.6219817102804769,2,True
opp_0123,0.1653847091469307,3,True
opp_0124,0.07764140382604938,3,True
opp_0125,0.33074758044283425,3,True
opp_0126,0.24029420187648184,3,True
opp_0127,0.025935373628448388,3,True
opp_0128,0.057231916574922256,3,True
opp_0129,0.11215179859039841,3,True
opp_0130,0.04902474414825619,3,True
opp_0131,0.3259442736486887,3,True
opp_0132,0.06517366667146808,3,True
opp_0133,0.33406863404721454,3,True
opp_0134,0.27365328257632987,3,True
opp_0135,0.0067316326397059865,3,True
opp_0136,0.3287976372715238,3,True
opp_0137,0.13817129451288798,3,True
opp_0138,0.056491000484308156,3,True
opp_0139,0.19902496531578606,3,True
opp_0140,0.09741167171283426,3,True
opp_0141,0.01320310032339847,3,True
opp_0142,0.023550787588624906,3,True
opp_0143,0.03865190470070831,3,True
opp_0144,0.27797482683627617,3,True
opp_0145,0.06396974955186677,3,True
opp_0146,0.12938814923701022,3,True
opp_0147,0.09843476295437284,3,True
opp_0148,0.2849895543122818,3,True
opp_0149,0.13998750456237002,3,True
opp_0150,0.14447265534501746,3,True
opp_0151,0.09070676394041272,3,True
opp_0152,0.13881526247023643,3,True
opp_0153,0.14744895607613132,3,True
opp_0154,0.05912260630522467,3,True
opp_0155,0.22304512986365263,3,True
opp_0156,0.007394317377191406,3,True
opp_0157,0.10349294377524737,3,True
opp_0158,0.13414920273733974,3,True
opp_0159,0.03751234411158574,3,True
opp_0160,0.09511086273522308,3,True
opp_0161,0.11523904856765825,3,True
opp_0162,0.06293725368536508,3,True
opp_0163,0.22646664307779932,3,True
opp_0164,0.07135679847047308,3,True
opp_0165,0.12301820869585778,3,True
opp_0166,0.3060769832825258,3,True
opp_0167,0.08924534794570795,3,True
opp_0168,0.13055478783358382,3,True
opp_0169,0.04938127904428474,3,True
opp_0170,0.07254944748141705,3,True
opp_0171,0.09348662199883162,3,True
opp_0172,0.03490824592328116,3,True
opp_0173,0.06210617092865577,3,True
opp_0174,0.04504259918632689,3,True
opp_0175,0.0495772248139515,3,True
opp_0176,0.3074341603194174,3,True
opp_0177,0.04732542621550396,3,True
opp_0178,0.12611087303367235,3,True
opp_0179,0.12968905357533386,3,True
opp_0180,0.23299027838770892,3,True
opp_0181,0.15889439982139816,3,True
opp_0182,0.12332077769444151,3,True
opp_0183,0.10305784960999043,3,True
opp_0184,0.095827627806517,3,True
opp_0185,0.05701588479158868,3,True
opp_0186,0.02569124632095121,3,True
opp_0187,0.0639698617815041,3,True
opp_0188,0.09618848987239,3,True
opp_0189,0.10478991136134704,3,True
opp_0190,0.26476056849843327,3,True
opp_0191,0.07130015430549576,3,True
opp_0192,0.1597167587334585,3,True
opp_0193,0.08219235259185016,3,True
opp_0194,0.08167903202861526,3,True
opp_0195,0.04880671414183941,3,True
opp_0196,0.30254139384868506,3,True
opp_0197,0.3002533196731714,3,True
opp_0198,0.13698063978503522,3,True
opp_0199,0.09172361342581545,3,True
opp_0200,0.12311299254599536,3,True
opp_0201,0.07337879502275005,3,True
opp_0202,0.023140093634058754,3,True
opp_0203,0.27972205891447244,3,True
opp_0204,0.07641223716451749,3,True
opp_0205,0.2530021758571961,3,True
opp_0206,0.016974655442240204,3,True
opp_0207,0.07850351917361706,3,True
opp_0208,0.11971473609614569,3,True
opp_0209,0.04972709836924385,3,True
opp_0210,0.31527207000907953,3,True
opp_0211,0.004094713129269678,3,True
opp_0212,0.0021304515094635987,3,True
opp_0213,0.19193492317864858,3,True
opp_0214,0.18530539915582686,3,True
opp_0215,0.11332258971728124,3,True
opp_0216,0.035049196757153546,3,True
opp_0217,0.06732309354320624,3,True
opp_0218,0.09157283520479724,3,True
opp_0219,0.27594945715601554,3,True
opp_0220,0.0012714249994860872,3,True
opp_0221,0.20072699058575172,3,True
opp_0222,0.0563937660191893,3,True
opp_0223,0.2830534881588772,3,True
opp_0224,0.041593122233196285,3,True
opp_0225,0.2376323020159063,3,True
opp_0226,0.015937456763471535,3,True
opp_0227,0.13993405852969992,3,True
opp_0228,0.286066526190328,3,True
opp_0229,0.053837748989581734,3,True
opp_0230,0.11406796213221708,3,True
opp_0231,0.2278597378768154,3,True
opp_0232,0.12525202714664907,3,True
opp_0233,0.11816677978747932,3,True
opp_0234,0.11115772490875316,3,True
opp_0235,0.019580660031398977,3,True
opp_0236,0.017126952294793156,3,True
opp_0237,0.04863524115175281,3,True
opp_0238,0.021185520392898553,3,True
opp_0239,0.24032564239234439,3,True
opp_0240,0.08471864633791773,3,True
opp_0241,0.005643181796675878,3,True
opp_0242,0.14032750997509041,3,True
opp_0243,0.03121630543071022,3,True
opp_0244,0.1404958672273066,3,True
opp_0245,0.09109541186210071,3,True
opp_0246,0.048895847148149756,3,True
opp_0247,0.23064145470203398,3,True
opp_0248,0.13525410533451493,3,True
opp_0249,0.15584043351855859,3,True
opp_0250,0.1456285953079863,3,True
opp_0251,0.04187563175093813,3,True
opp_0252,0.14193785318989643,3,True
opp_0253,0.06385464653125597,3,True
opp_0254,0.0018634487239567565,3,True
opp_0255,0.024270425032792035,3,True
opp_0256,0.0608040558378537,3,True
opp_0257,0.07963804904302303,3,True
opp_0258,0.11036411777016884,3,True
opp_0259,0.26625124670766115,3,True
opp_0260,0.2365708828741132,3,True
opp_0261,0.0755348958226592,3,True
opp_0262,0.2398368765024178,3,True
opp_0263,0.13246954910341008,3,True
opp_0264,0.01640473808880844,3,True
