user_id,tier1_interactions,tier2_interactions,tier3_interactions,total_interactions,tier1_rate,tier2_rate,tier3_rate,adaptive_weight_tier1,adaptive_weight_tier2,adaptive_weight_tier3
user_0000,19,12,6,37,0.5135135135135135,0.32432432432432434,0.16216216216216217,0.5135135135135135,0.32432432432432434,0.16216216216216217
user_0001,22,30,17,69,0.3188405797101449,0.43478260869565216,0.2463768115942029,0.3188405797101449,0.43478260869565216,0.2463768115942029
user_0002,3,26,13,42,0.07142857142857142,0.6190476190476191,0.30952380952380953,0.07142857142857142,0.6190476190476191,0.30952380952380953
user_0003,47,16,16,79,0.5949367088607594,0.20253164556962025,0.20253164556962025,0.5949367088607596,0.20253164556962028,0.20253164556962028
user_0004,11,16,11,38,0.2894736842105263,0.42105263157894735,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.2894736842105263
user_0005,43,22,1,66,0.6515151515151515,0.3333333333333333,0.015151515151515152,0.6515151515151515,0.3333333333333333,0.015151515151515152
user_0006,13,3,14,30,0.43333333333333335,0.1,0.4666666666666667,0.43333333333333335,0.1,0.4666666666666667
user_0007,11,28,7,46,0.2391304347826087,0.6086956521739131,0.15217391304347827,0.2391304347826087,0.6086956521739131,0.15217391304347827
user_0008,45,10,2,57,0.7894736842105263,0.17543859649122806,0.03508771929824561,0.7894736842105263,0.17543859649122806,0.03508771929824561
user_0009,45,6,15,66,0.6818181818181818,0.09090909090909091,0.22727272727272727,0.6818181818181818,0.09090909090909091,0.22727272727272727
user_0010,13,18,20,51,0.2549019607843137,0.35294117647058826,0.39215686274509803,0.2549019607843137,0.35294117647058826,0.39215686274509803
user_0011,39,0,1,40,0.975,0.0,0.025,0.975,0.0,0.025
user_0012,24,6,3,33,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.09090909090909091
user_0013,18,0,7,25,0.72,0.0,0.28,0.72,0.0,0.28
user_0014,42,26,10,78,0.5384615384615384,0.3333333333333333,0.1282051282051282,0.5384615384615384,0.3333333333333333,0.1282051282051282
user_0015,11,12,7,30,0.36666666666666664,0.4,0.23333333333333334,0.36666666666666664,0.4,0.23333333333333334
user_0016,23,29,12,64,0.359375,0.453125,0.1875,0.359375,0.453125,0.1875
user_0017,2,4,4,10,0.2,0.4,0.4,0.2,0.4,0.4
user_0018,38,7,19,64,0.59375,0.109375,0.296875,0.59375,0.109375,0.296875
user_0019,42,8,13,63,0.6666666666666666,0.12698412698412698,0.20634920634920634,0.6666666666666666,0.12698412698412698,0.20634920634920634
user_0020,43,18,20,81,0.5308641975308642,0.2222222222222222,0.24691358024691357,0.5308641975308642,0.2222222222222222,0.24691358024691357
user_0021,19,6,20,45,0.4222222222222222,0.13333333333333333,0.4444444444444444,0.4222222222222222,0.13333333333333333,0.4444444444444444
user_0022,47,29,8,84,0.5595238095238095,0.34523809523809523,0.09523809523809523,0.5595238095238095,0.34523809523809523,0.09523809523809523
user_0023,26,22,0,48,0.5416666666666666,0.4583333333333333,0.0,0.5416666666666666,0.4583333333333333,0.0
user_0024,26,26,13,65,0.4,0.4,0.2,0.4,0.4,0.2
user_0025,24,8,6,38,0.631578947368421,0.21052631578947367,0.15789473684210525,0.631578947368421,0.21052631578947367,0.15789473684210525
user_0026,49,15,8,72,0.6805555555555556,0.20833333333333334,0.1111111111111111,0.6805555555555556,0.20833333333333334,0.1111111111111111
user_0027,38,0,20,58,0.6551724137931034,0.0,0.3448275862068966,0.6551724137931034,0.0,0.3448275862068966
user_0028,44,12,1,57,0.7719298245614035,0.21052631578947367,0.017543859649122806,0.7719298245614035,0.21052631578947367,0.017543859649122806
user_0029,44,24,14,82,0.5365853658536586,0.2926829268292683,0.17073170731707318,0.5365853658536586,0.2926829268292683,0.17073170731707318
user_0030,8,21,7,36,0.2222222222222222,0.5833333333333334,0.19444444444444445,0.2222222222222222,0.5833333333333334,0.19444444444444445
user_0031,4,20,3,27,0.14814814814814814,0.7407407407407407,0.1111111111111111,0.14814814814814814,0.7407407407407407,0.1111111111111111
user_0032,7,5,15,27,0.25925925925925924,0.18518518518518517,0.5555555555555556,0.25925925925925924,0.18518518518518517,0.5555555555555556
user_0033,4,5,17,26,0.15384615384615385,0.19230769230769232,0.6538461538461539,0.15384615384615385,0.19230769230769232,0.6538461538461539
user_0034,20,5,8,33,0.6060606060606061,0.15151515151515152,0.24242424242424243,0.6060606060606061,0.15151515151515152,0.24242424242424243
user_0035,43,22,12,77,0.5584415584415584,0.2857142857142857,0.15584415584415584,0.5584415584415584,0.2857142857142857,0.15584415584415584
user_0036,18,17,9,44,0.4090909090909091,0.38636363636363635,0.20454545454545456,0.4090909090909091,0.38636363636363635,0.20454545454545456
user_0037,18,27,18,63,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.28571428571428575,0.4285714285714286,0.28571428571428575
user_0038,16,3,3,22,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.7272727272727273,0.13636363636363635,0.13636363636363635
user_0039,25,26,6,57,0.43859649122807015,0.45614035087719296,0.10526315789473684,0.4385964912280702,0.456140350877193,0.10526315789473685
user_0040,5,17,15,37,0.13513513513513514,0.4594594594594595,0.40540540540540543,0.13513513513513514,0.4594594594594595,0.40540540540540543
user_0041,12,4,16,32,0.375,0.125,0.5,0.375,0.125,0.5
user_0042,2,15,15,32,0.0625,0.46875,0.46875,0.0625,0.46875,0.46875
user_0043,6,3,7,16,0.375,0.1875,0.4375,0.375,0.1875,0.4375
user_0044,2,26,12,40,0.05,0.65,0.3,0.05,0.65,0.3
user_0045,11,2,2,15,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333334,0.13333333333333336,0.13333333333333336
