opportunity_id,confidence,direct_activity_contrib,ai2ai_contrib,network_contrib,context_contrib,total_contrib,confidence_correct
opp_0000,0.3243871439163704,0.25732692592930073,0.0,0.0,0.0670602179870697,0.3243871439163704,True
opp_0001,0.12388631376351661,0.0,0.0,0.0,0.12388631376351661,0.12388631376351661,True
opp_0002,0.12379664859280944,0.0,0.0,0.0,0.12379664859280944,0.12379664859280944,True
opp_0003,0.014615553348496495,0.0,0.0,0.0,0.014615553348496495,0.014615553348496495,True
opp_0004,0.1053144079889978,0.0,0.0,0.0,0.1053144079889978,0.1053144079889978,True
opp_0005,0.05729616453529236,0.0,0.0,0.039184293430363226,0.018111871104929133,0.05729616453529236,True
opp_0006,0.290108601316357,0.0,0.18928733545256843,0.0,0.1008212658637886,0.290108601316357,True
opp_0007,0.11335861034860263,0.0,0.0,0.10607286950381685,0.007285740844785782,0.11335861034860263,True
opp_0008,0.10957419926141666,0.0,0.0,0.0,0.10957419926141666,0.10957419926141666,True
opp_0009,0.10387733030584602,0.0,0.0,0.0,0.10387733030584602,0.10387733030584602,True
opp_0010,0.2522668868611124,0.0,0.0,0.14000285697942502,0.1122640298816874,0.2522668868611124,True
opp_0011,0.10715768034448417,0.0,0.0,0.0,0.10715768034448417,0.10715768034448417,True
opp_0012,0.10414679605909895,0.0,0.0,0.0,0.10414679605909895,0.10414679605909895,True
opp_0013,0.10113652283087601,0.0,0.0,0.0,0.10113652283087601,0.10113652283087601,True
opp_0014,0.16403619834309588,0.0,0.0,0.13405083575338836,0.02998536258970752,0.16403619834309588,True
opp_0015,0.24989171583867872,0.0,0.1960893502368416,0.0,0.05380236560183712,0.24989171583867872,True
opp_0016,0.03563932088493067,0.0,0.0,0.0,0.03563932088493067,0.03563932088493067,True
opp_0017,0.001944785651195746,0.0,0.0,0.0,0.001944785651195746,0.001944785651195746,True
opp_0018,0.10643181798715037,0.0,0.0,0.0,0.10643181798715037,0.10643181798715037,True
opp_0019,0.10239882775523028,0.0,0.0,0.0,0.10239882775523028,0.10239882775523028,True
opp_0020,0.23982767119807977,0.0,0.06977806157730262,0.1692028392181041,0.0008467704026730193,0.23982767119807977,True
opp_0021,0.3066781075658492,0.0,0.2330954663927977,0.0,0.07358264117305148,0.3066781075658492,True
opp_0022,0.023905573877615376,0.0,0.0,0.0,0.023905573877615376,0.023905573877615376,True
opp_0023,0.16977429050670687,0.0,0.09019945616568317,0.0,0.07957483434102369,0.16977429050670687,True
opp_0024,0.09205516455911915,0.0,0.0,0.0,0.09205516455911915,0.09205516455911915,True
opp_0025,0.5027650447312071,0.354264063599518,0.0,0.1447951216739848,0.00370585945770433,0.5027650447312071,True
opp_0026,0.028876858190051563,0.0,0.0,0.0,0.028876858190051563,0.028876858190051563,True
opp_0027,0.42062777774224513,0.3886515079625732,0.0,0.0,0.03197626977967193,0.42062777774224513,True
opp_0028,0.14096266672624702,0.0,0.0,0.0,0.14096266672624702,0.14096266672624702,True
opp_0029,0.34546989077985296,0.0,0.04449804088885856,0.16432386372632626,0.13664798616466814,0.34546989077985296,True
opp_0030,0.09275240383659032,0.0,0.0,0.0,0.09275240383659032,0.09275240383659032,True
opp_0031,0.04520260647673067,0.0,0.0,0.0,0.04520260647673067,0.04520260647673067,True
opp_0032,0.15598623183313887,0.0,0.0,0.04397314509210207,0.11201308674103679,0.15598623183313887,True
opp_0033,0.09719109129883031,0.0,0.0,0.0,0.09719109129883031,0.09719109129883031,True
opp_0034,0.1948673947157588,0.0,0.14916372186333257,0.0,0.045703672852426255,0.1948673947157588,True
opp_0035,0.09253273848602364,0.0,0.0,0.0,0.09253273848602364,0.09253273848602364,True
opp_0036,0.38905380199565165,0.3198640214422126,0.0,0.0,0.06918978055343908,0.38905380199565165,True
opp_0037,0.18032884066406157,0.0,0.14514891335217356,0.0,0.03517992731188802,0.18032884066406157,True
opp_0038,0.08483280118576647,0.0,0.0,0.0,0.08483280118576647,0.08483280118576647,True
opp_0039,0.23791700326947818,0.0,0.1964150280161308,0.0,0.04150197525334736,0.23791700326947818,True
opp_0040,0.13669988936632324,0.0,0.0,0.11033436523203943,0.0263655241342838,0.13669988936632324,True
opp_0041,0.46439324698444606,0.33057746928930776,0.0,0.0,0.1338157776951383,0.46439324698444606,True
opp_0042,0.1862211544700197,0.0,0.0,0.052123264288111495,0.1340978901819082,0.1862211544700197,True
opp_0043,0.26959800989168353,0.0,0.1930362108901157,0.0,0.07656179900156783,0.26959800989168353,True
opp_0044,0.021055603898562984,0.0,0.0,0.0,0.021055603898562984,0.021055603898562984,True
opp_0045,0.032822867588854256,0.0,0.0,0.0,0.032822867588854256,0.032822867588854256,True
opp_0046,0.22584026473826907,0.09360746754052768,0.0,0.0,0.1322327971977414,0.22584026473826907,True
opp_0047,0.03949741040762301,0.0,0.0,0.0,0.03949741040762301,0.03949741040762301,True
opp_0048,0.14590111625258895,0.0,0.0,0.0,0.14590111625258895,0.14590111625258895,True
opp_0049,0.07527554767061126,0.0,0.0,0.0,0.07527554767061126,0.07527554767061126,True
opp_0050,0.13850578460922602,0.0,0.0393393381726424,0.0,0.09916644643658361,0.13850578460922602,True
opp_0051,0.17003990500219457,0.0,0.0,0.16667299927905085,0.0033669057231437037,0.17003990500219457,True
opp_0052,0.13836703059826513,0.0,0.0,0.0,0.13836703059826513,0.13836703059826513,True
opp_0053,0.06738050424291851,0.0,0.0,0.0,0.06738050424291851,0.06738050424291851,True
opp_0054,0.039678104781793455,0.0,0.0,0.0,0.039678104781793455,0.039678104781793455,True
opp_0055,0.24094315206685857,0.0,0.0,0.1045422686034317,0.13640088346342688,0.24094315206685857,True
opp_0056,0.07549938122076892,0.0,0.0,0.0,0.07549938122076892,0.07549938122076892,True
opp_0057,0.10178390404123634,0.0,0.0,0.0,0.10178390404123634,0.10178390404123634,True
opp_0058,0.11843333777264319,0.0,0.0,0.0,0.11843333777264319,0.11843333777264319,True
opp_0059,0.11487883355376818,0.0,0.0,0.0,0.11487883355376818,0.11487883355376818,True
opp_0060,0.017674290597172654,0.0,0.0,0.0,0.017674290597172654,0.017674290597172654,True
opp_0061,0.08470053564642825,0.0,0.0,0.0,0.08470053564642825,0.08470053564642825,True
opp_0062,0.08323670344474927,0.0,0.0,0.0,0.08323670344474927,0.08323670344474927,True
opp_0063,0.11746638905180033,0.0,0.0,0.0,0.11746638905180033,0.11746638905180033,True
opp_0064,0.0078079195626877314,0.0,0.0,0.0,0.0078079195626877314,0.0078079195626877314,True
opp_0065,0.05636000942827281,0.0,0.0,0.044354048923902406,0.0120059605043704,0.05636000942827281,True
