group_id,avrai_stability,prior_art_stability,satisfaction,avrai_error,prior_art_error,improvement
group_0,0.7476519077507261,0.50184005223298,0.6737098274717433,0.07394208027898275,0.17186977523876334,0.0979276949597806
group_1,0.6295560020345431,0.696178832490088,0.7042069772881133,0.07465097525357023,0.008028144798025272,-0.06662283045554496
group_2,0.719715195892241,0.5459015801025732,0.6801597538761865,0.03955544201605443,0.13425817377361338,0.09470273175755894
group_3,0.6401945675996829,0.5442442697836339,0.6476885784315876,0.007494010831904707,0.10344430864795362,0.09595029781604891
group_4,0.6884441434776287,0.674133651885663,0.7189441616235775,0.030500018145948826,0.04481050973791456,0.014310491591965735
group_5,0.8095525943829627,0.6853504262260884,0.7718742517218814,0.03767834266108128,0.08652382549579296,0.048845482834711684
group_6,0.6591284630225906,0.4860398856829158,0.6319803829604634,0.02714808006212721,0.14594049727754765,0.11879241721542044
group_7,0.6362825165178857,0.6451617841555768,0.686490763747646,0.05020824722976025,0.04132897959206916,-0.00887926763769109
group_8,0.6276491377771497,0.5634882938357487,0.6503680161234202,0.02271887834627051,0.08687972228767149,0.06416084394140098
group_9,0.6242854963529071,0.565076325753171,0.6496577723206921,0.02537227596778502,0.08458144656752109,0.05920917059973607
group_10,0.5958870904647005,0.6710345495633221,0.6806816994894699,0.08479460902476943,0.009647149926147791,-0.07514745909862164
group_11,0.6846552838950946,0.5749440705701049,0.6777527852643407,0.006902498630753873,0.1028087146942358,0.09590621606348193
group_12,0.7525824790953541,0.7359251611349286,0.769316099570374,0.016733620475019806,0.03339093843544538,0.016657317960425577
group_13,0.6717819305283611,0.5804037149689001,0.6747873016771654,0.003005371148804281,0.0943835867082653,0.09137821555946102
group_14,0.7629014722300476,0.3756424027029646,0.6293305934514658,0.13357087877858176,0.2536881907485012,0.12011731196991943
group_15,0.6051750755926384,0.5513888212152672,0.6365386022014231,0.03136352660878472,0.08514978098615589,0.05378625437737117
group_16,0.7115991074789314,0.49565360126780084,0.6568141269769538,0.054784980501977554,0.161160525709153,0.10637554520717546
group_17,0.7271917008122625,0.6663253712368192,0.7313198722978936,0.00412817148563116,0.0649945010610744,0.060866329575443245
group_18,0.7023426566282357,0.5689400589058975,0.6824261296919142,0.01991652693632151,0.11348607078601669,0.09356954384969518
group_19,0.8547078121634253,0.6808215422238684,0.7881247852331784,0.06658302693024687,0.10730324300931005,0.040720216079063176
group_20,0.7483142141003272,0.42304882682299394,0.6424582598475894,0.10585595425273775,0.21940943302459548,0.11355347877185773
group_21,0.5780137527545599,0.4172177126965706,0.5720056296587132,0.006008123095846751,0.15478791696214256,0.1487797938662958
group_22,0.7755254231813287,0.5098530403541943,0.6880644288924701,0.08746099428885856,0.17821138853827578,0.09075039424941722
group_23,0.7168261066575399,0.5536313727340056,0.682096035234879,0.034730071422660824,0.1284646625008734,0.09373459107821258
group_24,0.7798412574710654,0.791213376231758,0.8023348969593903,0.022493639488324946,0.011121520727632284,-0.011372118760692662
group_25,0.6980051672428739,0.6069684797816434,0.6959025022880677,0.002102664954806155,0.08893402250642435,0.0868313575516182
group_26,0.6300164888420763,0.6922485130767786,0.7028190442458028,0.07280255540372649,0.010570531169024178,-0.06223202423470231
group_27,0.6574729744434973,0.5544843147673947,0.6586959591626177,0.0012229847191204124,0.10421164439522301,0.1029886596761026
group_28,0.671969808134631,0.6745776209371374,0.7125320151069682,0.040562206972337145,0.03795439416983082,-0.0026078128025063263
group_29,0.7964754272390153,0.7362854519505593,0.7870173951540907,0.009458032084924572,0.05073194320353147,0.0412739111186069
group_30,0.6784028064749437,0.5325527914709169,0.6582952826566051,0.02010752381833858,0.12574249118568814,0.10563496736734956
group_31,0.60041767892563,0.4962268235083762,0.6125708444518634,0.012153165526233356,0.11634402094348717,0.10419085541725381
group_32,0.7567775552611402,0.7372201995716332,0.7715121454113703,0.014734590150230042,0.03429194583973705,0.019557355689507006
group_33,0.7344431020425218,0.677122917243391,0.7246264077143653,0.009816694328156572,0.04750349047097424,0.03768679614281767
group_34,0.5528782671960318,0.6073625937252507,0.624096344368513,0.07121807717248119,0.016733750643262324,-0.05448432652921886
group_35,0.6788582046879348,0.6157936666504943,0.6778607485353717,0.000997456152563081,0.06206708188487742,0.06106962573231434
group_36,0.5893435288796154,0.6487812573234742,0.6552499144812359,0.06590638560162054,0.006468657157761681,-0.05943772844385886
group_37,0.7157569312493666,0.4643651029463866,0.6320488136783013,0.08370811757106522,0.16768371073191474,0.08397559316084952
group_38,0.6891755717554315,0.6195457178357834,0.683488515836486,0.005687055918945583,0.06394279800070257,0.05825574208175699
group_39,0.5689996594719574,0.6149687606544619,0.6335873680505678,0.0645877085786104,0.01861860739610588,-0.045969101182504524
