group_id,user_count,crossings,jones_degree,num_clusters,avg_cluster_density,density_factor,complexity_factor,cohesion_factor,avrai_stability,baseline_stability,satisfaction,avrai_error,baseline_error
group_0,3,9,2,1,0.627489828049353,0.3,0.8333333333333334,0.627489828049353,0.5582469484148059,0.5310374706848068,0.609626811118106,0.05137986270330008,0.07858934043329924
group_1,3,19,3,1,0.8760481231732455,0.6333333333333333,0.7692307692307692,0.8760481231732455,0.7469170010545377,0.5561876388395776,0.695154899435907,0.05176210161863071,0.13896726059632947
group_2,3,10,2,1,0.522754660987846,0.33333333333333337,0.8333333333333334,0.522754660987846,0.5401597316296871,0.5685373170890791,0.6173918629657674,0.07723213133608031,0.04885454587668836
group_3,3,13,2,1,0.5763708862834191,0.4333333333333333,0.8333333333333334,0.5763708862834191,0.596244599218359,0.7096599699184694,0.6962748711329922,0.1000302719146332,0.013385098785477112
group_4,3,12,2,1,0.5529852208744027,0.4,0.8333333333333334,0.5529852208744027,0.5758955662623209,0.7228846414118456,0.6934251265479274,0.11752956028560657,0.02945951486391818
group_5,3,13,3,1,0.7188935263983476,0.4333333333333333,0.7692307692307692,0.7188935263983476,0.6197706220220683,0.46767242495399924,0.6088902622686879,0.01088035975338042,0.14121783731468868
group_6,3,18,2,1,0.9919506739952791,0.6,0.8333333333333334,0.9919506739952791,0.7875852021985837,0.6506957276447854,0.7492254154156085,0.03835978678297525,0.09852968777082305
group_7,3,14,3,1,0.6346453363885824,0.4666666666666667,0.7692307692307692,0.6346453363885824,0.6078294983524721,0.3563848017225622,0.5595987635082746,0.04823073484419749,0.20321396178571244
group_8,3,9,3,1,0.6535743950187556,0.3,0.7692307692307692,0.6535743950187556,0.5468415492748574,0.5341420015068232,0.6063064637909331,0.05946491451607572,0.07216446228410989
group_9,3,18,2,1,0.835232606414562,0.6,0.8333333333333334,0.835232606414562,0.7405697819243686,0.689563383018227,0.7459663094552992,0.005396527530930562,0.05640292643707223
group_10,3,15,2,1,0.7093364209200242,0.5,0.8333333333333334,0.7093364209200242,0.6628009262760073,0.6311072119452209,0.6914762987667521,0.02867537249074481,0.06036908682153119
