group_id,knot_topology_alone,group_compatibility_alone,fabric_combination_avrai,synergistic_improvement
group_0,0.4,0.8533397920943986,0.563812790526113,-0.2895270015682856
group_1,0.6666666666666667,0.5093700619409479,0.6917218904419612,0.025055223775294455
group_2,0.5666666666666667,0.6477196389084595,0.7154042254770079,0.06768458656854837
group_3,0.6666666666666667,0.6160377774235016,0.699692245060464,0.03302557839379727
group_4,0.33333333333333337,0.5163333633559398,0.6118414491949765,0.0955080858390367
group_5,0.6333333333333333,0.674917083415102,0.6889318729454106,0.014014789530308547
group_6,0.7333333333333333,0.47364707502114484,0.8318212698270837,0.09848793649375043
group_7,0.5666666666666667,0.6210458585098398,0.7679857007169173,0.14693984220707745
group_8,0.3,0.47132806307635833,0.5483710691353858,0.07704300605902747
group_9,0.4333333333333333,0.6511700642593264,0.6471857910111322,-0.003984273248194281
group_10,0.7666666666666667,0.6656881174593482,0.8494507607524842,0.08278409408581744
group_11,0.5333333333333333,0.5416414032509435,0.714349043277738,0.1727076400267945
group_12,0.6333333333333333,0.6025660259142193,0.7600865496305771,0.1267532162972438
group_13,0.5333333333333333,0.42540026251354224,0.6523575038761976,0.1190241705428643
group_14,0.6,0.5707518282362416,0.7613382808850133,0.16133828088501334
group_15,0.7666666666666667,0.5810718328281087,0.7924613698376924,0.025794703171025724
group_16,0.4666666666666667,0.535207259481562,0.7078820645744587,0.17267480509289668
group_17,0.5,0.6464446414800494,0.733361886479319,0.08691724499926956
group_18,0.33333333333333337,0.6537359564851465,0.6175532260107328,-0.03618273047441367
group_19,0.4333333333333333,0.7343490375290319,0.6649344016533034,-0.06941463587572849
group_20,0.7666666666666667,0.5984640139798466,0.8079266077066358,0.041259941039969106
group_21,0.5333333333333333,0.5091651791337792,0.6638693745908788,0.13053604125754548
group_22,0.7333333333333333,0.512012958329791,0.760907232034753,0.027573898701419686
group_23,0.7,0.703187468943085,0.790542606995091,0.08735513805200601
group_24,0.7666666666666667,0.6728241395719808,0.8231127614354881,0.05644609476882134
group_25,0.5666666666666667,0.5145488916840416,0.6748089612867352,0.10814229462006852
group_26,0.7333333333333333,0.531607303068501,0.7633001112129569,0.02996677787962365
group_27,0.7666666666666667,0.43313414654779225,0.8238336497543094,0.057166983087642675
group_28,0.7333333333333333,0.5709321272985062,0.6818677183945914,-0.05146561493874191
group_29,0.4666666666666667,0.755085958529497,0.6670476812941935,-0.08803827723530355
