event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319976.320403,42,2100.0,1712.848302813294,4.424230386331647,42,114.15169718670614,63.0,210.0,387.15169718670614,0.1667360356408286,108.98726897705234,93.08637765364271
event_0001,health,1767832759.1211135,63,3150.0,2474.1113052713777,3.6605306828881994,63,266.38869472862234,94.5,315.0,675.8886947286223,0.197527067876165,91.25980107063286,105.93730672702968
event_0002,science,1766476679.4612992,96,4800.0,3623.9237777993817,3.081368120017312,96,552.0762222006183,144.0,480.0,1176.0762222006183,0.24308487845186272,92.74204656912639,101.32205603626235
event_0003,business,1772284240.130298,39,1950.0,1388.787883634463,2.4746220602441467,39,307.71211636553704,58.5,195.0,561.212116365537,0.16258274576652262,111.03984420069008,106.16105484222595
event_0004,health,1770935119.3832293,57,2850.0,2243.0067159403525,3.695274354501653,57,236.49328405964755,85.5,285.0,606.9932840596475,0.16929652990501584,114.16576129759758,96.28412914670473
event_0005,technology,1772287333.8025951,60,3000.0,2421.6806989609254,4.187445749449927,60,188.31930103907453,90.0,300.0,578.3193010390745,0.1794714596440897,104.5590639948754,96.25000011662166
event_0006,business,1774682554.1183522,89,4450.0,3397.3861543713256,3.2275712204243665,89,474.1138456286742,133.5,445.0,1052.6138456286742,0.233134959339112,111.97207230368139,91.70908496003248
event_0007,technology,1779483643.813578,37,1850.0,1393.8582141375346,3.055756471646312,37,215.6417858624653,55.5,185.0,456.1417858624653,0.18671127070045396,98.87017983632204,91.3737795290721
event_0008,business,1781039742.6281247,56,2800.0,2081.7428029382017,2.8983250170747543,56,354.2571970617982,84.0,280.0,718.2571970617983,0.22760165677979388,90.56159569764165,107.99122007335801
event_0009,art,1770461768.2465348,61,3050.0,2307.127637299707,3.105685112464607,61,346.3723627002928,91.5,305.0,742.8723627002928,0.19975491595695472,101.62472520542207,98.67395352669266
event_0010,technology,1779767483.201922,57,2850.0,2321.1172009177917,4.388717509712399,57,158.38279908220815,85.5,285.0,528.8827990822082,0.15666798430962656,93.31392402118212,98.64961509741059
event_0011,business,1766554163.6040409,76,3800.0,2853.9879062220543,3.0168619671916814,76,452.01209377794555,114.0,380.0,946.0120937779456,0.2071012181354699,104.56110861710086,86.76510042615891
event_0012,technology,1773137079.929192,45,2250.0,1616.3430200615562,2.55081703703252,45,341.1569799384438,67.5,225.0,633.6569799384438,0.210595362423245,97.67815591001934,94.25791256264029
event_0013,science,1768030511.866936,48,2400.0,1831.2902718326338,3.2200790335235863,48,256.7097281673662,72.0,240.0,568.7097281673662,0.2301019949010884,116.69301975490399,86.23879049052042
event_0014,science,1775690396.9283116,58,2900.0,2392.852703008529,4.718259797900036,58,130.14729699147134,87.0,290.0,507.1472969914713,0.23236429662774005,101.07205952575421,103.83614597940743
