user_id,expertise_score,best_match_score,vibe_weight,expertise_weight,location_weight,formula_error,meets_threshold
user_0000,0.5509725872667428,10.369372916313326,10.204081140133303,0.16529177618002283,0.0,0.0,True
user_0001,0.3701486102414314,4.694401466230462,4.583356883158033,0.11104458307242943,0.0,0.0,True
user_0002,0.5896902783140803,10.84448185417978,10.667574770685555,0.17690708349422407,0.0,0.0,True
user_0003,0.6972588861340728,5.785702351041454,5.576524685201233,0.20917766584022185,0.0,0.0,True
user_0004,0.8577498857110742,11.920868592792157,11.663543627078836,0.25732496571332225,0.0,0.0,True
user_0005,0.4464593616053682,7.337939468372069,7.204001659890459,0.13393780848161047,0.0,0.0,True
user_0006,0.6056069056431461,8.592926803021028,8.411244731328084,0.18168207169294384,0.0,0.0,True
user_0007,0.5907099965395224,11.125894163331184,10.948681164369328,0.17721299896185672,0.0,0.0,True
user_0008,0.6590674661377479,5.702964137452128,5.505243897610804,0.19772023984132436,0.0,0.0,True
user_0009,0.8422795528326504,11.219152384195038,10.966468518345243,0.25268386584979513,0.0,0.0,True
user_0010,0.7134477264281094,8.476557062699614,8.26252274477118,0.2140343179284328,0.0,0.0,True
user_0011,0.38796209655601854,9.612582027691916,9.49619339872511,0.11638862896680556,0.0,0.0,True
user_0012,1.0139320746796137,6.178260467023103,5.874080844619218,0.3041796224038841,0.0,0.0,True
user_0013,0.5614124217139097,8.993909356051912,8.82548562953774,0.1684237265141729,0.0,0.0,True
user_0014,0.7537142938847035,6.630526327024043,6.4044120388586325,0.22611428816541101,0.0,0.0,True
user_0015,0.7606641814545317,9.266426726364944,9.038227471928584,0.22819925443635952,0.0,0.0,True
user_0016,0.8617856345840532,13.121090745008413,12.862555054633196,0.25853569037521595,0.0,0.0,True
user_0017,0.5293730167523037,5.7962511858374,5.6374392808117095,0.15881190502569112,0.0,0.0,True
user_0018,0.5738910011078049,9.578211161914588,9.406043861582246,0.17216730033234146,0.0,0.0,True
user_0019,0.49455287342408344,9.932373790180124,9.7840079281529,0.14836586202722502,0.0,0.0,True
user_0020,0.594347378761828,14.90965334991277,14.731349136284221,0.1783042136285484,0.0,0.0,True
user_0021,0.5979989029527315,9.163928394011654,8.984528723125834,0.17939967088581946,0.0,0.0,True
user_0022,0.5247048450545844,15.475820869297316,15.31840941578094,0.1574114535163753,0.0,0.0,True
user_0023,0.5537654459897129,10.230958436317616,10.064828802520703,0.16612963379691387,0.0,0.0,True
user_0024,0.7223100339929577,5.280445494669706,5.063752484471819,0.2166930101978873,0.0,0.0,True
user_0025,0.9247280719372979,8.81064018550824,8.53322176392705,0.27741842158118935,0.0,0.0,True
user_0026,0.7575267243571585,8.920397706454906,8.69313968914776,0.22725801730714754,0.0,0.0,True
user_0027,0.710270153441782,7.598278861429047,7.385197815396512,0.2130810460325346,0.0,0.0,True
user_0028,0.6023533568920776,6.849811285427194,6.66910527835957,0.18070600706762327,0.0,0.0,True
user_0029,0.641994245366279,9.574183860403778,9.381585586793895,0.1925982736098837,0.0,0.0,True
user_0030,0.7540992059901257,9.379509511268498,9.15327974947146,0.2262297617970377,0.0,0.0,True
user_0031,0.6515869409274826,8.22561668719193,8.030140604913687,0.19547608227824478,0.0,0.0,True
user_0032,0.589004444256541,12.914386433257382,12.73768509998042,0.17670133327696227,0.0,0.0,True
user_0033,0.9774055405526574,11.764071088298833,11.470849426133036,0.2932216621657972,0.0,0.0,True
user_0034,0.6271811381965502,12.080741173448132,11.892586831989167,0.18815434145896506,0.0,0.0,True
user_0035,0.6946011970523396,7.961988935870656,7.753608576754955,0.20838035911570188,0.0,0.0,True
