visit_id,dwell_time_min,review_given,repeat_visit,detailed_review,quality_score,dwell_component,review_bonus,repeat_bonus,detail_bonus,meets_dwell_time
visit_0000,88.37654569968149,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0001,77.98613253354279,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0002,114.86556866481375,False,True,True,1.25,1.0,0.0,0.15,0.1,True
visit_0003,45.42412526500242,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0004,9.5750372308353,True,True,False,0.66916790769451,0.31916790769451,0.2,0.15,0.0,True
visit_0005,77.76424622959122,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0006,101.14223042277715,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0007,78.6526398353856,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0008,47.928060616847674,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0009,7.623324738234856,False,False,False,0.2541108246078285,0.2541108246078285,0.0,0.0,0.0,True
visit_0010,32.01902279430514,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0011,109.51534072137846,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0012,0.06862753535322064,False,True,False,0.15228758451177402,0.0022875845117740212,0.0,0.15,0.0,False
visit_0013,10.278414248145452,False,True,False,0.492613808271515,0.34261380827151505,0.0,0.15,0.0,True
visit_0014,50.77655282410643,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0015,14.520503504191886,True,False,False,0.6840167834730628,0.4840167834730629,0.2,0.0,0.0,True
visit_0016,103.15624803044958,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0017,96.89963973199721,True,True,False,1.3499999999999999,1.0,0.2,0.15,0.0,True
visit_0018,48.314553852272255,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0019,53.17568940641483,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0020,58.276935054086216,True,False,True,1.3,1.0,0.2,0.0,0.1,True
visit_0021,114.87811690316079,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0022,6.859832748897969,False,False,False,0.2286610916299323,0.2286610916299323,0.0,0.0,0.0,True
visit_0023,28.22446740011174,True,False,False,1.1408155800037247,0.9408155800037247,0.2,0.0,0.0,True
visit_0024,24.511103930824373,False,False,False,0.8170367976941457,0.8170367976941457,0.0,0.0,0.0,True
visit_0025,119.81453290253309,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0026,100.04939455677685,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0027,16.114933727204125,True,True,False,0.8871644575734708,0.5371644575734709,0.2,0.15,0.0,True
visit_0028,58.623822257925184,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0029,88.9477090017517,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0030,17.77125426809792,True,False,False,0.7923751422699308,0.5923751422699307,0.2,0.0,0.0,True
visit_0031,93.61394902457312,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0032,2.974363427782647,False,False,False,0.0991454475927549,0.0991454475927549,0.0,0.0,0.0,False
visit_0033,104.66001394873076,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0034,39.39143414372478,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0035,116.44807332266736,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0036,46.223452001367264,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0037,43.7065766137517,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0038,48.288046446926955,True,True,False,1.3499999999999999,1.0,0.2,0.15,0.0,True
visit_0039,0.04871276367450328,True,False,False,0.20162375878915012,0.0016237587891501093,0.2,0.0,0.0,False
visit_0040,95.52297121521363,True,True,False,1.3499999999999999,1.0,0.2,0.15,0.0,True
visit_0041,23.895591927189198,True,False,False,0.9965197309063065,0.7965197309063066,0.2,0.0,0.0,True
visit_0042,59.32526028125243,True,False,True,1.3,1.0,0.2,0.0,0.1,True
visit_0043,62.1549300532489,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0044,106.97111109725245,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0045,29.668768501159146,False,False,False,0.9889589500386382,0.9889589500386382,0.0,0.0,0.0,True
visit_0046,64.81826670221477,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0047,50.41722213281108,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0048,102.41375406829255,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0049,40.335545243805896,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0050,3.2522455608374923,False,True,False,0.25840818536124976,0.10840818536124974,0.0,0.15,0.0,False
visit_0051,90.24117882657418,False,False,True,1.1,1.0,0.0,0.0,0.1,True
visit_0052,78.21055862926673,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0053,83.9357965495381,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0054,37.43486932736342,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0055,102.03518869065556,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0056,101.94907523994928,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0057,32.4098875664881,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0058,105.79574208033263,True,False,False,1.2,1.0,0.2,0.0,0.0,True
visit_0059,40.84066117971404,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0060,82.87312073358277,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0061,63.710631737492136,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0062,64.30367584604997,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0063,23.294109370928812,True,True,True,1.2264703123642937,0.7764703123642938,0.2,0.15,0.1,True
visit_0064,104.21534367155328,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0065,98.65387743593165,False,True,False,1.15,1.0,0.0,0.15,0.0,True
visit_0066,91.73321343914331,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0067,74.52327852865783,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0068,0.32108671234628794,False,False,False,0.010702890411542931,0.010702890411542931,0.0,0.0,0.0,False
visit_0069,94.53936319760776,False,False,False,1.0,1.0,0.0,0.0,0.0,True
visit_0070,19.910734706486963,False,False,False,0.6636911568828988,0.6636911568828988,0.0,0.0,0.0,True
visit_0071,59.25542632141011,True,True,False,1.3499999999999999,1.0,0.2,0.15,0.0,True
