visit_id,distance_m,geofence_triggered,ground_truth,detection_correct
visit_0000,55.00586367382385,False,False,True
visit_0001,5.307193936772725,True,True,True
visit_0002,68.05010330359838,False,False,True
visit_0003,107.24561829094014,False,False,True
visit_0004,45.57965513030937,False,True,False
visit_0005,53.39556440982267,False,False,True
visit_0006,111.38994875492925,False,False,True
visit_0007,175.27352529453378,False,False,True
visit_0008,116.9171980447081,False,False,True
visit_0009,158.41587287259281,False,False,True
visit_0010,136.34207380531495,False,False,True
visit_0011,100.11722261005967,False,False,True
visit_0012,155.72529572611165,False,False,True
visit_0013,175.6019198408081,False,False,True
visit_0014,53.01132578801182,False,False,True
visit_0015,87.6200167829008,False,False,True
visit_0016,45.788356762230876,True,True,True
visit_0017,94.53420526235882,False,False,True
visit_0018,196.83304227319323,False,False,True
visit_0019,49.9612895764201,False,True,False
visit_0020,169.7391468828611,False,False,True
visit_0021,91.00167346782865,False,False,True
visit_0022,108.43904027485485,False,False,True
visit_0023,119.00702129000553,False,False,True
visit_0024,104.55654310639177,False,False,True
visit_0025,14.508622898631462,True,True,True
visit_0026,73.9054177477768,False,False,True
visit_0027,132.67774299321547,False,False,True
visit_0028,126.84759177701595,False,False,True
visit_0029,127.42267546027593,False,False,True
visit_0030,166.91900397720335,False,False,True
visit_0031,49.90594784458489,False,True,False
visit_0032,162.15434398807938,False,False,True
visit_0033,157.47490182709421,False,False,True
visit_0034,4.732886940290304,True,True,True
visit_0035,187.84742806494313,False,False,True
visit_0036,121.24177066122866,False,False,True
visit_0037,148.39001556789532,False,False,True
visit_0038,61.85693244173065,False,False,True
visit_0039,60.18997491311306,False,False,True
visit_0040,94.63723718186526,False,False,True
visit_0041,134.55913411143342,False,False,True
visit_0042,38.88704734794186,False,True,False
visit_0043,35.17733634130633,True,True,True
visit_0044,119.09046369388395,False,False,True
visit_0045,94.93488736461066,False,False,True
visit_0046,54.34302141643692,False,False,True
visit_0047,83.15484682063119,False,False,True
visit_0048,70.35176053436494,False,False,True
visit_0049,87.16719520932732,False,False,True
visit_0050,78.80405126794095,False,False,True
visit_0051,152.24594157880543,False,False,True
visit_0052,130.028818649975,False,False,True
visit_0053,112.79391638600383,False,False,True
visit_0054,21.619749931521316,True,True,True
visit_0055,20.380261089195308,True,True,True
visit_0056,101.19215793541558,False,False,True
visit_0057,146.75906080267836,False,False,True
visit_0058,166.14620377812068,False,False,True
visit_0059,42.423970035947804,True,True,True
visit_0060,97.71556936975747,False,False,True
visit_0061,116.31111706647343,False,False,True
visit_0062,38.51685869030348,True,True,True
visit_0063,56.599740654991,False,False,True
visit_0064,139.48347858203888,False,False,True
visit_0065,188.21271935362066,False,False,True
visit_0066,198.78362454204404,False,False,True
visit_0067,198.0062520933596,False,False,True
visit_0068,34.76270966528689,True,True,True
visit_0069,137.47698401424856,False,False,True
visit_0070,165.32623193001191,False,False,True
visit_0071,188.53524814880817,False,False,True
visit_0072,167.19172278123625,False,False,True
visit_0073,183.2145575853535,False,False,True
visit_0074,65.96073271579309,False,False,True
visit_0075,80.83501140014913,False,False,True
visit_0076,151.9981072122034,False,False,True
visit_0077,31.67563276104648,True,True,True
visit_0078,143.32066519835823,False,False,True
visit_0079,175.86525102929522,False,False,True
visit_0080,117.38754448283221,False,False,True
visit_0081,37.730474741421084,False,True,False
visit_0082,132.73776589690692,False,False,True
visit_0083,105.19021736151228,False,False,True
visit_0084,129.9673305158545,False,False,True
visit_0085,13.684149436310289,True,True,True
visit_0086,138.8002325586469,False,False,True
visit_0087,33.996729813619474,True,True,True
visit_0088,1.8794862909742083,True,True,True
visit_0089,50.019644881540245,False,False,True
visit_0090,195.58889691537254,False,False,True
visit_0091,57.238830291838894,False,False,True
visit_0092,125.64962073737966,False,False,True
visit_0093,35.12801408886133,True,True,True
visit_0094,161.2976987587533,False,False,True
visit_0095,193.45394946000647,False,False,True
visit_0096,164.48346024535485,False,False,True
visit_0097,164.77107027808952,False,False,True
visit_0098,27.132809741267305,True,True,True
visit_0099,97.8694075579229,False,False,True
visit_0100,108.89317229642899,False,False,True
visit_0101,119.42919190390901,False,False,True
visit_0102,173.93908535390895,False,False,True
visit_0103,132.21152851946337,False,False,True
visit_0104,149.13305500679914,False,False,True
visit_0105,104.29024294261681,False,False,True
visit_0106,16.158095482158387,True,True,True
visit_0107,121.08535830706258,False,False,True
visit_0108,67.78632376703504,False,False,True
visit_0109,166.3543776949709,False,False,True
visit_0110,70.71961592675353,False,False,True
visit_0111,131.34726059763042,False,False,True
visit_0112,163.68537190813393,False,False,True
visit_0113,67.96493135545167,False,False,True
visit_0114,83.96649875290063,False,False,True
visit_0115,134.7937421226226,False,False,True
visit_0116,135.6972509520266,False,False,True
visit_0117,51.103900804291854,False,False,True
visit_0118,14.415099318431569,True,True,True
visit_0119,23.034674532759645,True,True,True
visit_0120,117.77425766058238,False,False,True
visit_0121,181.18454631601008,False,False,True
