user_id,avg_top_10_compatibility,min_top_10_compatibility,max_top_10_compatibility,recommendation_quality
user_0000,0.7294944577729278,0.7086662450830234,0.7549835740674118,0.7294944577729278
user_0001,0.7536036987553615,0.7406446398830657,0.772040491869626,0.7536036987553615
user_0002,0.7614681154298719,0.7410427664196211,0.7988606689201019,0.7614681154298719
user_0003,0.7547460795268284,0.7355897803888334,0.800692708111868,0.7547460795268284
user_0004,0.7248544268858991,0.7127263400313508,0.7601288559357591,0.7248544268858991
user_0005,0.747450248288865,0.732391637268366,0.7739249098861628,0.747450248288865
user_0006,0.7490564575322678,0.7321779328303566,0.7874358185368361,0.7490564575322678
user_0007,0.7599142466919774,0.7458740240951858,0.7939599483881277,0.7599142466919774
user_0008,0.7515091529510597,0.7337855761549632,0.7683463876157126,0.7515091529510597
user_0009,0.7580877305628491,0.7400354591371017,0.8032869099259098,0.7580877305628491
user_0010,0.7369928954153444,0.7182934893837163,0.7787213438384037,0.7369928954153444
user_0011,0.761353392596877,0.7374006287370455,0.8227479247812073,0.761353392596877
user_0012,0.7355430632089449,0.7247168659530989,0.7519138084421045,0.7355430632089449
user_0013,0.7620139682584595,0.7421354666843899,0.7806709553306537,0.7620139682584595
user_0014,0.7373001416065736,0.7240350153479247,0.7601278969645316,0.7373001416065736
user_0015,0.7414121637342781,0.7197408528259099,0.7680837785388035,0.7414121637342781
user_0016,0.7662553353462578,0.7537311170804796,0.7834086540102126,0.7662553353462578
user_0017,0.7670664641449543,0.7500831726465514,0.7923314674818536,0.7670664641449543
user_0018,0.7645635669601251,0.7482096055629525,0.7930364207955434,0.7645635669601251
user_0019,0.7520683690926411,0.736394897156784,0.7800877656003667,0.7520683690926411
user_0020,0.7205631891062827,0.7020748109066234,0.7732528913353137,0.7205631891062827
user_0021,0.7585660134059924,0.7462418846688179,0.7987361334399815,0.7585660134059924
user_0022,0.7648379401102534,0.7525895571150307,0.7888422817236347,0.7648379401102534
user_0023,0.7525141445666695,0.7442219216553086,0.7706859839292852,0.7525141445666695
user_0024,0.7525527144331133,0.7387314194923082,0.7742051726287233,0.7525527144331133
user_0025,0.769434784071985,0.7566246244050395,0.7933797637934143,0.769434784071985
user_0026,0.7502936833878765,0.7407869768809792,0.7590278484553752,0.7502936833878765
user_0027,0.738229152863795,0.7228068791434438,0.7807564059409708,0.738229152863795
user_0028,0.7576263326487684,0.7456917711533368,0.7877657651583398,0.7576263326487684
user_0029,0.7486824875356912,0.740992205090795,0.7613716201112212,0.7486824875356912
user_0030,0.7403935128067071,0.7252218327936681,0.7997573238993576,0.7403935128067071
user_0031,0.7442587060108088,0.7222698045253828,0.7689625120692354,0.7442587060108088
user_0032,0.7634127120114952,0.7408842788668732,0.7868231408664534,0.7634127120114952
user_0033,0.7501281819885185,0.736394897156784,0.7763424779189061,0.7501281819885185
user_0034,0.7438281715214252,0.729820141652078,0.7697400270573036,0.7438281715214252
user_0035,0.7552343632373077,0.7400101944832861,0.7935403858713975,0.7552343632373077
user_0036,0.7611651084055266,0.7442751345318667,0.7972281187565889,0.7611651084055266
