recommendation_id,hybrid_score,quantum_score,neural_score,ground_truth,error
rec_0000,0.6291568509889541,0.6431056309964183,0.5966096976382046,0.6394267984578837,0.010269947468929619
rec_0001,0.7475178073325399,0.744445364313512,0.7546868410436053,0.7415504997598329,0.005967307572707026
rec_0002,0.6853101872607096,0.6968712001521267,0.6583344905140698,0.22321073814882275,0.46209944911188683
rec_0003,0.7038357564596223,0.7368006570234142,0.6269176551441078,0.1024951761715075,0.6013405802881148
rec_0004,0.7492261486953911,0.7509440844114345,0.7452176320246231,0.8921795677048454,0.14295341900945435
rec_0005,0.6706742772267216,0.6659998827978251,0.6815811975608136,0.5904925124490397,0.08018176477768191
rec_0006,0.615291915349605,0.6298619341006476,0.5812952049305058,0.029797219438070344,0.5854946959115347
rec_0007,0.7264524736175184,0.6894933220698121,0.8126904938955002,0.2326608933907396,0.4937915802267788
rec_0008,0.5816413323496892,0.5923825028803077,0.5565786011115794,0.026535969683863625,0.5551053626658256
rec_0009,0.6086121843715975,0.5939338457687112,0.6428616411116657,0.7160196129224035,0.10740742855080598
rec_0010,0.6793342159281552,0.6332823196984736,0.7867886404640791,0.5449414806032167,0.13439273532493856
rec_0011,0.7119179568103334,0.7022475172818444,0.7344823157101411,0.4492090462838536,0.2627089105264798
rec_0012,0.6066927182212347,0.5917132751112205,0.6416447521446014,0.8094304566778266,0.20273773845659193
rec_0013,0.6234989776569623,0.5838773006282484,0.715949557390628,0.7588073671297673,0.135308389472805
rec_0014,0.5919326780953091,0.5778722662966629,0.6247403056254837,0.6981393949882269,0.10620671689291772
rec_0015,0.6606575269661654,0.6889346481991203,0.5946775774226043,0.27787134167164185,0.3827861852945236
rec_0016,0.6869300322765991,0.7106912999223586,0.6314870744364939,0.9572130722067812,0.2702830399301821
rec_0017,0.5473611725975712,0.5955895669223537,0.43482825250641244,0.10221027651984871,0.4451508960777225
rec_0018,0.5697861149139742,0.5532134998892477,0.6084555499716695,0.09671637683346401,0.4730697380805102
rec_0019,0.767313512819386,0.796547843777972,0.6991000739160187,0.3439557224789711,0.4233577903404149
rec_0020,0.5973806932061603,0.5994948370672414,0.5924476908636378,0.8071282732743802,0.20974758006821992
rec_0021,0.7090205065452349,0.7119743550864168,0.7021281932824771,0.45942487967184253,0.24959562687339232
rec_0022,0.6033740077550739,0.6361631141232751,0.526866092895938,0.9731157639793706,0.3697417562242967
rec_0023,0.7451959220716668,0.7793482681779655,0.6655071144903038,0.07880019807845817,0.6663957239932087
rec_0024,0.6432857987808169,0.6022529077832819,0.7390292111083989,0.8294046642529949,0.18611886547217793
rec_0025,0.6902086259181178,0.6944570961461719,0.6802955287193251,0.8854517479368068,0.19524312201868899
rec_0026,0.7325265018926392,0.7151142866690784,0.773155004080948,0.577352145256762,0.1551743566358772
rec_0027,0.7059086765829027,0.677437305448726,0.7723418758959816,0.06955514882374092,0.6363535277591618
rec_0028,0.7649499842968044,0.7427570590128115,0.8167334766261212,0.22789827565154686,0.5370517086452575
rec_0029,0.7505503591213949,0.7595345869825412,0.7295871607787205,0.9852215206607577,0.23467116153936285
rec_0030,0.6137015494795395,0.5692943513185332,0.717318345188554,0.23279088636103018,0.3809106631185093
rec_0031,0.6909049325660005,0.7139816644199005,0.6370592249069005,0.38012622503916615,0.31077870752683434
rec_0032,0.727071669715748,0.7133271416745863,0.7591422351451254,0.6356844442644002,0.09138722545134781
rec_0033,0.7355137260023319,0.7524003863342608,0.6961115185611648,0.1626540971560848,0.5728596288462471
rec_0034,0.6822494562881267,0.6482404982217613,0.7616036917763129,0.2095070307714877,0.47274242551663903
rec_0035,0.7356461856692718,0.7478527940446982,0.7071640994599433,0.7018203134585513,0.03382587221072042
rec_0036,0.6157195751170744,0.576371599034787,0.7075315193090785,0.6480353852465935,0.03231581012951912
rec_0037,0.6664149279764991,0.6630051934794099,0.6743709751363742,0.6349782881970603,0.03143663977943889
rec_0038,0.6664580187901111,0.6481129946243132,0.7092630751769733,0.7291267979503492,0.06266877916023805
rec_0039,0.6640494065062029,0.6523602215905386,0.6913241713094197,0.46226021185111577,0.20178919465508716
rec_0040,0.6507066068241785,0.6622934841728727,0.6236705596772255,0.9895233506365952,0.3388167438124168
rec_0041,0.6861899456890888,0.6998440743644083,0.6543303121133432,0.6881619584333132,0.0019720127442244273
rec_0042,0.7700023741083889,0.7663884693404341,0.7784348185669502,0.6846142509898746,0.08538812311851429
rec_0043,0.7565030569892198,0.7408467112630229,0.7930345303503462,0.7683135775923722,0.011810520603152352
rec_0044,0.6205505227204321,0.5995654532330196,0.6695156848577282,0.22904807196410437,0.3915024507563277
rec_0045,0.7256696604879951,0.7582247289943207,0.6497078339732356,0.8050458007712143,0.07937614028321927
rec_0046,0.599106050058884,0.6128742070596487,0.5669803503904332,0.26774087597570273,0.3313651740831812
rec_0047,0.7491224346203852,0.7482103323418492,0.7512506732703026,0.913136124185545,0.16401368956515983
rec_0048,0.7751444221267814,0.7664885021641188,0.7953415687063272,0.8763676264726689,0.1012232043458875
rec_0049,0.6947292066860649,0.6633320879935808,0.7679891503018611,0.2126265440541406,0.48210266263192425
rec_0050,0.6219947726607813,0.6631775362631305,0.5259016575886334,0.39563190106066426,0.22636287160011703
rec_0051,0.5616318161655625,0.5419558129241993,0.60754249039541,0.6428518702004242,0.08122005403486177
rec_0052,0.6247810818398342,0.5937020554092082,0.6972988101779614,0.26488016649805246,0.3599009153417817
rec_0053,0.7591249525286583,0.7575016874008906,0.7629125711601162,0.7449889820916066,0.014135970437051726
rec_0054,0.6153671588356484,0.6235688726789169,0.5962298265346888,0.26274160852293527,0.35262555031271314
rec_0055,0.7747325069763872,0.7950330218511283,0.7273646389353248,0.4284338272945797,0.3462986796818075
rec_0056,0.6905238495537259,0.7057612349025045,0.654969950406576,0.39940050514039727,0.29112334441332866
rec_0057,0.5357090548843302,0.5392335145244243,0.5274853157241107,0.997325777989161,0.4616167231048308
rec_0058,0.5937780265015775,0.6283788883067492,0.5130426822895103,0.5095262936764645,0.084251732825113
rec_0059,0.7734756440889327,0.7977952752108767,0.71672983813773,0.7557821575337378,0.01769348655519487
rec_0060,0.6919754528774704,0.6678384362632641,0.7482951583106187,0.10964913035065915,0.5823263225268113
rec_0061,0.6195447287138643,0.5936601230259063,0.6799421419857664,0.15998200172245025,0.4595627269914141
rec_0062,0.704079479903208,0.7423226031961686,0.6148455255529665,0.42215996679968404,0.2819195131035239
rec_0063,0.5849977605428498,0.6014281714953884,0.5466601349869262,0.38476731167450007,0.20023044886834973
rec_0064,0.8317764511360373,0.8335778958543023,0.8275730801267521,0.9961213802400968,0.1643449291040595
rec_0065,0.677774265447076,0.6382208942223564,0.7700654649714216,0.2514141199818132,0.4263601454652628
rec_0066,0.6229849896593616,0.6231101310901014,0.6226929929876353,0.8607797022344981,0.2377947125751365
rec_0067,0.6561939614702276,0.6660695652816124,0.6331508859103296,0.6802834102565185,0.024089448786290935
rec_0068,0.6557553603196024,0.6274902249019974,0.7217073429606807,0.6817103690265748,0.025955008706972427
rec_0069,0.5809966188396901,0.5717124872609148,0.6026595925234991,0.7508777995916097,0.1698811807519196
rec_0070,0.7510072954859364,0.7502352962914528,0.7528086269397317,0.6409617985798081,0.1100454969061283
rec_0071,0.669801650983374,0.6484526843812249,0.7196159063883883,0.29350012864742614,0.3763015223359478
rec_0072,0.8295780673081633,0.8147311871056836,0.864220787780616,0.45372370632920644,0.37585436097895686
rec_0073,0.5988538172062745,0.6269779142423417,0.533230924122118,0.7220920613099108,0.12323824410363626
rec_0074,0.8271573556533217,0.8332246607767757,0.8130003103652625,0.26338905075109076,0.563768304902231
rec_0075,0.632287767273082,0.6602294630289768,0.5670904771759943,0.7619621990520646,0.12967443177898264
rec_0076,0.6064303710987354,0.5655951932285278,0.7017124527958866,0.9126278393448205,0.30619746824608507
rec_0077,0.6635603598285054,0.6496804823566565,0.6959467405961527,0.6253001935664175,0.038260166262087836
rec_0078,0.701668584178114,0.6732879619652027,0.7678900360082405,0.6389494948660052,0.06271908931210879
rec_0079,0.5959937557096562,0.6071355954304292,0.5699961296945192,0.19891110176473303,0.39708265394492315
rec_0080,0.7167031117929895,0.7361333996537589,0.6713657734511943,0.7625108000751513,0.04580768828216175
rec_0081,0.6926418931885057,0.7436516022397698,0.573619238735556,0.9534997476535028,0.2608578544649971
rec_0082,0.5751436587140206,0.5315181453361586,0.6769365232623653,0.5303536721951775,0.04478998651884314
rec_0083,0.6583787280448008,0.6086225341185207,0.7744765138727879,0.598944584460229,0.059434143584571775
rec_0084,0.6418521303989693,0.6461064260892716,0.6319254404549306,0.019476742385832302,0.622375388013137
rec_0085,0.7012043764657204,0.7059093223452486,0.6902261694134881,0.36298076718093353,0.3382236092847869
rec_0086,0.715953226446649,0.7039415143467598,0.7439805546797243,0.8067748047971287,0.09082157835047966
rec_0087,0.6360814343618999,0.6603004087023998,0.5795704942340669,0.05792516649418755,0.5781562678677123
rec_0088,0.6772208992150628,0.6549652746341116,0.7291506899039492,0.56735694368891,0.1098639555261528
rec_0089,0.7067325557442937,0.6793071419657175,0.7707251878943051,0.08565345206787878,0.621079103676415
rec_0090,0.6900911084738226,0.6723828600022509,0.7314103549074898,0.8160232534200885,0.12593214494626592
rec_0091,0.5833251491186767,0.5464441372215343,0.6693808435453426,0.5327061695295157,0.05061897958916106
rec_0092,0.686905361477021,0.6778313241611795,0.7080781152139843,0.1283914644997628,0.5585138969772582
