recommendation_id,quantum_only,hybrid_score,neural_contribution,improvement,ground_truth
rec_0000,0.7965961336706924,0.7575096225882886,0.24103875253506954,-0.039086511082403796,0.6394267984578837
rec_0001,0.7040179103162885,0.7440559654376098,0.23564845699880527,0.0400380551213213,0.7415504997598329
rec_0002,0.6539073323167621,0.6329565772472455,0.19181760022564334,-0.020950755069516602,0.22321073814882275
rec_0003,0.6153740526033337,0.6428414114263991,0.157112333117336,0.02746735882306539,0.1024951761715075
rec_0004,0.7077856322689642,0.7754664013035886,0.22043796867154256,0.06768076903462439,0.8921795677048454
rec_0005,0.6707043232014626,0.6033089178311697,0.18449543585833889,-0.06739540537029287,0.5904925124490397
rec_0006,0.6163942313881252,0.6111370406090234,0.20954108469601682,-0.005257190779101806,0.029797219438070344
rec_0007,0.7473891293850333,0.6924516244309705,0.21291349868183415,-0.0549375049540628,0.2326608933907396
rec_0008,0.5842053685044744,0.6578575390640553,0.17662124066772708,0.07365217055958095,0.026535969683863625
rec_0009,0.6475847374433809,0.6320320894483179,0.17960544931462158,-0.015552647995062951,0.7160196129224035
rec_0010,0.6420198461925043,0.7023332810501645,0.19701896963755947,0.060313434857660164,0.5449414806032167
rec_0011,0.7121148637900532,0.7551036321537798,0.2470348680765473,0.04298876836372667,0.4492090462838536
rec_0012,0.6685013648932503,0.6217249515939681,0.1912718136465971,-0.04677641329928217,0.8094304566778266
rec_0013,0.6571683426099898,0.6521717654301821,0.2327756886770256,-0.004996577179807726,0.7588073671297673
rec_0014,0.6860782195694943,0.7617036575100308,0.22232975774102412,0.07562543794053644,0.6981393949882269
rec_0015,0.5646594306283301,0.5247412144160644,0.17661922024472756,-0.03991821621226577,0.27787134167164185
rec_0016,0.717235870818089,0.6759048288740399,0.2258755108136593,-0.04133104194404913,0.9572130722067812
rec_0017,0.5881721222600312,0.5445092208555188,0.17329868668835643,-0.043662901404512455,0.10221027651984871
rec_0018,0.5242736583264622,0.6174319708116012,0.18124947147919515,0.09315831248513895,0.09671637683346401
rec_0019,0.7366646997376286,0.7259725916670569,0.2085788844811767,-0.010692108070571749,0.3439557224789711
rec_0020,0.7748483038852787,0.6778266731385358,0.19995354850843142,-0.09702163074674286,0.8071282732743802
rec_0021,0.7099551555132344,0.668376405299773,0.20726738110887308,-0.04157875021346136,0.45942487967184253
rec_0022,0.6779865081415439,0.65766309108583,0.18589205784310475,-0.020323417055713944,0.9731157639793706
rec_0023,0.6464901722166144,0.6074305128650188,0.18179778600304142,-0.03905965935159561,0.07880019807845817
rec_0024,0.6859814132506061,0.6590014866228322,0.2091361911959987,-0.02697992662777393,0.8294046642529949
rec_0025,0.7127043286860988,0.7492463848132029,0.24069909593008146,0.03654205612710415,0.8854517479368068
rec_0026,0.733969482876461,0.6768695059190125,0.18831094824428388,-0.057099976957448506,0.577352145256762
rec_0027,0.7597091089475585,0.6959115960594993,0.18353484460111555,-0.06379751288805924,0.06955514882374092
rec_0028,0.7054046013998543,0.6748394528401237,0.23316851031136185,-0.03056514855973058,0.22789827565154686
rec_0029,0.6902351985954217,0.8236940489526836,0.2613811266669373,0.1334588503572619,0.9852215206607577
rec_0030,0.592525052854391,0.6649303736593581,0.20104608853468856,0.07240532080496709,0.23279088636103018
rec_0031,0.7651194133887411,0.711517957216736,0.22568007145030144,-0.05360145617200507,0.38012622503916615
rec_0032,0.6272410602409478,0.7042571636601019,0.25283117718962544,0.0770161034191541,0.6356844442644002
rec_0033,0.6134180059377053,0.6433251467369738,0.19159171486238605,0.029907140799268483,0.1626540971560848
rec_0034,0.6496707942846716,0.6796283439488728,0.20818392609920167,0.029957549664201277,0.2095070307714877
rec_0035,0.7813653414013815,0.6936043230818301,0.218443677600734,-0.08776101831955141,0.7018203134585513
rec_0036,0.6969836795749562,0.6255939097613888,0.2294366606272202,-0.07138976981356737,0.6480353852465935
rec_0037,0.7465621553760501,0.6746917918042266,0.20497076332834194,-0.07187036357182353,0.6349782881970603
rec_0038,0.5952612643287412,0.7308978995928572,0.23640148007961956,0.13563663526411607,0.7291267979503492
rec_0039,0.7890851805614777,0.6834386166104793,0.23476041909566486,-0.10564656395099836,0.46226021185111577
rec_0040,0.7527816360849009,0.7287413651047496,0.23133986702041542,-0.024040270980151268,0.9895233506365952
rec_0041,0.6946846847086788,0.6846523122227965,0.242689983490011,-0.01003237248588229,0.6881619584333132
rec_0042,0.6212743703963511,0.7100679118141717,0.252944398144459,0.08879354141782059,0.6846142509898746
