pair_id,relevance,satisfaction,prediction
pair_0000,0.4459423671022867,0.31215965697160064,0.35675389368182936
pair_0001,0.5529707265307454,0.3870795085715218,0.44237658122459633
pair_0002,0.7522378435789479,0.5265664905052635,0.6017902748631583
pair_0003,0.42590313029470933,0.2981321912062965,0.3407225042357675
pair_0004,0.3372496364081406,0.2360747454856984,0.26979970912651247
pair_0005,0.48162973583926655,0.33714081508748656,0.38530378867141324
pair_0006,0.61222503232481,0.42855752262736696,0.489780025859848
pair_0007,0.8730270088228727,0.6111189061760108,0.6984216070582981
pair_0008,0.37491389963113125,0.26243972974179186,0.299931119704905
pair_0009,0.9622986025885485,0.6736090218119839,0.7698388820708388
pair_0010,0.873607245782042,0.6115250720474293,0.6988857966256337
pair_0011,0.5950859235299445,0.4165601464709611,0.4760687388239556
pair_0012,0.8893028343887707,0.6225119840721395,0.7114422675110166
pair_0013,0.6271591816933304,0.43901142718533126,0.5017273453546643
pair_0014,0.663558223577834,0.4644907565044838,0.5308465788622673
pair_0015,0.752479504322549,0.5267356530257842,0.6019836034580393
pair_0016,0.4621003855494866,0.3234702698846406,0.3696803084395893
pair_0017,0.703869135071823,0.4927083945502761,0.5630953080574584
pair_0018,0.8381364887587432,0.5866955421311202,0.6705091910069947
pair_0019,0.9765770766792918,0.6836039536755042,0.7812616613434336
pair_0020,0.9264409560607133,0.6485086692424993,0.7411527648485707
pair_0021,0.7582810274806357,0.530796719236445,0.6066248219845086
pair_0022,0.8318441770914499,0.5822909239640148,0.6654753416731599
pair_0023,0.24366711249498924,0.17056697874649246,0.1949336899959914
pair_0024,0.5836821156526535,0.4085774809568574,0.4669456925221228
pair_0025,0.7509468584681414,0.5256628009276989,0.6007574867745131
pair_0026,0.5533416487027628,0.3873391540919339,0.4426733189622103
pair_0027,0.5472742960735268,0.38309200725146875,0.4378194368588215
pair_0028,0.7004571649959593,0.4903200154971715,0.5603657319967675
pair_0029,0.8387527881004917,0.5871269516703441,0.6710022304803934
pair_0030,0.7253014778641438,0.5077110345049006,0.580241182291315
pair_0031,0.8605623562591033,0.6023936493813723,0.6884498850072827
pair_0032,0.5178693921376127,0.3625085744963289,0.4142955137100902
pair_0033,0.9112787086518622,0.6378950960563036,0.7290229669214898
pair_0034,0.6170793659789963,0.43195555618529735,0.49366349278319704
pair_0035,0.8311912644012633,0.5818338850808843,0.6649530115210107
pair_0036,0.838563837273235,0.5869946860912645,0.6708510698185881
pair_0037,0.8828031704287914,0.6179622193001539,0.7062425363430331
pair_0038,0.6639186919781186,0.464743084384683,0.5311349535824949
pair_0039,0.8905511003570149,0.6233857702499104,0.7124408802856119
pair_0040,0.9473615509463238,0.6631530856624266,0.7578892407570591
pair_0041,0.84113532593491,0.588794728154437,0.6729082607479281
pair_0042,0.9101303497068132,0.6370912447947692,0.7281042797654506
pair_0043,0.7504844543069404,0.5253391180148582,0.6003875634455524
pair_0044,0.8269328264478822,0.5788529785135176,0.6615462611583058
pair_0045,0.8649631626312917,0.6054742138419041,0.6919705301050334
pair_0046,0.6600714460059396,0.4620500122041577,0.5280571568047517
pair_0047,0.9088829558820392,0.6362180691174274,0.7271063647056314
pair_0048,0.8783122863427429,0.61481860043992,0.7026498290741944
pair_0049,0.892005257230646,0.6244036800614522,0.7136042057845169
pair_0050,0.7346008898102814,0.5142206228671969,0.5876807118482251
pair_0051,0.6824623615686074,0.47772365309802517,0.545969889254886
pair_0052,0.9262837840549956,0.6483986488384968,0.7410270272439965
pair_0053,0.9451430760916087,0.6616001532641261,0.756114460873287
pair_0054,0.7876548991098251,0.5513584293768775,0.6301239192878602
pair_0055,0.6613917489810499,0.4629742242867349,0.5291133991848399
pair_0056,0.949949390895285,0.6649645736266995,0.759959512716228
pair_0057,0.9034309719763195,0.6324016803834236,0.7227447775810556
pair_0058,0.7966616713856501,0.557663169969955,0.6373293371085201
pair_0059,0.8296976591227793,0.5807883613859455,0.6637581272982235
pair_0060,0.4861384068667598,0.3402968848067318,0.3889107254934079
pair_0061,0.6138760710794072,0.42971324975558506,0.4911008568635258
pair_0062,0.8204589085987968,0.5743212360191577,0.6563671268790374
pair_0063,0.8778325322273355,0.6144827725591347,0.7022660257818685
pair_0064,0.9513428192182894,0.6659399734528025,0.7610742553746316
pair_0065,0.8232893902768857,0.57630257319382,0.6586315122215086
pair_0066,0.8452414205858687,0.591668994410108,0.676193136468695
pair_0067,0.927142664215489,0.6489998649508423,0.7417141313723912
pair_0068,0.6843312860575675,0.47903190024029724,0.5474650288460541
pair_0069,0.7502482477796624,0.5251737734457637,0.6001985982237299
pair_0070,0.9329292464453223,0.6530504725117255,0.7463433971562579
pair_0071,0.13744109679986827,0.09620876775990778,0.10995287743989463
pair_0072,0.7296951628328012,0.5107866139829609,0.583756130266241
pair_0073,0.8419811015408317,0.5893867710785822,0.6735848812326655
pair_0074,0.7768292626185783,0.5437804838330048,0.6214634100948627
