partnership_id,discovered,formed,events_allowed,events_blocked,is_complete,match_score
partnership_0000,True,True,0,0,False,4.853027901410679
partnership_0001,True,True,0,0,False,4.350679727519463
partnership_0002,True,True,0,0,False,2.982565677774986
partnership_0003,True,True,0,0,False,6.525036921421425
partnership_0004,True,True,0,0,False,3.61297960696335
partnership_0005,True,True,0,0,False,3.746277733946924
partnership_0006,True,True,0,0,False,5.043533935730136
partnership_0007,True,True,0,0,False,5.322916750718448
partnership_0008,True,True,0,0,False,5.249124287451181
partnership_0009,True,True,0,0,False,3.0662220686255863
partnership_0010,True,True,0,0,False,5.661272691204337
partnership_0011,True,True,0,0,False,2.746658874081399
partnership_0012,True,True,0,0,False,6.50323677470984
partnership_0013,True,True,0,0,False,2.8388910200916393
partnership_0014,True,True,0,0,False,7.035589560801017
partnership_0015,True,True,0,0,False,7.595331135756333
partnership_0016,True,True,0,0,False,3.9263769895228977
partnership_0017,True,True,0,0,False,2.8274036658393786
partnership_0018,True,True,0,0,False,3.982491391719984
partnership_0019,True,True,0,0,False,8.252640784829213
partnership_0020,True,True,0,0,False,3.4202159699118466
partnership_0021,True,True,0,0,False,6.114168558795966
partnership_0022,True,True,0,0,False,1.518527480255174
partnership_0023,True,True,0,0,False,6.272795585924661
partnership_0024,True,True,0,0,False,2.313171788144406
partnership_0025,True,True,0,0,False,4.0879055405038836
partnership_0026,True,True,0,0,False,2.679960285554931
partnership_0027,True,True,0,0,False,3.5656756789821284
partnership_0028,True,True,0,0,False,2.014319291656177
partnership_0029,True,True,0,0,False,3.1737368344845014
partnership_0030,True,True,0,0,False,6.50974077766646
partnership_0031,True,True,0,0,False,3.20091251913445
partnership_0032,True,True,0,0,False,6.150559277090753
partnership_0033,True,True,0,0,False,7.4433826197159085
partnership_0034,True,True,0,0,False,3.6329470022401087
partnership_0035,True,True,0,0,False,4.707801272615703
partnership_0036,True,True,0,0,False,3.20091251913445
partnership_0037,True,True,0,0,False,2.9429898375098675
partnership_0038,True,True,0,0,False,5.687007383580659
partnership_0039,True,True,0,0,False,2.6806727239832466
partnership_0040,True,True,0,0,False,8.544753848332144
partnership_0041,True,True,0,0,False,5.374885509927798
partnership_0042,True,True,0,0,False,2.758224702613745
partnership_0043,True,True,0,0,False,6.6309844922338
partnership_0044,True,True,0,0,False,4.390851574823437
partnership_0045,True,True,0,0,False,9.465565266318631
partnership_0046,True,True,0,0,False,3.9664405245223207
partnership_0047,True,True,0,0,False,3.065916877105258
partnership_0048,True,True,0,0,False,4.713502398223886
partnership_0049,True,True,0,0,False,4.579862420792114
