partnership_id,expert_id,business_id,match_score,formation_success,negotiation_rounds,exclusivity_type,minimum_events
partnership_0000,expert_0072,business_0092,4.853027901410679,True,1,Product,20
partnership_0001,expert_0038,business_0057,4.350679727519463,True,2,Product,17
partnership_0002,expert_0116,business_0041,2.982565677774986,True,2,Full,17
partnership_0003,expert_0059,business_0099,6.525036921421425,True,1,Category,17
partnership_0004,expert_0098,business_0084,3.61297960696335,True,1,Full,20
partnership_0005,expert_0009,business_0016,3.746277733946924,True,1,Full,19
partnership_0006,expert_0025,business_0067,5.043533935730136,True,1,Full,18
partnership_0007,expert_0167,business_0019,5.322916750718448,True,2,Category,15
partnership_0008,expert_0159,business_0088,5.249124287451181,True,2,Category,17
partnership_0009,expert_0081,business_0080,3.0662220686255863,True,3,Product,6
partnership_0010,expert_0158,business_0008,5.661272691204337,True,2,Category,12
partnership_0011,expert_0191,business_0011,2.746658874081399,True,1,Product,8
partnership_0012,expert_0113,business_0021,6.50323677470984,True,1,Full,15
partnership_0013,expert_0014,business_0037,2.8388910200916393,True,2,Full,18
partnership_0014,expert_0144,business_0087,7.035589560801017,True,3,Full,17
partnership_0015,expert_0158,business_0087,7.595331135756333,True,3,Full,12
partnership_0016,expert_0118,business_0081,3.9263769895228977,True,2,Full,19
partnership_0017,expert_0073,business_0086,2.8274036658393786,True,1,Category,14
partnership_0018,expert_0163,business_0054,3.982491391719984,True,1,Category,11
partnership_0019,expert_0098,business_0061,8.252640784829213,True,2,Category,14
partnership_0020,expert_0179,business_0037,3.4202159699118466,True,3,Category,13
partnership_0021,expert_0002,business_0072,6.114168558795966,True,2,Full,20
partnership_0022,expert_0073,business_0099,1.518527480255174,True,2,Category,12
partnership_0023,expert_0162,business_0024,6.272795585924661,True,2,Product,9
partnership_0024,expert_0160,business_0012,2.313171788144406,True,2,Category,19
partnership_0025,expert_0008,business_0074,4.0879055405038836,True,1,Category,15
partnership_0026,expert_0191,business_0053,2.679960285554931,True,1,Product,16
partnership_0027,expert_0135,business_0064,3.5656756789821284,True,2,Category,20
partnership_0028,expert_0075,business_0095,2.014319291656177,True,3,Category,7
partnership_0029,expert_0036,business_0096,3.1737368344845014,True,2,Product,17
partnership_0030,expert_0142,business_0046,6.50974077766646,True,1,Category,8
partnership_0031,expert_0116,business_0047,3.20091251913445,True,1,Product,17
partnership_0032,expert_0163,business_0047,6.150559277090753,True,3,Full,15
partnership_0033,expert_0156,business_0028,7.4433826197159085,True,2,Category,14
partnership_0034,expert_0166,business_0052,3.6329470022401087,True,1,Full,14
partnership_0035,expert_0126,business_0014,4.707801272615703,True,1,Full,17
partnership_0036,expert_0116,business_0047,3.20091251913445,True,2,Product,18
partnership_0037,expert_0150,business_0095,2.9429898375098675,True,2,Product,8
partnership_0038,expert_0125,business_0078,5.687007383580659,True,3,Full,16
partnership_0039,expert_0055,business_0056,2.6806727239832466,True,3,Category,8
partnership_0040,expert_0175,business_0047,8.544753848332144,True,3,Category,6
partnership_0041,expert_0101,business_0035,5.374885509927798,True,2,Category,7
partnership_0042,expert_0169,business_0027,2.758224702613745,True,2,Full,6
partnership_0043,expert_0085,business_0031,6.6309844922338,True,3,Full,7
partnership_0044,expert_0195,business_0070,4.390851574823437,True,1,Full,15
partnership_0045,expert_0198,business_0018,9.465565266318631,True,1,Category,9
partnership_0046,expert_0033,business_0069,3.9664405245223207,True,2,Product,5
partnership_0047,expert_0033,business_0001,3.065916877105258,True,1,Product,15
partnership_0048,expert_0004,business_0022,4.713502398223886,True,2,Category,8
partnership_0049,expert_0190,business_0008,4.579862420792114,True,3,Product,8
